date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Antrim_IE,9.91,0.22,7.28,10.21
2015-01-02,Antrim_IE,3.93,0.8,6.4,1.08
2015-01-03,Antrim_IE,2.51,0.71,2.6,5.53
2015-01-04,Antrim_IE,2.42,0.41,3.21,0.35
2015-01-05,Antrim_IE,7.43,0.26,4.59,1.11
2015-01-06,Antrim_IE,4.21,0.82,4.45,3.49
2015-01-07,Antrim_IE,7.41,0.18,7.65,7.72
2015-01-08,Antrim_IE,4.31,0.8,6.25,2.79
2015-01-09,Antrim_IE,8.68,0.18,8.95,6.27
2015-01-10,Antrim_IE,4.46,0.73,8.7,4.36
2015-01-11,Antrim_IE,4.27,0.34,7.37,1.11
2015-01-12,Antrim_IE,4.45,0.9,7.68,2.58
2015-01-13,Antrim_IE,0.62,0.59,5.92,1.57
2015-01-14,Antrim_IE,2.45,0.24,7.55,13.04
2015-01-15,Antrim_IE,3.63,0.31,10.88,3.1
2015-01-16,Antrim_IE,1.05,0.7,4.78,1.29
2015-01-17,Antrim_IE,1.17,0.7,4.34,1.85
2015-01-18,Antrim_IE,1.46,0.91,4.22,0.87
2015-01-19,Antrim_IE,0.11,0.69,1.77,0.04
2015-01-20,Antrim_IE,1.59,0.51,2.58,6.47
2015-01-21,Antrim_IE,1.04,0.81,1.06,1.68
2015-01-22,Antrim_IE,1.44,1.05,2.06,0.21
2015-01-23,Antrim_IE,4.04,0.56,5.35,4.39
2015-01-24,Antrim_IE,2.44,0.79,4.29,0.21
2015-01-25,Antrim_IE,5.93,0.43,4.74,2.42
2015-01-26,Antrim_IE,4.25,0.91,4.16,0.2
2015-01-27,Antrim_IE,4.73,0.74,4.44,1.07
2015-01-28,Antrim_IE,3.57,0.79,8.04,5.33
2015-01-29,Antrim_IE,1.72,0.5,6.74,8.39
2015-01-30,Antrim_IE,2.95,1.16,6.03,3.02
2015-01-31,Antrim_IE,2.2,1.17,8.34,1.1
2015-02-01,Antrim_IE,0.78,1.28,4.19,0.17
2015-02-02,Antrim_IE,0.22,1.13,1.96,1.05
2015-02-03,Antrim_IE,0.26,0.9,2.75,0.24
2015-02-04,Antrim_IE,0.46,1.58,2.51,0.01
2015-02-05,Antrim_IE,2.7,1.16,2.54,0.34
2015-02-06,Antrim_IE,3.65,0.84,1.43,0.21
2015-02-07,Antrim_IE,4.52,0.87,3.32,0.21
2015-02-08,Antrim_IE,2.15,1.59,2.51,0.25
2015-02-09,Antrim_IE,4.12,0.74,2.21,0.53
2015-02-10,Antrim_IE,2.75,0.82,1.87,0.58
2015-02-11,Antrim_IE,2.97,0.59,2.45,0.53
2015-02-12,Antrim_IE,3.6,0.93,3.31,0.64
2015-02-13,Antrim_IE,5.54,0.83,4.42,5.06
2015-02-14,Antrim_IE,5.4,1.16,2.59,0.24
2015-02-15,Antrim_IE,5.47,0.88,5.01,11.83
2015-02-16,Antrim_IE,3.5,1.63,3.94,0.74
2015-02-17,Antrim_IE,4.0,1.32,5.15,0.21
2015-02-18,Antrim_IE,8.06,0.85,6.43,3.35
2015-02-19,Antrim_IE,5.62,1.96,4.98,1.28
2015-02-20,Antrim_IE,2.6,1.67,4.36,1.03
2015-02-21,Antrim_IE,2.18,1.84,4.69,1.81
2015-02-22,Antrim_IE,2.91,1.13,5.98,10.74
2015-02-23,Antrim_IE,2.79,1.31,8.72,4.71
2015-02-24,Antrim_IE,3.78,1.76,6.54,1.92
2015-02-25,Antrim_IE,6.96,1.02,3.91,3.03
2015-02-26,Antrim_IE,4.86,2.38,6.13,5.66
2015-02-27,Antrim_IE,3.49,1.77,5.63,1.28
2015-02-28,Antrim_IE,6.12,1.17,6.6,6.54
2015-03-01,Antrim_IE,3.28,1.71,7.16,0.92
2015-03-02,Antrim_IE,1.35,1.83,6.42,2.19
2015-03-03,Antrim_IE,1.82,1.71,6.97,1.37
2015-03-04,Antrim_IE,4.02,2.58,4.79,0.34
2015-03-05,Antrim_IE,6.6,1.63,6.03,0.21
2015-03-06,Antrim_IE,7.43,1.35,7.52,0.13
2015-03-07,Antrim_IE,10.13,1.19,8.45,1.74
2015-03-08,Antrim_IE,5.63,2.81,4.27,2.03
2015-03-09,Antrim_IE,5.53,1.8,7.82,4.49
2015-03-10,Antrim_IE,4.47,3.29,3.6,0.02
2015-03-11,Antrim_IE,5.25,2.13,5.91,4.81
2015-03-12,Antrim_IE,6.01,1.11,5.72,17.4
2015-03-13,Antrim_IE,3.34,3.76,2.13,0.0
2015-03-14,Antrim_IE,3.48,1.68,2.6,0.16
2015-03-15,Antrim_IE,3.49,1.71,2.73,0.06
2015-03-16,Antrim_IE,4.3,1.7,2.72,0.4
2015-03-17,Antrim_IE,4.54,2.15,1.53,0.32
2015-03-18,Antrim_IE,5.09,3.53,0.84,0.04
2015-03-19,Antrim_IE,5.66,3.33,1.35,0.03
2015-03-20,Antrim_IE,6.78,2.05,3.79,0.42
2015-03-21,Antrim_IE,6.69,2.72,2.02,0.05
2015-03-22,Antrim_IE,5.73,3.73,3.39,0.07
2015-03-23,Antrim_IE,6.08,3.56,4.0,0.53
2015-03-24,Antrim_IE,3.48,3.6,4.84,1.55
2015-03-25,Antrim_IE,3.82,3.3,3.65,10.2
2015-03-26,Antrim_IE,5.0,3.64,6.24,2.38
2015-03-27,Antrim_IE,5.21,2.92,2.99,1.3
2015-03-28,Antrim_IE,8.45,2.59,7.22,8.79
2015-03-29,Antrim_IE,5.19,2.89,6.1,3.77
2015-03-30,Antrim_IE,5.43,1.55,6.71,9.71
2015-03-31,Antrim_IE,4.58,3.73,9.27,2.23
2015-04-01,Antrim_IE,4.58,2.24,5.4,5.63
2015-04-02,Antrim_IE,4.86,2.11,2.73,8.96
2015-04-03,Antrim_IE,7.22,2.47,5.39,1.67
2015-04-04,Antrim_IE,8.22,2.9,2.46,0.44
2015-04-05,Antrim_IE,8.58,2.83,0.9,0.31
2015-04-06,Antrim_IE,9.38,4.95,1.75,0.17
2015-04-07,Antrim_IE,8.97,4.65,1.71,0.0
2015-04-08,Antrim_IE,9.0,4.99,2.57,0.01
