date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Armagh_IE,9.54,0.22,6.72,12.73
2015-01-02,Armagh_IE,3.47,0.8,5.49,1.18
2015-01-03,Armagh_IE,1.91,0.71,1.86,5.46
2015-01-04,Armagh_IE,1.62,0.41,2.94,0.44
2015-01-05,Armagh_IE,6.78,0.26,4.17,1.25
2015-01-06,Armagh_IE,3.67,0.82,3.7,3.51
2015-01-07,Armagh_IE,7.13,0.18,7.2,8.08
2015-01-08,Armagh_IE,3.97,0.8,5.7,3.07
2015-01-09,Armagh_IE,8.55,0.18,8.47,6.79
2015-01-10,Armagh_IE,3.95,0.73,7.91,4.75
2015-01-11,Armagh_IE,4.27,0.34,6.96,1.25
2015-01-12,Armagh_IE,3.89,0.9,7.0,3.19
2015-01-13,Armagh_IE,-0.05,0.59,4.93,2.52
2015-01-14,Armagh_IE,1.77,0.24,6.6,12.88
2015-01-15,Armagh_IE,3.16,0.31,10.02,4.5
2015-01-16,Armagh_IE,0.56,0.7,3.71,1.94
2015-01-17,Armagh_IE,0.76,0.7,3.32,1.97
2015-01-18,Armagh_IE,0.81,0.91,3.23,0.94
2015-01-19,Armagh_IE,-0.89,0.69,1.63,0.08
2015-01-20,Armagh_IE,0.5,0.51,1.98,4.17
2015-01-21,Armagh_IE,0.58,0.81,0.75,0.95
2015-01-22,Armagh_IE,0.38,1.05,2.08,0.26
2015-01-23,Armagh_IE,3.57,0.56,4.72,4.32
2015-01-24,Armagh_IE,2.22,0.79,3.59,0.22
2015-01-25,Armagh_IE,5.93,0.43,4.44,2.53
2015-01-26,Armagh_IE,4.11,0.91,3.6,0.25
2015-01-27,Armagh_IE,4.89,0.74,4.02,1.14
2015-01-28,Armagh_IE,3.26,0.79,7.41,5.66
2015-01-29,Armagh_IE,1.57,0.5,6.39,9.01
2015-01-30,Armagh_IE,2.68,1.16,5.31,2.8
2015-01-31,Armagh_IE,1.84,1.17,7.21,1.25
2015-02-01,Armagh_IE,0.51,1.28,3.1,0.26
2015-02-02,Armagh_IE,-0.41,1.13,1.39,0.87
2015-02-03,Armagh_IE,-0.43,0.9,2.69,0.87
2015-02-04,Armagh_IE,-0.54,1.58,1.8,0.01
2015-02-05,Armagh_IE,2.0,1.16,1.85,0.38
2015-02-06,Armagh_IE,2.83,0.84,1.07,0.21
2015-02-07,Armagh_IE,3.85,0.87,2.7,0.2
2015-02-08,Armagh_IE,1.42,1.59,1.83,0.28
2015-02-09,Armagh_IE,4.07,0.74,1.74,0.55
2015-02-10,Armagh_IE,2.33,0.82,1.79,0.53
2015-02-11,Armagh_IE,2.39,0.59,2.3,0.5
2015-02-12,Armagh_IE,3.02,0.93,3.11,0.47
2015-02-13,Armagh_IE,4.99,0.83,3.43,5.21
2015-02-14,Armagh_IE,4.86,1.16,2.14,0.18
2015-02-15,Armagh_IE,4.85,0.88,4.39,12.23
2015-02-16,Armagh_IE,2.96,1.63,3.29,0.58
2015-02-17,Armagh_IE,4.06,1.32,4.82,0.34
2015-02-18,Armagh_IE,8.28,0.85,6.26,4.38
2015-02-19,Armagh_IE,5.16,1.96,4.54,1.45
2015-02-20,Armagh_IE,2.31,1.67,3.77,1.35
2015-02-21,Armagh_IE,1.89,1.84,3.87,1.65
2015-02-22,Armagh_IE,2.46,1.13,5.42,10.07
2015-02-23,Armagh_IE,2.47,1.31,7.99,5.88
2015-02-24,Armagh_IE,3.55,1.76,5.77,2.23
2015-02-25,Armagh_IE,7.14,1.02,3.64,3.77
2015-02-26,Armagh_IE,4.45,2.38,5.84,4.73
2015-02-27,Armagh_IE,3.38,1.77,5.05,1.41
2015-02-28,Armagh_IE,5.91,1.17,6.14,7.03
