date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Carlow,10.67,0.15,7.65,6.32
2015-01-02,Carlow,3.3,1.1,4.58,2.95
2015-01-03,Carlow,2.34,0.61,2.35,13.45
2015-01-04,Carlow,4.61,0.53,2.33,0.22
2015-01-05,Carlow,8.04,0.24,4.19,1.85
2015-01-06,Carlow,3.95,1.08,3.94,3.13
2015-01-07,Carlow,7.86,0.2,7.32,7.66
2015-01-08,Carlow,4.6,0.92,4.82,2.98
2015-01-09,Carlow,9.44,0.34,7.8,2.51
2015-01-10,Carlow,4.48,1.05,7.8,3.31
2015-01-11,Carlow,3.48,0.38,6.22,0.51
2015-01-12,Carlow,4.78,0.73,6.04,4.7
2015-01-13,Carlow,0.14,0.94,4.68,3.4
2015-01-14,Carlow,2.54,0.21,6.72,11.03
2015-01-15,Carlow,2.36,0.88,8.23,2.33
2015-01-16,Carlow,0.09,1.33,3.79,0.73
2015-01-17,Carlow,0.92,0.76,3.58,0.66
2015-01-18,Carlow,-0.12,1.17,3.72,0.38
2015-01-19,Carlow,-1.24,0.78,1.79,0.24
2015-01-20,Carlow,1.26,0.52,2.07,5.79
2015-01-21,Carlow,1.01,0.97,2.81,0.68
2015-01-22,Carlow,1.38,1.21,1.23,0.21
2015-01-23,Carlow,5.12,0.42,4.71,3.83
2015-01-24,Carlow,1.56,1.26,3.22,0.1
2015-01-25,Carlow,6.43,0.6,4.27,2.18
2015-01-26,Carlow,4.17,1.03,3.68,0.29
2015-01-27,Carlow,4.47,0.91,3.72,0.92
2015-01-28,Carlow,3.54,1.32,7.55,3.03
2015-01-29,Carlow,1.4,1.0,7.4,6.12
2015-01-30,Carlow,2.49,1.32,5.96,2.61
2015-01-31,Carlow,1.23,1.64,7.36,0.74
2015-02-01,Carlow,-0.67,1.81,3.6,0.07
2015-02-02,Carlow,-0.65,1.48,1.89,0.45
2015-02-03,Carlow,-0.61,1.77,2.23,0.42
2015-02-04,Carlow,-0.78,1.97,3.03,0.14
2015-02-05,Carlow,1.31,1.63,2.9,0.18
2015-02-06,Carlow,2.88,1.51,1.85,0.27
2015-02-07,Carlow,3.03,0.91,2.74,0.59
2015-02-08,Carlow,1.35,1.52,1.85,0.48
2015-02-09,Carlow,2.84,1.02,1.46,0.32
2015-02-10,Carlow,2.67,0.87,1.24,0.65
2015-02-11,Carlow,3.65,0.42,1.67,0.95
2015-02-12,Carlow,3.57,0.85,2.95,1.51
2015-02-13,Carlow,5.04,1.5,3.65,5.95
2015-02-14,Carlow,4.56,1.54,2.07,0.37
2015-02-15,Carlow,4.94,0.96,3.79,9.11
2015-02-16,Carlow,2.67,2.29,3.73,1.18
2015-02-17,Carlow,2.99,1.71,3.69,0.04
2015-02-18,Carlow,7.52,1.2,5.71,2.33
2015-02-19,Carlow,5.11,1.23,3.76,2.59
2015-02-20,Carlow,2.0,1.69,3.53,1.42
2015-02-21,Carlow,1.57,2.37,4.54,0.81
2015-02-22,Carlow,3.79,0.93,5.47,13.2
2015-02-23,Carlow,2.37,2.16,7.85,3.73
2015-02-24,Carlow,3.89,2.36,5.97,1.55
2015-02-25,Carlow,8.42,1.49,3.95,3.04
2015-02-26,Carlow,4.64,2.64,5.52,4.84
2015-02-27,Carlow,3.04,1.82,4.81,1.4
2015-02-28,Carlow,6.32,1.21,5.72,2.6
2015-03-01,Carlow,2.22,1.88,5.51,4.75
2015-03-02,Carlow,1.19,2.57,5.55,2.87
2015-03-03,Carlow,1.27,3.1,5.36,0.82
2015-03-04,Carlow,2.52,3.06,3.67,0.04
2015-03-05,Carlow,5.7,1.59,4.64,0.18
2015-03-06,Carlow,7.23,2.22,6.81,0.21
2015-03-07,Carlow,9.56,1.61,7.26,0.87
2015-03-08,Carlow,5.47,2.72,3.43,5.33
2015-03-09,Carlow,5.51,2.04,6.24,4.17
2015-03-10,Carlow,3.85,3.72,2.82,0.01
2015-03-11,Carlow,5.57,2.67,5.07,3.27
2015-03-12,Carlow,6.34,0.9,4.89,18.62
2015-03-13,Carlow,2.35,4.12,2.14,0.0
2015-03-14,Carlow,2.49,1.93,1.74,0.31
2015-03-15,Carlow,2.5,1.61,2.21,0.23
2015-03-16,Carlow,3.27,1.45,2.11,0.82
2015-03-17,Carlow,4.13,2.11,1.15,0.52
2015-03-18,Carlow,3.98,3.74,1.17,0.04
2015-03-19,Carlow,4.87,4.05,0.74,0.07
2015-03-20,Carlow,5.67,2.84,2.74,0.33
2015-03-21,Carlow,5.44,4.53,2.45,0.1
2015-03-22,Carlow,5.02,3.81,2.06,0.07
2015-03-23,Carlow,5.24,3.35,3.29,1.29
2015-03-24,Carlow,2.97,4.09,4.3,1.24
2015-03-25,Carlow,2.95,2.94,3.43,12.11
2015-03-26,Carlow,5.06,4.11,4.87,0.39
2015-03-27,Carlow,4.55,2.78,2.36,1.36
2015-03-28,Carlow,9.0,3.22,6.87,4.84
2015-03-29,Carlow,6.08,2.88,6.28,9.24
2015-03-30,Carlow,6.11,1.77,6.29,7.0
2015-03-31,Carlow,4.89,4.31,8.24,1.19
2015-04-01,Carlow,5.58,2.32,5.15,5.35
2015-04-02,Carlow,7.15,2.0,2.0,9.46
2015-04-03,Carlow,7.44,3.2,5.39,2.28
2015-04-04,Carlow,8.54,3.36,2.25,0.4
2015-04-05,Carlow,8.44,3.45,1.26,0.42
2015-04-06,Carlow,10.17,4.95,0.91,0.04
2015-04-07,Carlow,10.11,5.55,0.86,0.01
2015-04-08,Carlow,9.04,5.34,2.04,0.0
2015-04-09,Carlow,8.58,5.75,2.07,0.03
2015-04-10,Carlow,8.38,3.41,3.64,0.96
2015-04-11,Carlow,5.1,5.14,4.71,3.97
2015-04-12,Carlow,5.57,2.77,3.59,8.49
2015-04-13,Carlow,7.99,3.26,3.78,0.58
2015-04-14,Carlow,10.12,5.55,3.78,0.19
2015-04-15,Carlow,7.36,3.26,2.34,0.92
2015-04-16,Carlow,6.87,6.08,2.18,0.01
2015-04-17,Carlow,8.29,3.76,2.71,0.27
2015-04-18,Carlow,7.17,6.63,3.6,0.0
2015-04-19,Carlow,5.97,5.61,2.66,0.02
2015-04-20,Carlow,8.42,4.94,1.18,0.06
2015-04-21,Carlow,8.22,6.5,2.19,0.0
2015-04-22,Carlow,8.94,6.73,2.47,0.05
2015-04-23,Carlow,9.96,6.07,1.67,0.04
2015-04-24,Carlow,8.32,2.65,2.8,2.16
2015-04-25,Carlow,6.25,3.09,2.96,6.3
2015-04-26,Carlow,4.03,5.76,2.74,0.12
2015-04-27,Carlow,3.11,5.01,3.94,2.03
2015-04-28,Carlow,4.16,4.63,4.93,5.33
2015-04-29,Carlow,5.55,5.42,4.91,1.34
2015-04-30,Carlow,6.16,5.35,2.84,0.51
2015-05-01,Carlow,6.31,4.0,3.65,1.69
2015-05-02,Carlow,7.41,1.63,5.23,28.7
