date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Cavan,9.98,0.22,6.91,15.2
2015-01-02,Cavan,3.43,0.98,5.08,1.13
2015-01-03,Cavan,1.87,0.68,1.61,6.96
2015-01-04,Cavan,2.58,0.51,2.79,0.5
2015-01-05,Cavan,7.09,0.3,4.01,1.52
2015-01-06,Cavan,3.9,0.96,3.84,3.2
2015-01-07,Cavan,7.53,0.25,7.25,9.28
2015-01-08,Cavan,4.29,0.88,5.4,3.67
2015-01-09,Cavan,9.02,0.18,8.39,6.59
2015-01-10,Cavan,4.0,0.98,7.93,4.87
2015-01-11,Cavan,4.47,0.41,7.01,0.99
2015-01-12,Cavan,4.26,0.99,6.77,4.81
2015-01-13,Cavan,0.29,0.73,4.8,3.94
2015-01-14,Cavan,2.2,0.27,6.77,12.94
2015-01-15,Cavan,3.15,0.57,9.42,4.6
2015-01-16,Cavan,0.83,1.16,3.58,2.28
2015-01-17,Cavan,1.09,1.05,3.35,1.33
2015-01-18,Cavan,0.64,1.14,2.68,0.53
2015-01-19,Cavan,-0.94,0.76,1.99,0.45
2015-01-20,Cavan,0.5,0.51,2.03,3.85
2015-01-21,Cavan,1.36,0.93,1.33,0.75
2015-01-22,Cavan,0.77,1.0,1.9,0.21
2015-01-23,Cavan,4.35,0.48,4.72,4.11
2015-01-24,Cavan,2.51,0.99,3.61,0.18
2015-01-25,Cavan,6.64,0.54,4.54,2.81
2015-01-26,Cavan,4.53,1.01,3.69,0.26
2015-01-27,Cavan,5.24,0.84,4.05,1.15
2015-01-28,Cavan,3.52,1.2,7.71,5.42
2015-01-29,Cavan,2.02,0.83,7.33,8.69
2015-01-30,Cavan,3.19,1.28,5.44,1.62
2015-01-31,Cavan,2.07,1.48,6.85,1.01
2015-02-01,Cavan,0.71,1.61,2.84,0.15
2015-02-02,Cavan,-0.31,1.33,1.25,0.3
2015-02-03,Cavan,-0.28,1.34,2.72,1.36
2015-02-04,Cavan,-0.71,1.79,1.83,0.0
2015-02-05,Cavan,1.91,1.45,1.78,0.25
2015-02-06,Cavan,2.34,0.75,1.17,0.3
2015-02-07,Cavan,3.36,0.83,2.4,0.23
2015-02-08,Cavan,1.59,1.31,1.49,0.3
2015-02-09,Cavan,3.86,0.79,1.56,0.46
2015-02-10,Cavan,2.56,0.95,1.65,0.51
2015-02-11,Cavan,2.74,0.45,2.11,0.59
2015-02-12,Cavan,3.15,1.03,3.02,0.58
2015-02-13,Cavan,4.92,1.12,3.11,5.76
2015-02-14,Cavan,4.64,1.32,1.97,0.15
2015-02-15,Cavan,4.72,0.96,4.08,11.64
2015-02-16,Cavan,3.1,2.08,3.53,0.54
2015-02-17,Cavan,4.27,1.53,4.7,0.23
2015-02-18,Cavan,8.52,1.34,6.22,5.12
2015-02-19,Cavan,5.25,1.79,4.42,1.65
2015-02-20,Cavan,2.48,1.66,3.76,1.56
2015-02-21,Cavan,2.26,2.18,3.97,1.47
2015-02-22,Cavan,3.13,0.79,5.46,10.38
2015-02-23,Cavan,2.74,1.92,8.06,5.35
2015-02-24,Cavan,3.89,1.99,5.75,2.5
2015-02-25,Cavan,7.78,1.09,3.73,4.3
2015-02-26,Cavan,4.5,2.73,5.88,5.39
2015-02-27,Cavan,3.52,2.0,4.85,1.52
2015-02-28,Cavan,6.34,1.14,6.18,5.83
2015-03-01,Cavan,2.72,1.28,5.8,0.94
2015-03-02,Cavan,1.1,2.02,5.42,3.33
2015-03-03,Cavan,1.6,2.51,5.76,1.09
2015-03-04,Cavan,3.19,2.97,4.07,0.26
2015-03-05,Cavan,6.8,1.56,5.88,0.33
2015-03-06,Cavan,7.54,2.18,7.26,0.23
2015-03-07,Cavan,10.42,1.41,8.07,3.24
2015-03-08,Cavan,5.11,2.81,3.65,1.92
2015-03-09,Cavan,4.99,2.3,7.14,4.69
2015-03-10,Cavan,4.09,3.57,3.04,0.02
2015-03-11,Cavan,5.03,2.51,5.66,7.06
2015-03-12,Cavan,5.86,0.8,5.15,13.76
2015-03-13,Cavan,3.06,4.05,1.37,0.0
2015-03-14,Cavan,2.4,2.05,2.01,0.12
2015-03-15,Cavan,2.76,1.52,2.51,0.11
2015-03-16,Cavan,3.78,1.75,2.46,0.37
2015-03-17,Cavan,4.5,1.91,1.29,0.33
2015-03-18,Cavan,5.21,3.77,0.65,0.03
2015-03-19,Cavan,5.17,3.93,1.19,0.01
2015-03-20,Cavan,7.05,2.64,2.99,0.36
2015-03-21,Cavan,6.16,3.79,1.92,0.02
2015-03-22,Cavan,5.54,4.0,3.18,0.25
2015-03-23,Cavan,5.85,3.71,3.69,0.99
2015-03-24,Cavan,3.69,4.04,4.05,1.01
2015-03-25,Cavan,2.92,3.0,3.29,12.94
2015-03-26,Cavan,4.8,4.17,4.94,0.34
2015-03-27,Cavan,5.68,3.28,2.39,2.85
