date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Clare,10.65,0.22,7.87,15.72
2015-01-02,Clare,5.04,0.97,4.26,5.19
2015-01-03,Clare,2.69,0.75,2.87,8.02
2015-01-04,Clare,5.65,0.75,3.18,0.57
2015-01-05,Clare,8.18,0.35,4.16,3.65
2015-01-06,Clare,5.34,0.87,4.21,1.71
2015-01-07,Clare,8.71,0.21,7.81,11.97
2015-01-08,Clare,6.29,0.59,5.27,4.69
2015-01-09,Clare,10.33,0.22,8.51,5.37
2015-01-10,Clare,4.86,0.9,7.81,5.04
2015-01-11,Clare,6.04,0.41,7.05,1.85
2015-01-12,Clare,5.6,0.93,6.72,7.41
2015-01-13,Clare,1.79,0.73,5.14,8.5
2015-01-14,Clare,4.27,0.18,7.82,13.45
2015-01-15,Clare,3.66,0.56,8.3,7.1
2015-01-16,Clare,2.56,1.16,3.25,3.48
2015-01-17,Clare,2.41,0.69,2.7,1.74
2015-01-18,Clare,1.32,1.29,2.87,0.25
2015-01-19,Clare,0.34,0.38,2.74,6.22
2015-01-20,Clare,2.24,0.91,2.33,5.28
2015-01-21,Clare,2.71,1.18,2.45,0.67
2015-01-22,Clare,2.96,1.3,2.3,0.14
2015-01-23,Clare,6.32,0.55,4.7,3.62
2015-01-24,Clare,4.09,0.84,3.09,0.2
2015-01-25,Clare,8.01,0.71,4.74,4.35
2015-01-26,Clare,5.54,1.02,3.26,0.16
2015-01-27,Clare,6.73,0.83,4.16,1.65
2015-01-28,Clare,4.57,1.17,7.91,3.48
2015-01-29,Clare,3.36,1.1,7.62,5.04
2015-01-30,Clare,3.65,1.3,5.41,1.91
2015-01-31,Clare,2.62,1.48,6.41,0.84
2015-02-01,Clare,1.44,1.62,1.9,0.11
2015-02-02,Clare,0.62,1.27,0.68,1.11
2015-02-03,Clare,0.31,1.15,3.38,2.94
2015-02-04,Clare,-0.55,1.93,1.89,0.0
2015-02-05,Clare,1.74,1.69,1.76,0.17
2015-02-06,Clare,2.71,0.89,2.18,0.25
2015-02-07,Clare,3.18,0.86,2.43,0.26
2015-02-08,Clare,1.72,1.4,1.17,0.26
2015-02-09,Clare,4.34,0.88,0.95,0.23
2015-02-10,Clare,3.45,0.97,1.52,0.33
2015-02-11,Clare,4.04,0.56,1.96,0.42
2015-02-12,Clare,4.52,1.2,3.98,0.99
2015-02-13,Clare,4.98,1.52,3.42,7.02
2015-02-14,Clare,4.32,1.79,1.77,0.07
2015-02-15,Clare,5.49,0.65,4.07,8.13
2015-02-16,Clare,3.47,2.04,3.58,2.52
2015-02-17,Clare,5.86,1.8,4.57,0.14
2015-02-18,Clare,9.08,1.02,6.35,5.94
2015-02-19,Clare,5.6,1.51,3.85,2.34
2015-02-20,Clare,3.74,1.8,3.66,3.51
2015-02-21,Clare,3.33,2.04,4.13,1.03
2015-02-22,Clare,5.37,0.89,6.43,13.79
2015-02-23,Clare,3.86,1.58,8.94,10.43
2015-02-24,Clare,5.4,1.65,5.88,5.13
2015-02-25,Clare,9.79,1.18,5.54,9.07
2015-02-26,Clare,4.84,2.54,5.87,4.93
2015-02-27,Clare,5.13,1.45,4.77,2.41
2015-02-28,Clare,7.4,1.05,6.6,3.82
2015-03-01,Clare,3.31,2.04,5.32,8.26
2015-03-02,Clare,2.58,2.32,5.66,5.69
2015-03-03,Clare,3.08,2.62,5.53,1.71
2015-03-04,Clare,4.87,2.29,3.85,0.12
2015-03-05,Clare,7.38,1.58,5.66,0.28
2015-03-06,Clare,8.4,2.25,7.49,0.2
2015-03-07,Clare,10.71,1.46,7.92,8.61
2015-03-08,Clare,5.17,2.89,3.38,2.15
2015-03-09,Clare,6.17,2.5,7.0,4.55
2015-03-10,Clare,4.65,3.48,3.21,0.14
2015-03-11,Clare,6.4,3.48,5.73,7.92
2015-03-12,Clare,6.32,1.13,4.94,13.22
2015-03-13,Clare,4.31,4.03,1.13,0.0
2015-03-14,Clare,3.81,3.27,1.87,0.01
2015-03-15,Clare,3.3,2.05,2.4,0.11
2015-03-16,Clare,3.8,1.63,2.48,0.66
2015-03-17,Clare,3.79,3.15,1.51,0.18
2015-03-18,Clare,5.5,3.82,0.96,0.0
2015-03-19,Clare,5.65,3.62,0.96,0.0
2015-03-20,Clare,7.65,2.9,2.5,0.3
2015-03-21,Clare,6.1,4.31,1.99,0.03
2015-03-22,Clare,6.37,3.82,3.38,0.41
2015-03-23,Clare,6.26,4.04,3.71,1.4
2015-03-24,Clare,4.1,4.07,3.76,1.26
2015-03-25,Clare,3.82,1.76,3.71,15.83
2015-03-26,Clare,6.2,4.21,4.22,0.12
2015-03-27,Clare,6.63,2.61,2.95,1.94
2015-03-28,Clare,9.27,2.81,7.59,6.63
2015-03-29,Clare,6.83,2.19,6.19,9.07
2015-03-30,Clare,7.25,1.61,6.77,10.88
2015-03-31,Clare,5.67,3.8,7.58,1.45
2015-04-01,Clare,7.19,1.94,5.25,3.48
2015-04-02,Clare,10.28,2.28,4.03,8.38
2015-04-03,Clare,7.91,3.41,5.15,0.44
2015-04-04,Clare,9.96,3.11,1.74,0.22
2015-04-05,Clare,9.28,4.38,1.95,0.04
2015-04-06,Clare,9.28,5.08,1.15,0.0
2015-04-07,Clare,10.37,5.65,0.95,0.01
2015-04-08,Clare,9.27,5.65,2.21,0.01
2015-04-09,Clare,9.08,5.81,2.33,0.01
2015-04-10,Clare,8.77,4.86,4.01,6.31
2015-04-11,Clare,5.71,4.8,4.87,1.55
2015-04-12,Clare,5.51,3.96,2.4,16.05
2015-04-13,Clare,9.7,3.28,4.62,0.68
2015-04-14,Clare,9.85,4.75,4.42,0.11
2015-04-15,Clare,8.16,3.69,2.51,1.62
2015-04-16,Clare,8.36,6.07,2.21,0.0
2015-04-17,Clare,9.12,4.97,3.11,0.11
2015-04-18,Clare,8.89,6.32,4.05,0.02
2015-04-19,Clare,8.45,6.31,3.01,0.02
2015-04-20,Clare,9.73,5.43,0.96,0.01
2015-04-21,Clare,10.31,6.63,2.17,0.0
2015-04-22,Clare,10.05,6.6,2.78,0.01
2015-04-23,Clare,10.65,6.25,1.69,0.02
2015-04-24,Clare,9.17,3.09,2.88,3.4
2015-04-25,Clare,7.52,3.79,3.54,3.46
2015-04-26,Clare,4.95,6.48,2.38,0.36
2015-04-27,Clare,4.26,4.87,4.39,2.18
2015-04-28,Clare,5.0,4.12,4.76,10.04
2015-04-29,Clare,6.54,5.86,4.8,1.55
2015-04-30,Clare,7.23,5.86,2.35,0.5
2015-05-01,Clare,6.53,3.08,4.77,6.42
2015-05-02,Clare,9.65,2.91,4.93,26.75
2015-05-03,Clare,11.12,3.79,4.38,11.7
2015-05-04,Clare,9.14,3.89,3.8,2.35
2015-05-05,Clare,8.2,5.33,3.79,10.81
2015-05-06,Clare,8.41,5.06,4.33,5.77
2015-05-07,Clare,8.75,5.21,0.65,1.62
2015-05-08,Clare,7.07,1.65,2.56,10.72
2015-05-09,Clare,10.3,4.73,2.72,1.31
2015-05-10,Clare,12.75,1.9,6.3,9.5
2015-05-11,Clare,10.71,5.93,6.99,0.98
2015-05-12,Clare,8.91,5.86,4.87,1.51
2015-05-13,Clare,10.23,7.32,2.8,0.01
2015-05-14,Clare,10.0,4.15,4.05,3.94
2015-05-15,Clare,10.25,2.37,4.29,4.19
2015-05-16,Clare,8.85,5.4,5.06,0.42
2015-05-17,Clare,8.84,3.68,4.55,6.25
2015-05-18,Clare,7.6,5.98,6.06,6.58
2015-05-19,Clare,7.88,6.31,5.23,2.34
2015-05-20,Clare,8.88,4.71,3.65,0.39
2015-05-21,Clare,11.0,3.98,3.48,1.32
2015-05-22,Clare,11.69,3.6,3.14,1.39
2015-05-23,Clare,11.56,4.2,2.45,2.29
2015-05-24,Clare,10.36,4.86,3.76,0.23
2015-05-25,Clare,11.66,4.45,3.56,0.59
2015-05-26,Clare,10.94,6.52,3.06,0.15
2015-05-27,Clare,9.03,2.97,4.43,5.58
2015-05-28,Clare,9.01,5.17,4.49,4.28
2015-05-29,Clare,8.39,6.54,3.89,1.98
2015-05-30,Clare,9.51,3.14,3.62,13.68
2015-05-31,Clare,7.9,6.53,5.65,1.26
2015-06-01,Clare,8.17,1.95,6.23,10.37
2015-06-02,Clare,9.68,5.72,5.7,2.19
2015-06-03,Clare,10.38,5.31,2.73,0.51
2015-06-04,Clare,11.07,4.02,3.17,3.83
2015-06-05,Clare,10.37,6.62,6.41,2.48
2015-06-06,Clare,9.84,5.36,5.75,2.63
2015-06-07,Clare,10.39,6.98,2.34,0.03
2015-06-08,Clare,10.08,6.82,2.8,0.01
2015-06-09,Clare,11.9,7.69,1.9,0.0
2015-06-10,Clare,13.0,7.25,1.91,0.0
2015-06-11,Clare,12.87,4.78,2.71,0.38
2015-06-12,Clare,13.89,2.44,2.88,0.69
2015-06-13,Clare,12.39,4.61,2.92,0.04
2015-06-14,Clare,11.15,6.21,2.01,0.01
2015-06-15,Clare,13.01,6.17,1.94,0.1
2015-06-16,Clare,14.58,3.5,3.9,1.22
2015-06-17,Clare,13.17,2.79,4.1,2.36
2015-06-18,Clare,11.52,6.13,3.14,0.05
2015-06-19,Clare,13.82,3.57,3.3,1.38
2015-06-20,Clare,14.21,6.33,4.38,1.16
2015-06-21,Clare,11.28,3.98,4.47,2.04
2015-06-22,Clare,12.94,6.15,2.4,0.1
2015-06-23,Clare,14.01,5.71,1.45,0.04
2015-06-24,Clare,15.13,4.49,2.63,1.3
2015-06-25,Clare,15.77,2.19,4.35,3.18
2015-06-26,Clare,14.71,7.01,4.21,1.57
2015-06-27,Clare,14.72,3.46,4.93,10.72
2015-06-28,Clare,14.31,6.6,4.99,0.93
2015-06-29,Clare,15.66,3.54,4.19,2.88
2015-06-30,Clare,18.08,4.16,4.04,0.15
2015-07-01,Clare,16.7,3.59,1.44,3.72
2015-07-02,Clare,15.15,5.78,2.95,0.9
2015-07-03,Clare,16.13,5.15,4.9,1.32
2015-07-04,Clare,15.07,5.24,4.56,2.75
