date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Cork,10.89,0.14,8.07,8.72
2015-01-02,Cork,4.6,1.02,3.08,5.54
2015-01-03,Cork,5.57,0.78,3.06,6.99
2015-01-04,Cork,7.12,0.64,2.96,1.36
2015-01-05,Cork,8.75,0.41,4.52,4.73
2015-01-06,Cork,5.24,1.01,4.17,1.48
2015-01-07,Cork,8.95,0.27,7.6,10.55
2015-01-08,Cork,6.81,0.83,5.33,3.78
2015-01-09,Cork,10.85,0.33,8.21,3.29
2015-01-10,Cork,5.31,0.97,7.51,2.85
2015-01-11,Cork,5.67,0.45,6.44,0.8
2015-01-12,Cork,6.02,0.78,5.69,4.77
2015-01-13,Cork,1.63,0.7,4.61,6.64
2015-01-14,Cork,4.54,0.26,7.67,13.28
2015-01-15,Cork,3.28,0.68,7.36,5.56
2015-01-16,Cork,2.18,1.35,3.42,1.24
2015-01-17,Cork,2.06,0.71,2.65,1.53
2015-01-18,Cork,1.13,1.31,3.62,0.08
2015-01-19,Cork,1.26,0.37,2.33,8.23
2015-01-20,Cork,3.4,1.18,4.29,3.24
2015-01-21,Cork,3.3,1.34,3.7,0.46
2015-01-22,Cork,3.54,1.16,1.68,0.12
2015-01-23,Cork,7.12,0.52,4.55,2.96
2015-01-24,Cork,3.53,1.0,2.49,0.03
2015-01-25,Cork,8.44,0.68,4.47,3.24
2015-01-26,Cork,5.13,1.0,2.95,0.2
2015-01-27,Cork,6.38,0.84,3.66,1.04
2015-01-28,Cork,4.73,0.99,7.43,1.76
2015-01-29,Cork,3.2,1.16,7.63,2.85
2015-01-30,Cork,3.32,1.49,5.82,1.51
2015-01-31,Cork,2.18,1.7,6.8,0.37
2015-02-01,Cork,1.34,1.67,2.31,0.08
2015-02-02,Cork,0.61,1.0,1.08,1.02
2015-02-03,Cork,0.49,1.55,3.07,2.54
2015-02-04,Cork,-0.7,2.1,2.87,0.03
2015-02-05,Cork,1.7,1.84,2.89,0.09
2015-02-06,Cork,2.7,1.33,2.93,0.2
2015-02-07,Cork,3.18,1.2,3.22,0.32
2015-02-08,Cork,2.84,1.53,1.31,0.12
2015-02-09,Cork,4.11,1.22,1.16,0.31
2015-02-10,Cork,3.96,0.8,1.98,0.45
2015-02-11,Cork,4.76,0.51,1.68,0.65
2015-02-12,Cork,5.08,1.07,4.14,2.68
2015-02-13,Cork,5.65,1.59,4.79,7.78
2015-02-14,Cork,5.11,1.83,1.92,0.1
2015-02-15,Cork,6.21,0.86,3.65,7.21
2015-02-16,Cork,3.21,2.4,4.0,1.55
2015-02-17,Cork,5.07,1.4,3.9,0.03
2015-02-18,Cork,8.54,1.18,5.89,2.98
2015-02-19,Cork,5.23,0.9,3.36,2.95
2015-02-20,Cork,2.99,1.99,3.5,2.65
2015-02-21,Cork,3.07,2.33,4.51,0.88
2015-02-22,Cork,5.98,1.05,6.21,10.87
2015-02-23,Cork,3.58,1.94,9.08,7.15
2015-02-24,Cork,5.44,2.31,6.2,3.39
2015-02-25,Cork,10.04,1.62,5.58,4.21
2015-02-26,Cork,4.97,2.6,5.87,3.73
2015-02-27,Cork,4.78,1.38,4.39,3.52
2015-02-28,Cork,7.33,1.06,6.2,2.49
2015-03-01,Cork,4.03,2.05,5.62,5.41
2015-03-02,Cork,2.84,2.54,5.62,3.53
2015-03-03,Cork,2.73,2.74,5.02,1.67
2015-03-04,Cork,4.68,2.53,3.49,0.12
2015-03-05,Cork,7.12,1.44,4.91,0.24
2015-03-06,Cork,8.3,1.99,7.25,0.13
2015-03-07,Cork,10.11,1.36,7.38,3.35
2015-03-08,Cork,6.09,3.43,3.03,6.35
2015-03-09,Cork,6.59,2.61,6.11,5.01
2015-03-10,Cork,5.09,3.52,3.58,0.49
2015-03-11,Cork,7.22,3.89,5.79,9.51
