date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Derry_IE,8.89,0.22,7.91,18.48
2015-01-02,Derry_IE,4.54,0.8,7.64,2.48
2015-01-03,Derry_IE,3.75,0.71,2.35,4.11
2015-01-04,Derry_IE,2.64,0.41,4.85,0.31
2015-01-05,Derry_IE,7.06,0.26,5.67,2.36
2015-01-06,Derry_IE,4.5,0.82,5.0,3.84
2015-01-07,Derry_IE,7.72,0.18,9.28,11.01
2015-01-08,Derry_IE,5.04,0.8,7.93,3.93
2015-01-09,Derry_IE,8.55,0.18,10.55,11.64
2015-01-10,Derry_IE,4.29,0.73,10.1,5.55
2015-01-11,Derry_IE,5.61,0.34,9.32,2.87
2015-01-12,Derry_IE,4.37,0.9,9.29,6.05
2015-01-13,Derry_IE,1.18,0.59,6.65,4.72
2015-01-14,Derry_IE,2.77,0.24,8.59,12.95
2015-01-15,Derry_IE,4.06,0.31,12.4,10.14
2015-01-16,Derry_IE,2.08,0.7,5.2,3.99
2015-01-17,Derry_IE,2.3,0.7,4.23,4.58
2015-01-18,Derry_IE,2.77,0.91,4.99,1.53
2015-01-19,Derry_IE,0.81,0.69,2.83,0.56
2015-01-20,Derry_IE,1.24,0.51,3.91,4.29
2015-01-21,Derry_IE,2.71,0.81,1.38,1.83
2015-01-22,Derry_IE,1.52,1.05,3.86,0.3
2015-01-23,Derry_IE,4.89,0.56,6.81,4.5
2015-01-24,Derry_IE,3.98,0.79,5.61,0.5
2015-01-25,Derry_IE,6.86,0.43,6.34,3.73
2015-01-26,Derry_IE,5.22,0.91,5.41,0.61
2015-01-27,Derry_IE,6.31,0.74,5.64,1.8
2015-01-28,Derry_IE,3.82,0.79,9.6,7.9
2015-01-29,Derry_IE,2.64,0.5,8.14,11.39
2015-01-30,Derry_IE,3.95,1.16,7.63,3.68
2015-01-31,Derry_IE,2.96,1.17,9.34,2.02
2015-02-01,Derry_IE,2.27,1.28,4.01,0.4
2015-02-02,Derry_IE,0.92,1.13,1.67,3.13
2015-02-03,Derry_IE,1.03,0.9,5.21,5.27
2015-02-04,Derry_IE,1.04,1.58,2.4,0.05
2015-02-05,Derry_IE,3.44,1.16,2.42,0.85
2015-02-06,Derry_IE,3.95,0.84,1.28,0.21
2015-02-07,Derry_IE,4.65,0.87,3.09,0.37
2015-02-08,Derry_IE,3.37,1.59,2.41,0.25
2015-02-09,Derry_IE,5.39,0.74,2.99,0.7
2015-02-10,Derry_IE,3.21,0.82,3.24,0.44
2015-02-11,Derry_IE,2.94,0.59,3.94,0.57
2015-02-12,Derry_IE,4.03,0.93,4.83,0.36
2015-02-13,Derry_IE,5.21,0.83,4.6,4.32
2015-02-14,Derry_IE,5.03,1.16,2.97,0.11
2015-02-15,Derry_IE,4.92,0.88,6.26,11.12
2015-02-16,Derry_IE,3.95,1.63,4.82,1.08
2015-02-17,Derry_IE,5.45,1.32,6.81,0.82
2015-02-18,Derry_IE,8.79,0.85,8.23,6.37
2015-02-19,Derry_IE,5.41,1.96,6.01,2.18
2015-02-20,Derry_IE,3.47,1.67,5.02,3.53
2015-02-21,Derry_IE,3.11,1.84,5.37,3.26
2015-02-22,Derry_IE,3.26,1.13,7.08,10.24
2015-02-23,Derry_IE,3.26,1.31,9.45,10.41
2015-02-24,Derry_IE,4.3,1.76,7.41,4.13
2015-02-25,Derry_IE,7.39,1.02,5.0,6.04
2015-02-26,Derry_IE,4.6,2.38,7.92,3.21
2015-02-27,Derry_IE,4.45,1.77,6.66,1.72
2015-02-28,Derry_IE,6.22,1.17,7.72,10.26
2015-03-01,Derry_IE,3.74,1.71,8.13,2.14
2015-03-02,Derry_IE,1.91,1.83,7.28,5.33
2015-03-03,Derry_IE,2.44,1.71,7.84,5.5
2015-03-04,Derry_IE,4.7,2.58,5.83,0.53
2015-03-05,Derry_IE,7.11,1.63,7.79,1.52
2015-03-06,Derry_IE,7.76,1.35,9.98,1.81
2015-03-07,Derry_IE,10.35,1.19,10.38,5.89
2015-03-08,Derry_IE,4.97,2.81,5.26,0.72
