date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Down_IE,11.03,0.17,10.16,6.49
2015-01-02,Down_IE,6.72,0.75,9.56,0.72
2015-01-03,Down_IE,6.01,0.53,4.37,8.48
2015-01-04,Down_IE,7.06,0.32,4.91,0.22
2015-01-05,Down_IE,9.53,0.24,6.51,1.55
2015-01-06,Down_IE,7.1,0.81,7.47,2.7
2015-01-07,Down_IE,9.41,0.12,10.67,10.25
2015-01-08,Down_IE,7.24,0.8,9.11,3.3
2015-01-09,Down_IE,10.06,0.22,11.26,5.19
2015-01-10,Down_IE,6.65,0.71,12.08,3.63
2015-01-11,Down_IE,6.45,0.28,10.69,0.95
2015-01-12,Down_IE,7.34,0.74,10.46,3.99
2015-01-13,Down_IE,4.17,0.74,9.35,1.89
2015-01-14,Down_IE,5.95,0.33,11.85,15.15
2015-01-15,Down_IE,5.84,0.52,13.87,1.88
2015-01-16,Down_IE,4.47,0.78,8.08,0.49
2015-01-17,Down_IE,4.26,0.72,7.52,1.86
2015-01-18,Down_IE,4.75,0.81,7.31,0.35
2015-01-19,Down_IE,4.13,0.84,3.29,0.07
2015-01-20,Down_IE,5.08,0.51,5.22,12.01
2015-01-21,Down_IE,4.82,0.48,3.84,2.45
2015-01-22,Down_IE,5.82,0.65,3.03,0.21
2015-01-23,Down_IE,7.03,0.34,8.3,4.47
2015-01-24,Down_IE,5.42,0.88,7.48,0.06
2015-01-25,Down_IE,7.88,0.38,6.78,2.05
2015-01-26,Down_IE,6.46,0.9,6.95,0.19
2015-01-27,Down_IE,6.53,0.64,6.72,1.06
2015-01-28,Down_IE,5.46,0.75,11.43,5.57
2015-01-29,Down_IE,3.9,0.57,10.52,7.03
2015-01-30,Down_IE,5.02,1.07,9.31,3.03
2015-01-31,Down_IE,4.52,1.08,11.97,1.04
2015-02-01,Down_IE,3.95,1.28,7.83,0.1
2015-02-02,Down_IE,3.61,1.02,4.32,1.33
2015-02-03,Down_IE,3.87,1.39,4.27,0.31
2015-02-04,Down_IE,4.58,1.48,5.64,0.03
2015-02-05,Down_IE,5.7,1.25,5.28,0.15
2015-02-06,Down_IE,6.21,1.27,3.15,0.14
2015-02-07,Down_IE,6.52,1.05,5.34,0.19
2015-02-08,Down_IE,5.01,1.52,4.13,0.14
2015-02-09,Down_IE,5.55,0.87,3.66,0.35
2015-02-10,Down_IE,4.83,0.7,2.37,0.65
2015-02-11,Down_IE,5.76,0.31,3.66,1.11
2015-02-12,Down_IE,6.5,0.7,4.98,1.41
2015-02-13,Down_IE,7.21,0.7,6.42,5.11
2015-02-14,Down_IE,7.07,1.71,4.21,0.28
2015-02-15,Down_IE,7.07,1.76,6.87,10.95
2015-02-16,Down_IE,5.79,1.52,6.59,2.45
2015-02-17,Down_IE,6.08,1.3,7.05,0.05
2015-02-18,Down_IE,8.28,1.08,8.06,2.66
2015-02-19,Down_IE,7.14,1.57,6.97,1.83
2015-02-20,Down_IE,4.69,1.54,6.56,1.37
2015-02-21,Down_IE,4.44,1.85,7.74,1.5
2015-02-22,Down_IE,5.81,0.59,8.69,15.0
2015-02-23,Down_IE,4.78,1.65,11.75,3.59
2015-02-24,Down_IE,5.61,1.9,9.6,1.67
2015-02-25,Down_IE,7.57,1.08,5.18,2.16
2015-02-26,Down_IE,6.37,2.31,8.33,6.81
2015-02-27,Down_IE,5.44,2.01,8.15,1.15
2015-02-28,Down_IE,7.52,1.0,8.75,4.4
2015-03-01,Down_IE,4.96,1.54,9.9,1.1
2015-03-02,Down_IE,3.82,2.39,9.85,2.8
2015-03-03,Down_IE,4.19,2.24,9.88,1.12
2015-03-04,Down_IE,5.43,2.87,6.91,0.09
2015-03-05,Down_IE,7.3,1.41,7.18,0.11
2015-03-06,Down_IE,8.01,1.16,9.26,0.05
2015-03-07,Down_IE,9.22,0.96,9.92,0.9
2015-03-08,Down_IE,7.15,2.67,5.53,3.96
2015-03-09,Down_IE,7.24,1.2,9.9,5.63
2015-03-10,Down_IE,6.02,3.38,4.93,0.0
2015-03-11,Down_IE,7.42,1.48,7.83,3.84
2015-03-12,Down_IE,7.27,0.8,7.74,22.37
2015-03-13,Down_IE,5.78,3.35,4.06,0.02
2015-03-14,Down_IE,5.57,1.85,4.45,0.14
2015-03-15,Down_IE,5.68,1.99,4.55,0.08
2015-03-16,Down_IE,5.95,1.56,4.56,0.58
2015-03-17,Down_IE,5.9,2.11,2.66,0.29
2015-03-18,Down_IE,5.9,3.4,1.73,0.01
2015-03-19,Down_IE,6.72,3.29,1.25,0.0
2015-03-20,Down_IE,7.22,2.31,4.47,0.2
2015-03-21,Down_IE,6.72,4.19,3.29,0.03
2015-03-22,Down_IE,6.96,3.57,3.91,0.02
2015-03-23,Down_IE,7.04,3.32,5.29,0.61
2015-03-24,Down_IE,5.27,3.43,7.14,1.71
2015-03-25,Down_IE,5.32,4.25,5.49,9.58
2015-03-26,Down_IE,6.71,3.74,8.48,3.39
2015-03-27,Down_IE,6.38,2.93,4.37,0.7
2015-03-28,Down_IE,8.96,2.81,8.81,8.46
2015-03-29,Down_IE,6.5,2.76,8.22,5.87
2015-03-30,Down_IE,6.83,1.64,9.21,10.19
2015-03-31,Down_IE,6.19,3.74,12.25,1.03
2015-04-01,Down_IE,5.83,2.7,7.67,5.83
2015-04-02,Down_IE,6.14,3.06,3.77,7.2
2015-04-03,Down_IE,7.95,2.29,6.86,1.88
2015-04-04,Down_IE,8.23,3.02,3.28,0.32
2015-04-05,Down_IE,7.53,2.85,1.2,0.59
2015-04-06,Down_IE,9.27,4.14,1.47,0.14
2015-04-07,Down_IE,9.74,4.77,1.2,0.0
2015-04-08,Down_IE,8.89,4.53,2.98,0.0
2015-04-09,Down_IE,9.21,5.2,2.99,0.0
2015-04-10,Down_IE,8.84,4.14,5.61,0.14
2015-04-11,Down_IE,7.07,5.05,7.75,4.57
2015-04-12,Down_IE,7.2,3.74,5.64,17.05
2015-04-13,Down_IE,8.6,2.5,5.01,0.37
2015-04-14,Down_IE,9.94,2.39,5.21,0.22
2015-04-15,Down_IE,8.47,4.12,3.24,2.13
2015-04-16,Down_IE,8.04,5.36,2.77,0.0
2015-04-17,Down_IE,8.82,4.64,4.98,0.03
2015-04-18,Down_IE,8.17,6.21,5.15,0.0
2015-04-19,Down_IE,8.24,4.45,4.13,0.01
2015-04-20,Down_IE,8.57,5.72,2.52,0.03
2015-04-21,Down_IE,9.47,6.34,2.31,0.0
2015-04-22,Down_IE,9.54,5.99,2.54,0.08
2015-04-23,Down_IE,10.52,5.61,1.47,0.0
2015-04-24,Down_IE,9.54,2.78,4.39,1.58
2015-04-25,Down_IE,7.97,4.4,5.92,3.82
2015-04-26,Down_IE,6.61,5.53,5.44,0.26
2015-04-27,Down_IE,6.22,4.37,6.25,2.01
2015-04-28,Down_IE,6.47,5.25,8.74,4.33
2015-04-29,Down_IE,6.92,4.49,7.49,3.07
2015-04-30,Down_IE,7.98,6.56,4.57,0.35
2015-05-01,Down_IE,7.8,5.37,4.66,0.07
2015-05-02,Down_IE,7.53,2.0,9.01,22.85
2015-05-03,Down_IE,9.72,3.22,6.31,14.63
2015-05-04,Down_IE,9.26,5.79,5.62,0.72
2015-05-05,Down_IE,9.15,2.61,5.8,14.6
2015-05-06,Down_IE,8.83,3.77,7.59,2.53
