date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Dublin,11.29,0.22,9.03,3.88
2015-01-02,Dublin,5.33,0.98,7.1,1.18
2015-01-03,Dublin,4.18,0.68,3.14,10.67
2015-01-04,Dublin,5.61,0.51,3.7,0.26
2015-01-05,Dublin,8.88,0.3,5.13,1.04
2015-01-06,Dublin,5.75,0.96,5.8,2.69
2015-01-07,Dublin,8.78,0.25,8.75,7.42
2015-01-08,Dublin,6.23,0.88,7.07,2.85
2015-01-09,Dublin,10.12,0.18,9.73,2.35
2015-01-10,Dublin,5.84,0.98,9.95,2.79
2015-01-11,Dublin,5.26,0.41,8.65,0.6
2015-01-12,Dublin,6.3,0.99,8.19,3.74
2015-01-13,Dublin,2.41,0.73,7.13,2.31
2015-01-14,Dublin,4.34,0.27,9.0,8.65
2015-01-15,Dublin,4.48,0.57,11.18,1.63
2015-01-16,Dublin,2.5,1.16,6.08,0.85
2015-01-17,Dublin,2.82,1.05,5.73,1.07
2015-01-18,Dublin,2.68,1.14,5.56,0.48
2015-01-19,Dublin,1.21,0.76,2.52,0.05
2015-01-20,Dublin,3.3,0.51,3.35,8.87
2015-01-21,Dublin,2.62,0.93,3.66,1.44
2015-01-22,Dublin,3.63,1.0,1.96,0.16
2015-01-23,Dublin,5.98,0.48,6.38,3.7
2015-01-24,Dublin,3.61,0.99,5.47,0.04
2015-01-25,Dublin,7.28,0.54,5.6,1.85
2015-01-26,Dublin,5.47,1.01,5.37,0.28
2015-01-27,Dublin,5.79,0.84,5.41,0.8
2015-01-28,Dublin,4.83,1.2,9.64,3.79
2015-01-29,Dublin,2.85,0.83,9.22,7.21
2015-01-30,Dublin,4.0,1.28,7.81,3.04
2015-01-31,Dublin,3.27,1.48,9.79,1.29
2015-02-01,Dublin,1.88,1.61,5.63,0.13
2015-02-02,Dublin,1.48,1.33,3.08,1.25
2015-02-03,Dublin,1.56,1.34,3.28,0.49
2015-02-04,Dublin,2.08,1.79,4.28,0.06
2015-02-05,Dublin,4.03,1.45,4.14,0.14
2015-02-06,Dublin,5.09,0.75,2.61,0.24
2015-02-07,Dublin,5.2,0.83,4.08,0.41
2015-02-08,Dublin,3.44,1.31,3.03,0.26
