date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Fermanagh_IE,9.26,0.22,6.83,17.32
2015-01-02,Fermanagh_IE,3.75,0.8,5.5,1.52
2015-01-03,Fermanagh_IE,2.26,0.71,1.62,5.49
2015-01-04,Fermanagh_IE,2.0,0.41,3.3,0.48
2015-01-05,Fermanagh_IE,6.76,0.26,4.34,1.94
2015-01-06,Fermanagh_IE,3.82,0.82,3.67,3.6
2015-01-07,Fermanagh_IE,7.34,0.18,7.71,10.83
2015-01-08,Fermanagh_IE,4.31,0.8,5.92,3.89
2015-01-09,Fermanagh_IE,8.64,0.18,8.76,9.11
2015-01-10,Fermanagh_IE,3.89,0.73,8.09,5.85
2015-01-11,Fermanagh_IE,4.82,0.34,7.44,1.69
2015-01-12,Fermanagh_IE,3.93,0.9,7.2,4.79
2015-01-13,Fermanagh_IE,0.1,0.59,4.72,4.47
2015-01-14,Fermanagh_IE,2.03,0.24,6.97,14.32
2015-01-15,Fermanagh_IE,3.25,0.31,10.09,7.31
2015-01-16,Fermanagh_IE,0.96,0.7,3.39,3.21
2015-01-17,Fermanagh_IE,1.2,0.7,2.97,3.03
2015-01-18,Fermanagh_IE,1.12,0.91,3.08,0.99
2015-01-19,Fermanagh_IE,-0.7,0.69,2.04,0.45
2015-01-20,Fermanagh_IE,0.3,0.51,2.36,3.94
2015-01-21,Fermanagh_IE,1.43,0.81,1.13,0.93
2015-01-22,Fermanagh_IE,0.51,1.05,2.47,0.31
2015-01-23,Fermanagh_IE,4.06,0.56,4.97,4.85
2015-01-24,Fermanagh_IE,2.84,0.79,3.75,0.28
2015-01-25,Fermanagh_IE,6.45,0.43,4.81,3.19
2015-01-26,Fermanagh_IE,4.55,0.91,3.82,0.35
2015-01-27,Fermanagh_IE,5.5,0.74,4.2,1.44
2015-01-28,Fermanagh_IE,3.38,0.79,7.75,6.99
2015-01-29,Fermanagh_IE,2.0,0.5,6.97,10.01
2015-01-30,Fermanagh_IE,3.03,1.16,5.52,2.85
2015-01-31,Fermanagh_IE,2.08,1.17,7.17,1.5
2015-02-01,Fermanagh_IE,1.09,1.28,2.91,0.34
