date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Galway,10.09,0.12,7.27,15.71
2015-01-02,Galway,4.43,0.82,3.99,3.18
2015-01-03,Galway,2.69,0.89,2.06,7.38
2015-01-04,Galway,5.0,0.55,3.29,0.59
2015-01-05,Galway,7.87,0.37,4.12,4.63
2015-01-06,Galway,5.01,0.78,3.87,1.46
2015-01-07,Galway,8.41,0.19,7.7,11.95
2015-01-08,Galway,5.77,0.6,5.08,4.88
2015-01-09,Galway,9.88,0.16,8.39,7.29
2015-01-10,Galway,4.22,0.78,7.26,4.21
2015-01-11,Galway,5.77,0.34,7.01,3.62
2015-01-12,Galway,5.05,0.84,6.49,5.26
2015-01-13,Galway,1.3,0.52,4.46,7.4
2015-01-14,Galway,3.85,0.15,7.47,13.11
2015-01-15,Galway,3.47,0.46,8.4,5.45
2015-01-16,Galway,1.86,1.06,3.01,3.32
2015-01-17,Galway,1.71,0.86,2.41,1.41
2015-01-18,Galway,1.68,1.19,2.84,0.41
2015-01-19,Galway,0.11,0.36,2.69,5.16
2015-01-20,Galway,1.32,0.72,2.03,4.89
2015-01-21,Galway,2.22,0.92,2.11,1.07
2015-01-22,Galway,2.61,1.06,2.28,0.36
2015-01-23,Galway,5.75,0.54,4.55,3.02
2015-01-24,Galway,3.53,0.77,2.96,0.29
2015-01-25,Galway,7.88,0.44,4.9,3.55
2015-01-26,Galway,4.98,0.98,3.05,0.26
2015-01-27,Galway,6.45,0.64,4.04,1.85
2015-01-28,Galway,4.08,1.0,7.55,3.19
2015-01-29,Galway,2.94,0.79,7.28,6.21
2015-01-30,Galway,3.47,1.16,5.25,3.23
2015-01-31,Galway,2.74,1.24,6.33,1.38
2015-02-01,Galway,1.8,1.4,1.89,0.22
2015-02-02,Galway,0.71,1.15,0.71,1.91
2015-02-03,Galway,0.39,1.05,3.57,3.25
2015-02-04,Galway,-0.45,1.71,1.57,0.0
2015-02-05,Galway,1.83,1.27,1.59,0.26
2015-02-06,Galway,2.14,0.87,1.36,0.2
2015-02-07,Galway,3.28,0.88,1.97,0.16
2015-02-08,Galway,1.62,1.27,1.01,0.27
2015-02-09,Galway,4.48,0.71,1.03,0.36
2015-02-10,Galway,3.3,0.94,1.57,0.45
2015-02-11,Galway,3.81,0.61,2.16,0.41
2015-02-12,Galway,4.26,1.12,3.88,0.83
2015-02-13,Galway,4.68,1.4,2.98,5.93
2015-02-14,Galway,4.24,1.71,1.71,0.1
2015-02-15,Galway,4.94,0.51,4.16,8.03
2015-02-16,Galway,3.2,2.03,3.32,1.92
2015-02-17,Galway,5.82,1.27,4.89,0.18
2015-02-18,Galway,9.13,0.68,6.6,5.91
2015-02-19,Galway,5.18,2.07,3.74,2.5
2015-02-20,Galway,3.18,1.62,3.35,2.82
2015-02-21,Galway,2.99,1.91,3.85,1.27
2015-02-22,Galway,4.93,1.13,6.29,11.14
2015-02-23,Galway,3.78,1.36,8.29,6.28
2015-02-24,Galway,4.89,1.69,5.22,3.13
2015-02-25,Galway,9.52,0.93,5.06,6.42
2015-02-26,Galway,4.53,2.47,5.59,2.83
2015-02-27,Galway,4.92,1.38,4.75,2.5
2015-02-28,Galway,7.13,0.99,6.58,4.67
2015-03-01,Galway,3.34,1.9,5.07,6.05
2015-03-02,Galway,2.03,1.69,4.75,3.67
2015-03-03,Galway,2.62,1.48,5.13,0.96
2015-03-04,Galway,4.38,2.24,3.79,0.1
2015-03-05,Galway,7.67,1.63,6.24,0.4
2015-03-06,Galway,8.39,1.72,8.09,0.9
2015-03-07,Galway,10.67,0.96,8.47,8.96
2015-03-08,Galway,5.12,3.16,3.3,0.51
2015-03-09,Galway,5.7,2.17,7.15,4.41
2015-03-10,Galway,4.58,3.38,3.2,0.09
2015-03-11,Galway,5.83,3.14,5.54,8.57
2015-03-12,Galway,5.93,1.29,4.99,11.95
2015-03-13,Galway,4.25,3.96,0.86,0.0
2015-03-14,Galway,3.31,2.83,2.17,0.01
2015-03-15,Galway,3.53,2.43,2.73,0.09
2015-03-16,Galway,3.97,1.84,2.56,0.43
2015-03-17,Galway,4.06,2.85,1.43,0.18
2015-03-18,Galway,6.05,3.86,0.89,0.0
2015-03-19,Galway,6.13,3.16,1.26,0.01
2015-03-20,Galway,7.96,2.79,2.78,0.3
2015-03-21,Galway,6.24,3.48,1.87,0.02
2015-03-22,Galway,6.42,3.21,3.78,0.44
2015-03-23,Galway,6.21,3.81,3.65,1.48
2015-03-24,Galway,4.09,3.97,3.85,1.1
2015-03-25,Galway,3.5,1.82,3.85,14.37
2015-03-26,Galway,5.87,3.84,4.32,0.11
2015-03-27,Galway,6.72,2.9,2.82,3.06
2015-03-28,Galway,9.26,2.62,7.61,6.42
2015-03-29,Galway,6.05,2.71,5.13,6.67
2015-03-30,Galway,6.76,1.24,6.4,11.85
2015-03-31,Galway,5.37,3.88,7.56,0.95
2015-04-01,Galway,6.67,2.0,4.21,5.42
2015-04-02,Galway,9.58,2.11,2.3,9.58
2015-04-03,Galway,7.85,2.89,5.33,0.27
2015-04-04,Galway,9.95,3.63,1.91,0.2
2015-04-05,Galway,9.65,3.98,1.89,0.1
2015-04-06,Galway,9.08,5.28,1.49,0.0
2015-04-07,Galway,10.26,5.66,0.94,0.0
2015-04-08,Galway,9.92,5.64,2.17,0.0
2015-04-09,Galway,9.46,5.7,2.45,0.01
2015-04-10,Galway,8.88,4.87,4.09,6.53
2015-04-11,Galway,5.8,4.57,4.72,1.78
2015-04-12,Galway,4.94,4.96,2.47,12.73
2015-04-13,Galway,9.2,2.13,4.86,0.98
2015-04-14,Galway,10.17,2.82,5.18,0.14
2015-04-15,Galway,8.28,4.78,2.51,3.11
2015-04-16,Galway,7.83,5.41,1.97,0.0
2015-04-17,Galway,8.86,5.43,3.09,0.01
2015-04-18,Galway,8.76,6.47,4.08,0.01
2015-04-19,Galway,8.88,5.98,2.93,0.03
2015-04-20,Galway,10.27,5.59,1.17,0.02
2015-04-21,Galway,11.13,6.61,2.19,0.0
2015-04-22,Galway,10.8,6.35,2.77,0.05
