date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Kerry,10.84,0.22,8.37,10.94
2015-01-02,Kerry,5.01,0.97,3.32,6.13
2015-01-03,Kerry,5.35,0.75,3.0,6.38
2015-01-04,Kerry,7.35,0.75,3.19,1.44
2015-01-05,Kerry,8.6,0.35,4.57,6.26
2015-01-06,Kerry,5.64,0.87,4.4,1.01
2015-01-07,Kerry,9.07,0.21,7.85,14.31
2015-01-08,Kerry,7.07,0.59,5.73,4.85
2015-01-09,Kerry,10.85,0.22,8.44,4.16
2015-01-10,Kerry,5.36,0.9,7.72,4.3
2015-01-11,Kerry,6.14,0.41,6.77,1.25
2015-01-12,Kerry,6.05,0.93,6.07,6.69
2015-01-13,Kerry,2.03,0.73,5.16,9.07
2015-01-14,Kerry,4.84,0.18,8.09,15.17
2015-01-15,Kerry,3.51,0.56,7.6,7.44
2015-01-16,Kerry,2.81,1.16,3.3,1.96
2015-01-17,Kerry,2.57,0.69,2.5,2.3
2015-01-18,Kerry,1.72,1.29,3.22,0.19
2015-01-19,Kerry,1.82,0.38,2.56,9.97
2015-01-20,Kerry,4.1,0.91,4.69,4.19
2015-01-21,Kerry,3.67,1.18,3.57,0.73
2015-01-22,Kerry,4.3,1.3,2.08,0.51
2015-01-23,Kerry,7.41,0.55,4.69,4.04
2015-01-24,Kerry,4.28,0.84,2.63,0.07
2015-01-25,Kerry,8.76,0.71,4.73,4.69
2015-01-26,Kerry,5.46,1.02,2.79,0.17
2015-01-27,Kerry,6.78,0.83,3.77,1.58
2015-01-28,Kerry,4.85,1.17,7.67,2.16
2015-01-29,Kerry,3.57,1.1,7.84,3.78
2015-01-30,Kerry,3.81,1.3,5.7,2.28
2015-01-31,Kerry,2.74,1.48,6.71,0.96
2015-02-01,Kerry,1.9,1.62,1.96,0.3
2015-02-02,Kerry,0.89,1.27,1.04,3.51
2015-02-03,Kerry,0.99,1.15,3.98,2.55
2015-02-04,Kerry,-0.48,1.93,2.42,0.02
2015-02-05,Kerry,1.83,1.69,2.28,0.12
2015-02-06,Kerry,2.5,0.89,2.76,0.22
2015-02-07,Kerry,3.29,0.86,3.14,0.22
2015-02-08,Kerry,3.05,1.4,1.15,0.1
2015-02-09,Kerry,4.16,0.88,0.97,0.32
2015-02-10,Kerry,3.97,0.97,1.91,0.37
2015-02-11,Kerry,4.9,0.56,1.81,0.61
2015-02-12,Kerry,5.22,1.2,4.59,5.19
2015-02-13,Kerry,6.02,1.52,4.96,7.04
2015-02-14,Kerry,5.76,1.79,2.06,0.8
2015-02-15,Kerry,6.77,0.65,3.83,8.31
2015-02-16,Kerry,3.67,2.04,4.03,1.98
2015-02-17,Kerry,5.61,1.8,4.22,0.12
2015-02-18,Kerry,8.82,1.02,6.18,4.11
2015-02-19,Kerry,5.49,1.51,3.49,2.84
2015-02-20,Kerry,3.57,1.8,3.7,3.16
2015-02-21,Kerry,3.64,2.04,4.59,0.94
2015-02-22,Kerry,6.35,0.89,6.77,13.51
2015-02-23,Kerry,3.81,1.58,9.7,8.02
2015-02-24,Kerry,5.75,1.65,6.27,5.39
2015-02-25,Kerry,9.97,1.18,6.0,6.64
2015-02-26,Kerry,5.0,2.54,6.14,4.2
2015-02-27,Kerry,5.2,1.45,4.51,4.55
2015-02-28,Kerry,7.53,1.05,6.52,3.12
2015-03-01,Kerry,4.33,2.04,5.95,6.7
2015-03-02,Kerry,3.11,2.32,5.97,4.61
2015-03-03,Kerry,3.15,2.62,5.32,1.99
2015-03-04,Kerry,5.01,2.29,3.52,0.16
2015-03-05,Kerry,7.42,1.58,5.26,0.3
2015-03-06,Kerry,8.39,2.25,7.55,0.14
2015-03-07,Kerry,10.23,1.46,7.73,6.36
2015-03-08,Kerry,5.82,2.89,3.14,5.45
2015-03-09,Kerry,6.75,2.5,6.47,6.04
2015-03-10,Kerry,5.53,3.48,3.94,0.88
2015-03-11,Kerry,7.2,3.48,6.01,11.21
2015-03-12,Kerry,6.48,1.13,5.21,15.43
2015-03-13,Kerry,4.07,4.03,1.3,0.0
2015-03-14,Kerry,3.88,3.27,1.63,0.02
2015-03-15,Kerry,3.06,2.05,2.48,0.2
2015-03-16,Kerry,4.09,1.63,2.95,0.92
2015-03-17,Kerry,5.27,3.15,1.71,0.15
2015-03-18,Kerry,5.6,3.82,1.13,0.02
2015-03-19,Kerry,5.63,3.62,1.03,0.0
2015-03-20,Kerry,6.91,2.9,2.68,0.19
2015-03-21,Kerry,6.21,4.31,2.37,0.03
2015-03-22,Kerry,6.28,3.82,2.52,0.44
2015-03-23,Kerry,6.13,4.04,4.12,1.82
2015-03-24,Kerry,4.85,4.07,4.54,1.05
2015-03-25,Kerry,5.48,1.76,3.82,19.28
2015-03-26,Kerry,6.61,4.21,4.44,0.08
2015-03-27,Kerry,7.27,2.61,2.92,3.0
2015-03-28,Kerry,9.53,2.81,7.68,4.87
2015-03-29,Kerry,8.01,2.19,7.42,6.57
2015-03-30,Kerry,7.95,1.61,6.65,5.46
2015-03-31,Kerry,6.1,3.8,7.48,0.82
2015-04-01,Kerry,7.82,1.94,4.91,2.08
2015-04-02,Kerry,10.09,2.28,4.1,4.19
2015-04-03,Kerry,7.79,3.41,5.97,0.29
2015-04-04,Kerry,9.75,3.11,2.06,0.2
2015-04-05,Kerry,8.36,4.38,2.75,0.01
2015-04-06,Kerry,8.85,5.08,1.52,0.01
2015-04-07,Kerry,9.38,5.65,1.41,0.01
2015-04-08,Kerry,8.84,5.65,2.88,0.08
2015-04-09,Kerry,8.75,5.81,2.39,0.04
2015-04-10,Kerry,8.42,4.86,4.11,5.58
2015-04-11,Kerry,5.75,4.8,4.72,1.7
2015-04-12,Kerry,7.33,3.96,3.92,7.97
2015-04-13,Kerry,10.36,3.28,4.63,0.62
2015-04-14,Kerry,9.76,4.75,3.79,0.19
2015-04-15,Kerry,8.09,3.69,2.61,0.63
2015-04-16,Kerry,9.13,6.07,2.38,0.0
2015-04-17,Kerry,9.56,4.97,2.77,0.1
