date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Kildare,10.67,0.22,7.65,6.32
2015-01-02,Kildare,3.3,0.98,4.58,2.95
2015-01-03,Kildare,2.34,0.68,2.35,13.45
2015-01-04,Kildare,4.61,0.51,2.33,0.22
2015-01-05,Kildare,8.04,0.3,4.19,1.85
2015-01-06,Kildare,3.95,0.96,3.94,3.13
2015-01-07,Kildare,7.86,0.25,7.32,7.66
2015-01-08,Kildare,4.6,0.88,4.82,2.98
2015-01-09,Kildare,9.44,0.18,7.8,2.51
2015-01-10,Kildare,4.48,0.98,7.8,3.31
2015-01-11,Kildare,3.48,0.41,6.22,0.51
2015-01-12,Kildare,4.78,0.99,6.04,4.7
2015-01-13,Kildare,0.14,0.73,4.68,3.4
2015-01-14,Kildare,2.54,0.27,6.72,11.03
2015-01-15,Kildare,2.36,0.57,8.23,2.33
2015-01-16,Kildare,0.09,1.16,3.79,0.73
2015-01-17,Kildare,0.92,1.05,3.58,0.66
2015-01-18,Kildare,-0.12,1.14,3.72,0.38
2015-01-19,Kildare,-1.24,0.76,1.79,0.24
2015-01-20,Kildare,1.26,0.51,2.07,5.79
2015-01-21,Kildare,1.01,0.93,2.81,0.68
2015-01-22,Kildare,1.38,1.0,1.23,0.21
2015-01-23,Kildare,5.12,0.48,4.71,3.83
2015-01-24,Kildare,1.56,0.99,3.22,0.1
2015-01-25,Kildare,6.43,0.54,4.27,2.18
2015-01-26,Kildare,4.17,1.01,3.68,0.29
2015-01-27,Kildare,4.47,0.84,3.72,0.92
2015-01-28,Kildare,3.54,1.2,7.55,3.03
2015-01-29,Kildare,1.4,0.83,7.4,6.12
2015-01-30,Kildare,2.49,1.28,5.96,2.61
2015-01-31,Kildare,1.23,1.48,7.36,0.74
2015-02-01,Kildare,-0.67,1.61,3.6,0.07
2015-02-02,Kildare,-0.65,1.33,1.89,0.45
2015-02-03,Kildare,-0.61,1.34,2.23,0.42
2015-02-04,Kildare,-0.78,1.79,3.03,0.14
2015-02-05,Kildare,1.31,1.45,2.9,0.18
2015-02-06,Kildare,2.88,0.75,1.85,0.27
2015-02-07,Kildare,3.03,0.83,2.74,0.59
2015-02-08,Kildare,1.35,1.31,1.85,0.48
2015-02-09,Kildare,2.84,0.79,1.46,0.32
2015-02-10,Kildare,2.67,0.95,1.24,0.65
2015-02-11,Kildare,3.65,0.45,1.67,0.95
2015-02-12,Kildare,3.57,1.03,2.95,1.51
2015-02-13,Kildare,5.04,1.12,3.65,5.95
2015-02-14,Kildare,4.56,1.32,2.07,0.37
2015-02-15,Kildare,4.94,0.96,3.79,9.11
2015-02-16,Kildare,2.67,2.08,3.73,1.18
2015-02-17,Kildare,2.99,1.53,3.69,0.04
2015-02-18,Kildare,7.52,1.34,5.71,2.33
2015-02-19,Kildare,5.11,1.79,3.76,2.59
2015-02-20,Kildare,2.0,1.66,3.53,1.42
2015-02-21,Kildare,1.57,2.18,4.54,0.81
2015-02-22,Kildare,3.79,0.79,5.47,13.2
2015-02-23,Kildare,2.37,1.92,7.85,3.73
2015-02-24,Kildare,3.89,1.99,5.97,1.55
2015-02-25,Kildare,8.42,1.09,3.95,3.04
2015-02-26,Kildare,4.64,2.73,5.52,4.84
2015-02-27,Kildare,3.04,2.0,4.81,1.4
2015-02-28,Kildare,6.32,1.14,5.72,2.6
2015-03-01,Kildare,2.22,1.28,5.51,4.75
2015-03-02,Kildare,1.19,2.02,5.55,2.87
2015-03-03,Kildare,1.27,2.51,5.36,0.82
2015-03-04,Kildare,2.52,2.97,3.67,0.04
2015-03-05,Kildare,5.7,1.56,4.64,0.18
2015-03-06,Kildare,7.23,2.18,6.81,0.21
2015-03-07,Kildare,9.56,1.41,7.26,0.87
2015-03-08,Kildare,5.47,2.81,3.43,5.33
2015-03-09,Kildare,5.51,2.3,6.24,4.17
2015-03-10,Kildare,3.85,3.57,2.82,0.01
2015-03-11,Kildare,5.57,2.51,5.07,3.27
2015-03-12,Kildare,6.34,0.8,4.89,18.62
2015-03-13,Kildare,2.35,4.05,2.14,0.0
2015-03-14,Kildare,2.49,2.05,1.74,0.31
2015-03-15,Kildare,2.5,1.52,2.21,0.23
2015-03-16,Kildare,3.27,1.75,2.11,0.82
2015-03-17,Kildare,4.13,1.91,1.15,0.52
2015-03-18,Kildare,3.98,3.77,1.17,0.04
2015-03-19,Kildare,4.87,3.93,0.74,0.07
2015-03-20,Kildare,5.67,2.64,2.74,0.33
2015-03-21,Kildare,5.44,3.79,2.45,0.1
2015-03-22,Kildare,5.02,4.0,2.06,0.07
2015-03-23,Kildare,5.24,3.71,3.29,1.29
2015-03-24,Kildare,2.97,4.04,4.3,1.24
2015-03-25,Kildare,2.95,3.0,3.43,12.11
2015-03-26,Kildare,5.06,4.17,4.87,0.39
2015-03-27,Kildare,4.55,3.28,2.36,1.36
2015-03-28,Kildare,9.0,3.0,6.87,4.84
2015-03-29,Kildare,6.08,2.57,6.28,9.24
2015-03-30,Kildare,6.11,1.55,6.29,7.0
2015-03-31,Kildare,4.89,4.17,8.24,1.19
2015-04-01,Kildare,5.58,2.32,5.15,5.35
2015-04-02,Kildare,7.15,2.09,2.0,9.46
2015-04-03,Kildare,7.44,2.85,5.39,2.28
2015-04-04,Kildare,8.54,2.99,2.25,0.4
2015-04-05,Kildare,8.44,2.89,1.26,0.42
2015-04-06,Kildare,10.17,5.3,0.91,0.04
2015-04-07,Kildare,10.11,5.45,0.86,0.01
2015-04-08,Kildare,9.04,4.97,2.04,0.0
2015-04-09,Kildare,8.58,5.59,2.07,0.03
2015-04-10,Kildare,8.38,4.19,3.64,0.96
2015-04-11,Kildare,5.1,5.0,4.71,3.97
2015-04-12,Kildare,5.57,3.84,3.59,8.49
2015-04-13,Kildare,7.99,2.65,3.78,0.58
2015-04-14,Kildare,10.12,3.12,3.78,0.19
2015-04-15,Kildare,7.36,3.83,2.34,0.92
2015-04-16,Kildare,6.87,5.4,2.18,0.01
2015-04-17,Kildare,8.29,4.78,2.71,0.27
2015-04-18,Kildare,7.17,6.51,3.6,0.0
2015-04-19,Kildare,5.97,5.56,2.66,0.02
2015-04-20,Kildare,8.42,4.71,1.18,0.06
2015-04-21,Kildare,8.22,6.66,2.19,0.0
