date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Limerick,11.06,0.22,7.77,8.26
2015-01-02,Limerick,4.67,0.97,3.27,5.05
2015-01-03,Limerick,3.5,0.75,2.58,6.76
2015-01-04,Limerick,6.56,0.75,2.97,0.59
2015-01-05,Limerick,8.42,0.35,3.94,3.63
2015-01-06,Limerick,5.18,0.87,3.87,1.27
2015-01-07,Limerick,8.86,0.21,7.22,9.21
2015-01-08,Limerick,6.3,0.59,4.88,3.8
2015-01-09,Limerick,10.83,0.22,8.02,2.9
2015-01-10,Limerick,5.21,0.9,7.47,3.98
2015-01-11,Limerick,5.8,0.41,6.35,0.9
2015-01-12,Limerick,5.73,0.93,5.85,5.57
2015-01-13,Limerick,1.4,0.73,4.49,7.27
2015-01-14,Limerick,4.14,0.18,7.03,10.6
2015-01-15,Limerick,3.36,0.56,7.41,6.45
2015-01-16,Limerick,2.3,1.16,3.1,2.39
2015-01-17,Limerick,2.22,0.69,2.56,1.93
2015-01-18,Limerick,0.86,1.29,2.83,0.11
2015-01-19,Limerick,0.65,0.38,2.38,6.58
2015-01-20,Limerick,2.91,0.91,2.87,4.51
2015-01-21,Limerick,2.95,1.18,2.89,0.53
2015-01-22,Limerick,2.87,1.3,1.93,0.08
2015-01-23,Limerick,6.85,0.55,4.47,3.02
2015-01-24,Limerick,3.73,0.84,2.53,0.08
2015-01-25,Limerick,8.28,0.71,4.31,3.47
2015-01-26,Limerick,5.34,1.02,3.03,0.13
2015-01-27,Limerick,6.46,0.83,3.64,1.16
2015-01-28,Limerick,4.73,1.17,7.45,2.45
2015-01-29,Limerick,3.31,1.1,7.46,4.25
2015-01-30,Limerick,3.43,1.3,5.28,1.54
2015-01-31,Limerick,2.26,1.48,5.94,0.42
2015-02-01,Limerick,1.16,1.62,1.91,0.05
2015-02-02,Limerick,0.38,1.27,0.8,0.7
2015-02-03,Limerick,0.24,1.15,2.89,2.67
2015-02-04,Limerick,-0.87,1.93,2.13,0.02
2015-02-05,Limerick,1.51,1.69,1.97,0.13
2015-02-06,Limerick,2.62,0.89,2.22,0.21
2015-02-07,Limerick,2.97,0.86,2.44,0.31
2015-02-08,Limerick,2.69,1.4,0.98,0.22
2015-02-09,Limerick,4.86,0.88,0.86,0.24
2015-02-10,Limerick,3.31,0.97,1.61,0.32
2015-02-11,Limerick,4.48,0.56,1.66,0.41
2015-02-12,Limerick,4.71,1.2,3.99,1.4
2015-02-13,Limerick,5.23,1.52,3.91,7.0
2015-02-14,Limerick,4.55,1.79,1.76,0.08
2015-02-15,Limerick,5.92,0.65,3.83,7.03
2015-02-16,Limerick,3.38,2.04,3.66,2.21
2015-02-17,Limerick,5.34,1.8,3.89,0.03
2015-02-18,Limerick,8.9,1.02,5.72,3.0
2015-02-19,Limerick,5.35,1.51,3.36,2.43
2015-02-20,Limerick,3.36,1.8,3.46,3.38
2015-02-21,Limerick,3.17,2.04,4.27,0.98
2015-02-22,Limerick,5.67,0.89,6.02,12.3
2015-02-23,Limerick,3.61,1.58,8.81,11.36
2015-02-24,Limerick,5.39,1.65,5.85,4.72
2015-02-25,Limerick,10.08,1.18,5.36,6.81
2015-02-26,Limerick,4.9,2.54,5.67,4.55
2015-02-27,Limerick,4.85,1.45,4.3,2.6
2015-02-28,Limerick,7.38,1.05,6.09,2.42
2015-03-01,Limerick,3.32,2.04,4.94,6.91
2015-03-02,Limerick,2.63,2.32,5.55,4.61
2015-03-03,Limerick,2.78,2.62,4.95,1.82
2015-03-04,Limerick,4.65,2.29,3.39,0.11
2015-03-05,Limerick,7.05,1.58,4.77,0.14
2015-03-06,Limerick,8.42,2.25,7.06,0.08
2015-03-07,Limerick,10.67,1.46,7.22,4.87
2015-03-08,Limerick,5.57,2.89,3.08,4.51
2015-03-09,Limerick,6.54,2.5,6.36,3.34
2015-03-10,Limerick,4.75,3.48,3.33,0.13
2015-03-11,Limerick,6.74,3.48,5.68,7.23
2015-03-12,Limerick,6.48,1.13,4.62,12.31
2015-03-13,Limerick,3.92,4.03,1.39,0.0
2015-03-14,Limerick,3.83,3.27,1.47,0.03
2015-03-15,Limerick,2.64,2.05,2.12,0.08
2015-03-16,Limerick,3.82,1.63,2.45,0.62
2015-03-17,Limerick,4.38,3.15,1.47,0.2
2015-03-18,Limerick,5.09,3.82,1.06,0.03
2015-03-19,Limerick,5.39,3.62,0.91,0.01
2015-03-20,Limerick,7.21,2.9,2.43,0.24
2015-03-21,Limerick,6.09,4.31,2.06,0.05
2015-03-22,Limerick,6.23,3.82,2.57,0.23
2015-03-23,Limerick,6.02,4.04,3.63,1.39
2015-03-24,Limerick,4.14,4.07,3.79,1.16
2015-03-25,Limerick,4.05,1.76,3.43,15.36
2015-03-26,Limerick,6.25,4.21,4.32,0.07
2015-03-27,Limerick,6.53,2.61,2.89,1.74
2015-03-28,Limerick,9.59,2.81,7.21,4.24
2015-03-29,Limerick,7.36,2.19,6.62,7.46
2015-03-30,Limerick,7.57,1.61,6.36,6.41
2015-03-31,Limerick,5.77,3.8,7.39,1.27
2015-04-01,Limerick,7.29,1.94,4.85,2.08
