date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Longford,10.67,0.22,7.23,12.02
2015-01-02,Longford,3.84,0.98,4.67,1.63
2015-01-03,Longford,2.17,0.68,1.89,8.31
2015-01-04,Longford,3.69,0.51,2.55,0.27
2015-01-05,Longford,7.72,0.3,4.05,1.11
2015-01-06,Longford,4.24,0.96,3.84,2.54
2015-01-07,Longford,8.13,0.25,7.31,7.79
2015-01-08,Longford,4.86,0.88,4.95,3.61
2015-01-09,Longford,9.54,0.18,8.02,4.78
2015-01-10,Longford,4.46,0.98,7.62,4.0
2015-01-11,Longford,4.56,0.41,6.53,0.69
2015-01-12,Longford,5.0,0.99,6.55,4.43
2015-01-13,Longford,0.68,0.73,4.78,3.05
2015-01-14,Longford,3.12,0.27,7.08,10.95
2015-01-15,Longford,3.23,0.57,8.83,3.19
2015-01-16,Longford,0.93,1.16,3.52,1.51
2015-01-17,Longford,1.34,1.05,3.31,0.5
2015-01-18,Longford,0.73,1.14,3.08,0.18
2015-01-19,Longford,-0.91,0.76,2.0,0.74
2015-01-20,Longford,0.97,0.51,1.98,3.78
2015-01-21,Longford,1.41,0.93,1.82,0.67
2015-01-22,Longford,1.27,1.0,1.72,0.15
2015-01-23,Longford,5.03,0.48,4.6,3.56
2015-01-24,Longford,2.17,0.99,3.24,0.11
2015-01-25,Longford,7.01,0.54,4.59,2.49
2015-01-26,Longford,4.51,1.01,3.41,0.15
2015-01-27,Longford,5.38,0.84,3.92,0.88
2015-01-28,Longford,3.96,1.2,7.56,3.24
2015-01-29,Longford,2.11,0.83,7.2,6.2
2015-01-30,Longford,3.2,1.28,5.49,1.32
2015-01-31,Longford,2.13,1.48,6.71,0.54
2015-02-01,Longford,0.16,1.61,2.73,0.08
2015-02-02,Longford,-0.38,1.33,1.25,0.1
2015-02-03,Longford,-0.22,1.34,2.24,1.04
2015-02-04,Longford,-1.01,1.79,1.92,0.0
2015-02-05,Longford,1.58,1.45,2.05,0.16
2015-02-06,Longford,2.86,0.75,1.47,0.26
2015-02-07,Longford,3.13,0.83,2.39,0.3
2015-02-08,Longford,1.47,1.31,1.53,0.37
2015-02-09,Longford,3.47,0.79,1.33,0.28
2015-02-10,Longford,3.04,0.95,1.41,0.32
2015-02-11,Longford,3.45,0.45,1.79,0.56
2015-02-12,Longford,3.83,1.03,3.05,0.59
2015-02-13,Longford,5.14,1.12,3.29,5.27
2015-02-14,Longford,4.63,1.32,1.71,0.15
2015-02-15,Longford,4.98,0.96,3.91,8.72
2015-02-16,Longford,2.99,2.08,3.43,0.64
2015-02-17,Longford,4.2,1.53,4.19,0.05
2015-02-18,Longford,8.44,1.34,5.95,3.73
2015-02-19,Longford,5.43,1.79,4.02,1.62
2015-02-20,Longford,2.5,1.66,3.31,1.33
2015-02-21,Longford,2.21,2.18,4.03,1.07
2015-02-22,Longford,4.18,0.79,5.68,10.01
2015-02-23,Longford,3.11,1.92,8.02,4.18
2015-02-24,Longford,4.24,1.99,5.61,2.21
2015-02-25,Longford,8.63,1.09,4.03,4.1
2015-02-26,Longford,4.94,2.73,5.6,5.12
2015-02-27,Longford,3.86,2.0,4.72,1.24
2015-02-28,Longford,6.86,1.14,6.05,3.46
2015-03-01,Longford,2.98,1.28,5.47,1.85
2015-03-02,Longford,1.64,2.02,5.26,3.14
2015-03-03,Longford,1.98,2.51,5.43,0.53
2015-03-04,Longford,3.11,2.97,3.7,0.12
2015-03-05,Longford,6.81,1.56,5.43,0.17
2015-03-06,Longford,7.79,2.18,6.94,0.06
2015-03-07,Longford,10.46,1.41,7.63,2.42
2015-03-08,Longford,5.47,2.81,3.46,2.96
2015-03-09,Longford,5.55,2.3,6.76,4.31
2015-03-10,Longford,4.2,3.57,2.75,0.01
2015-03-11,Longford,5.54,2.51,5.32,4.61
2015-03-12,Longford,6.33,0.8,4.86,12.53
2015-03-13,Longford,3.16,4.05,1.55,0.0
2015-03-14,Longford,2.56,2.05,1.83,0.1
2015-03-15,Longford,2.8,1.52,2.37,0.13
2015-03-16,Longford,4.09,1.75,2.42,0.36
2015-03-17,Longford,4.86,1.91,1.31,0.28
2015-03-18,Longford,5.29,3.77,0.83,0.01
2015-03-19,Longford,5.39,3.93,0.86,0.0
2015-03-20,Longford,6.89,2.64,2.69,0.26
2015-03-21,Longford,6.11,3.79,1.93,0.01
2015-03-22,Longford,5.76,4.0,2.94,0.17
2015-03-23,Longford,5.99,3.71,3.45,0.94
2015-03-24,Longford,3.6,4.04,4.01,0.74
2015-03-25,Longford,3.01,3.0,3.2,12.72
2015-03-26,Longford,5.37,4.17,4.71,0.21
2015-03-27,Longford,5.79,3.28,2.41,2.09
2015-03-28,Longford,9.21,3.0,7.02,5.33
2015-03-29,Longford,5.91,2.57,5.43,6.89
2015-03-30,Longford,6.3,1.55,6.15,11.9
2015-03-31,Longford,5.22,4.17,7.98,1.59
2015-04-01,Longford,5.54,2.32,4.21,5.45
2015-04-02,Longford,6.81,2.09,2.34,8.9
2015-04-03,Longford,7.88,2.85,5.18,1.65
2015-04-04,Longford,9.68,2.99,1.9,0.32
2015-04-05,Longford,8.74,2.89,1.42,0.24
2015-04-06,Longford,9.13,5.3,1.31,0.03
2015-04-07,Longford,9.95,5.45,1.04,0.0
2015-04-08,Longford,9.81,4.97,2.03,0.0
2015-04-09,Longford,8.83,5.59,2.14,0.0
2015-04-10,Longford,9.4,4.19,3.39,2.74
