date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Louth,10.32,0.22,7.03,11.16
2015-01-02,Louth,3.5,0.98,5.36,0.91
2015-01-03,Louth,1.79,0.68,1.82,7.56
2015-01-04,Louth,2.55,0.51,2.62,0.48
2015-01-05,Louth,7.23,0.3,3.93,1.22
2015-01-06,Louth,4.01,0.96,4.0,3.12
2015-01-07,Louth,7.58,0.25,7.19,8.08
2015-01-08,Louth,4.25,0.88,5.47,3.14
2015-01-09,Louth,9.01,0.18,8.43,5.33
2015-01-10,Louth,4.23,0.98,8.09,4.03
2015-01-11,Louth,4.17,0.41,6.95,0.73
2015-01-12,Louth,4.36,0.99,6.8,3.75
2015-01-13,Louth,0.33,0.73,5.04,2.38
2015-01-14,Louth,2.37,0.27,6.95,12.38
2015-01-15,Louth,3.27,0.57,9.65,3.05
2015-01-16,Louth,0.71,1.16,4.03,1.41
2015-01-17,Louth,0.97,1.05,3.89,0.98
2015-01-18,Louth,0.7,1.14,3.29,0.47
2015-01-19,Louth,-1.08,0.76,1.61,0.07
2015-01-20,Louth,0.9,0.51,1.77,4.7
2015-01-21,Louth,0.57,0.93,1.46,0.91
2015-01-22,Louth,0.88,1.0,1.7,0.17
2015-01-23,Louth,4.13,0.48,4.82,3.71
2015-01-24,Louth,2.22,0.99,3.82,0.12
2015-01-25,Louth,6.3,0.54,4.39,2.26
2015-01-26,Louth,4.35,1.01,3.86,0.2
2015-01-27,Louth,4.91,0.84,4.14,1.08
2015-01-28,Louth,3.55,1.2,7.74,5.01
2015-01-29,Louth,1.79,0.83,7.18,7.93
2015-01-30,Louth,2.79,1.28,5.47,1.74
2015-01-31,Louth,1.98,1.48,7.22,0.81
2015-02-01,Louth,0.33,1.61,3.28,0.11
2015-02-02,Louth,-0.29,1.33,1.56,0.42
2015-02-03,Louth,-0.31,1.34,2.55,0.47
2015-02-04,Louth,-0.53,1.79,2.17,0.01
2015-02-05,Louth,2.05,1.45,2.21,0.23
2015-02-06,Louth,3.2,0.75,1.34,0.3
2015-02-07,Louth,3.74,0.83,2.76,0.25
2015-02-08,Louth,1.78,1.31,1.92,0.29
2015-02-09,Louth,3.7,0.79,1.72,0.51
2015-02-10,Louth,2.56,0.95,1.52,0.67
2015-02-11,Louth,2.97,0.45,1.9,0.67
2015-02-12,Louth,3.31,1.03,2.85,0.61
2015-02-13,Louth,5.28,1.12,3.23,5.22
2015-02-14,Louth,5.15,1.32,2.09,0.22
2015-02-15,Louth,4.98,0.96,3.94,11.73
2015-02-16,Louth,3.19,2.08,3.67,0.51
2015-02-17,Louth,3.86,1.53,4.6,0.14
2015-02-18,Louth,8.25,1.34,5.95,3.77
2015-02-19,Louth,5.45,1.79,4.42,1.57
2015-02-20,Louth,2.45,1.66,3.92,1.04
2015-02-21,Louth,2.09,2.18,4.31,1.12
2015-02-22,Louth,3.14,0.79,5.54,11.82
2015-02-23,Louth,2.77,1.92,8.17,4.02
2015-02-24,Louth,3.85,1.99,6.0,1.89
2015-02-25,Louth,7.59,1.09,3.61,3.38
2015-02-26,Louth,4.75,2.73,5.81,5.22
2015-02-27,Louth,3.37,2.0,4.95,1.18
2015-02-28,Louth,6.3,1.14,6.07,5.18
2015-03-01,Louth,2.84,1.28,6.12,0.73
2015-03-02,Louth,1.18,2.02,5.65,2.65
2015-03-03,Louth,1.67,2.51,6.07,0.81
2015-03-04,Louth,3.13,2.97,4.24,0.23
2015-03-05,Louth,6.53,1.56,5.61,0.2
2015-03-06,Louth,7.51,2.18,6.93,0.07
2015-03-07,Louth,10.36,1.41,7.76,1.87
2015-03-08,Louth,5.47,2.81,3.74,2.41
2015-03-09,Louth,5.28,2.3,6.96,5.13
2015-03-10,Louth,4.27,3.57,3.12,0.02
2015-03-11,Louth,5.31,2.51,5.43,4.98
2015-03-12,Louth,6.23,0.8,5.09,16.11
2015-03-13,Louth,2.97,4.05,1.72,0.0
2015-03-14,Louth,2.74,2.05,2.08,0.22
2015-03-15,Louth,3.3,1.52,2.47,0.17
2015-03-16,Louth,4.07,1.75,2.46,0.51
2015-03-17,Louth,4.47,1.91,1.41,0.37
2015-03-18,Louth,4.85,3.77,0.65,0.07
2015-03-19,Louth,5.37,3.93,1.03,0.0
2015-03-20,Louth,6.92,2.64,3.16,0.3
2015-03-21,Louth,6.39,3.79,1.96,0.04
2015-03-22,Louth,5.38,4.0,2.98,0.15
2015-03-23,Louth,5.88,3.71,3.63,0.77
2015-03-24,Louth,3.48,4.04,4.29,1.05
2015-03-25,Louth,3.23,3.0,3.3,12.19
2015-03-26,Louth,4.9,4.17,5.2,0.75
2015-03-27,Louth,5.45,3.28,2.48,2.28
2015-03-28,Louth,8.79,3.0,7.0,6.95
2015-03-29,Louth,5.11,2.57,5.42,5.05
2015-03-30,Louth,5.59,1.55,6.31,11.64
2015-03-31,Louth,4.77,4.17,8.45,1.61
2015-04-01,Louth,4.43,2.32,4.52,5.94
2015-04-02,Louth,5.17,2.09,2.32,9.19
2015-04-03,Louth,7.62,2.85,5.13,1.59
2015-04-04,Louth,9.0,2.99,2.03,0.42
2015-04-05,Louth,8.61,2.89,1.03,0.35
2015-04-06,Louth,9.35,5.3,1.62,0.09
2015-04-07,Louth,9.43,5.45,1.4,0.0
2015-04-08,Louth,9.61,4.97,2.05,0.01
2015-04-09,Louth,8.64,5.59,2.04,0.0
2015-04-10,Louth,9.12,4.19,3.2,1.55
2015-04-11,Louth,5.33,5.0,5.09,4.06
2015-04-12,Louth,4.55,3.84,2.97,13.72
2015-04-13,Louth,7.66,2.65,3.8,0.77
2015-04-14,Louth,10.37,3.12,4.61,0.18
2015-04-15,Louth,7.87,3.83,2.55,2.84
2015-04-16,Louth,7.31,5.4,1.58,0.01
2015-04-17,Louth,8.01,4.78,3.21,0.02
2015-04-18,Louth,7.02,6.51,3.43,0.0
2015-04-19,Louth,7.37,5.56,2.52,0.03
2015-04-20,Louth,9.02,4.71,1.5,0.17
2015-04-21,Louth,9.69,6.66,1.61,0.0
2015-04-22,Louth,9.63,6.35,2.17,0.16
2015-04-23,Louth,11.71,5.75,1.16,0.01
2015-04-24,Louth,9.55,2.51,2.45,2.64
2015-04-25,Louth,6.71,3.65,3.49,4.63
2015-04-26,Louth,3.75,5.42,2.65,0.47
2015-04-27,Louth,3.34,5.18,4.33,1.63
2015-04-28,Louth,4.42,4.89,5.44,5.51
2015-04-29,Louth,5.38,5.48,4.79,2.6
2015-04-30,Louth,6.95,5.71,2.82,0.21
2015-05-01,Louth,5.99,5.18,2.9,0.12
2015-05-02,Louth,6.12,1.68,5.86,28.89
2015-05-03,Louth,10.64,3.68,4.18,20.94
2015-05-04,Louth,9.16,4.95,3.93,0.9
2015-05-05,Louth,7.93,3.86,3.78,15.82
2015-05-06,Louth,7.7,3.81,4.94,3.53
2015-05-07,Louth,7.3,5.4,1.56,0.58
2015-05-08,Louth,7.23,1.55,2.92,7.36
2015-05-09,Louth,9.91,4.79,2.43,1.35
2015-05-10,Louth,12.42,2.57,5.81,8.52
2015-05-11,Louth,10.84,5.61,6.37,0.6
2015-05-12,Louth,8.52,4.78,5.31,1.19
2015-05-13,Louth,8.22,5.76,2.0,0.01
2015-05-14,Louth,8.8,3.33,4.21,0.08
2015-05-15,Louth,9.28,2.71,3.67,2.14
2015-05-16,Louth,8.26,5.57,5.18,0.32
2015-05-17,Louth,8.39,3.45,4.5,3.77
2015-05-18,Louth,7.41,5.14,5.11,5.12
2015-05-19,Louth,7.43,5.37,5.58,1.78
2015-05-20,Louth,8.93,4.25,3.86,0.61
2015-05-21,Louth,10.47,4.48,3.5,0.4
2015-05-22,Louth,11.83,3.56,3.24,0.72
2015-05-23,Louth,11.62,4.85,2.14,1.39
2015-05-24,Louth,10.35,5.32,4.05,0.23
2015-05-25,Louth,10.69,3.66,3.0,0.44
2015-05-26,Louth,10.46,5.24,3.61,0.37
2015-05-27,Louth,8.45,3.16,4.12,6.6
2015-05-28,Louth,8.33,5.42,4.79,2.23
2015-05-29,Louth,7.73,5.98,4.18,2.6
2015-05-30,Louth,8.48,3.97,3.18,11.16
2015-05-31,Louth,8.03,5.84,5.64,3.63
2015-06-01,Louth,7.34,3.08,6.74,9.89
2015-06-02,Louth,8.07,5.01,4.94,2.24
2015-06-03,Louth,10.4,5.27,2.81,0.54
2015-06-04,Louth,11.23,5.25,2.27,0.21
2015-06-05,Louth,10.9,5.87,5.24,4.75
2015-06-06,Louth,9.62,5.42,6.65,2.27
2015-06-07,Louth,9.67,6.02,3.0,0.23
2015-06-08,Louth,9.27,5.66,2.72,0.03
2015-06-09,Louth,11.09,6.6,1.46,0.01
2015-06-10,Louth,11.98,7.65,1.93,0.0
2015-06-11,Louth,12.45,7.12,2.19,0.04
2015-06-12,Louth,13.23,4.37,2.92,0.93
2015-06-13,Louth,10.97,5.55,3.54,0.06
2015-06-14,Louth,10.85,6.95,2.53,0.13
2015-06-15,Louth,12.97,5.12,1.51,0.55
2015-06-16,Louth,14.9,4.1,3.06,0.64
2015-06-17,Louth,13.5,4.49,4.45,2.02
2015-06-18,Louth,11.8,6.7,3.93,0.04
2015-06-19,Louth,13.08,4.9,3.28,2.02
2015-06-20,Louth,14.93,5.79,3.42,0.54
2015-06-21,Louth,11.27,4.97,4.83,2.07
2015-06-22,Louth,12.02,5.64,3.38,0.48
2015-06-23,Louth,13.19,7.64,1.5,0.02
2015-06-24,Louth,15.22,4.04,2.17,2.12
2015-06-25,Louth,15.16,2.63,2.94,1.5
2015-06-26,Louth,15.25,6.42,3.72,2.4
2015-06-27,Louth,14.6,3.9,4.02,8.02
2015-06-28,Louth,15.02,5.97,4.71,7.04
2015-06-29,Louth,14.83,4.88,3.54,1.62
2015-06-30,Louth,18.69,6.32,4.17,0.22
2015-07-01,Louth,18.7,4.26,1.46,0.22
2015-07-02,Louth,16.31,4.88,2.76,1.27
2015-07-03,Louth,15.73,5.83,3.64,2.68
2015-07-04,Louth,15.94,4.65,4.29,9.01
2015-07-05,Louth,13.53,4.84,2.56,3.2
2015-07-06,Louth,14.37,2.93,4.01,14.92
2015-07-07,Louth,14.02,4.05,4.73,5.18
2015-07-08,Louth,12.87,4.92,4.68,0.72
2015-07-09,Louth,12.7,4.29,2.08,2.15
2015-07-10,Louth,16.02,4.48,3.79,1.75
2015-07-11,Louth,14.21,2.61,4.69,3.26
2015-07-12,Louth,14.25,4.33,2.97,1.33
2015-07-13,Louth,14.57,4.08,2.64,6.9
2015-07-14,Louth,12.83,4.74,1.63,0.68
2015-07-15,Louth,12.61,5.7,1.61,0.04
2015-07-16,Louth,13.23,3.14,4.06,4.85
2015-07-17,Louth,13.82,4.9,6.55,3.07
2015-07-18,Louth,13.21,3.64,4.93,13.82
2015-07-19,Louth,13.12,4.55,3.24,0.78
2015-07-20,Louth,14.09,4.09,4.28,4.17
2015-07-21,Louth,13.4,3.38,3.48,2.16
2015-07-22,Louth,11.9,4.64,2.85,0.63
2015-07-23,Louth,11.9,4.54,2.94,1.32
2015-07-24,Louth,11.32,4.86,2.34,1.14
2015-07-25,Louth,11.9,4.76,2.19,0.29
2015-07-26,Louth,12.05,1.66,4.03,15.23
2015-07-27,Louth,13.64,2.72,1.73,8.54
2015-07-28,Louth,11.47,4.55,4.23,2.8
2015-07-29,Louth,11.11,4.69,4.02,1.83
2015-07-30,Louth,11.89,3.98,2.74,0.52
2015-07-31,Louth,11.86,3.28,3.68,6.24
