date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Mayo,9.76,0.12,7.93,21.48
2015-01-02,Mayo,5.12,0.82,5.12,3.86
2015-01-03,Mayo,2.83,0.89,2.66,6.69
2015-01-04,Mayo,6.11,0.55,4.17,0.72
2015-01-05,Mayo,7.92,0.37,4.82,6.79
2015-01-06,Mayo,5.77,0.78,4.72,1.7
2015-01-07,Mayo,8.57,0.19,8.86,16.66
2015-01-08,Mayo,6.32,0.6,6.33,5.98
2015-01-09,Mayo,9.89,0.16,9.2,9.81
2015-01-10,Mayo,4.46,0.78,8.56,5.09
2015-01-11,Mayo,6.31,0.34,8.12,5.57
2015-01-12,Mayo,5.29,0.84,7.72,6.19
2015-01-13,Mayo,1.94,0.52,5.7,9.95
2015-01-14,Mayo,4.5,0.15,9.2,16.95
2015-01-15,Mayo,3.91,0.46,9.47,8.09
2015-01-16,Mayo,2.7,1.06,3.58,3.95
2015-01-17,Mayo,2.53,0.86,3.09,1.62
2015-01-18,Mayo,2.38,1.19,3.27,0.47
2015-01-19,Mayo,0.91,0.36,3.09,6.12
2015-01-20,Mayo,2.36,0.72,2.5,4.61
2015-01-21,Mayo,3.21,0.92,2.78,1.69
2015-01-22,Mayo,4.07,1.06,2.88,0.71
2015-01-23,Mayo,6.4,0.54,5.34,3.81
2015-01-24,Mayo,4.46,0.77,3.67,0.41
2015-01-25,Mayo,8.01,0.44,5.5,5.06
2015-01-26,Mayo,5.45,0.98,3.57,0.36
2015-01-27,Mayo,6.91,0.64,4.69,2.56
2015-01-28,Mayo,4.31,1.0,8.83,3.3
2015-01-29,Mayo,3.39,0.79,8.44,6.34
2015-01-30,Mayo,3.81,1.16,5.84,3.57
2015-01-31,Mayo,2.97,1.24,6.79,1.42
2015-02-01,Mayo,2.38,1.4,1.93,0.33
2015-02-02,Mayo,1.27,1.15,0.95,3.77
2015-02-03,Mayo,1.16,1.05,4.74,1.84
2015-02-04,Mayo,0.32,1.71,1.65,0.0
2015-02-05,Mayo,2.47,1.27,1.71,0.34
2015-02-06,Mayo,2.19,0.87,1.61,0.17
2015-02-07,Mayo,3.63,0.88,2.21,0.19
2015-02-08,Mayo,2.42,1.27,1.03,0.14
2015-02-09,Mayo,4.98,0.71,1.31,0.29
2015-02-10,Mayo,3.71,0.94,2.04,0.36
2015-02-11,Mayo,4.42,0.61,2.63,0.61
2015-02-12,Mayo,4.89,1.12,5.03,2.46
2015-02-13,Mayo,5.16,1.4,3.35,5.47
2015-02-14,Mayo,4.64,1.71,2.35,0.15
2015-02-15,Mayo,5.68,0.51,4.75,8.64
2015-02-16,Mayo,3.79,2.03,4.18,2.74
2015-02-17,Mayo,6.33,1.27,5.74,0.51
2015-02-18,Mayo,8.99,0.68,7.5,7.98
2015-02-19,Mayo,5.39,2.07,4.41,2.82
2015-02-20,Mayo,3.8,1.62,4.28,3.3
2015-02-21,Mayo,3.63,1.91,4.66,1.19
2015-02-22,Mayo,5.51,1.13,7.38,13.21
2015-02-23,Mayo,4.09,1.36,9.86,8.87
2015-02-24,Mayo,5.21,1.69,6.03,3.88
2015-02-25,Mayo,9.4,0.93,5.89,8.52
2015-02-26,Mayo,4.62,2.47,6.82,2.13
2015-02-27,Mayo,5.31,1.38,5.57,3.0
2015-02-28,Mayo,7.18,0.99,7.43,5.84
2015-03-01,Mayo,3.64,1.9,6.16,6.88
2015-03-02,Mayo,2.54,1.69,5.98,4.8
2015-03-03,Mayo,3.14,1.48,6.44,1.51
2015-03-04,Mayo,5.05,2.24,4.49,0.19
2015-03-05,Mayo,7.83,1.63,7.17,0.81
2015-03-06,Mayo,8.42,1.72,9.38,2.28
2015-03-07,Mayo,9.97,0.96,9.31,11.16
2015-03-08,Mayo,5.15,3.16,3.91,0.3
2015-03-09,Mayo,5.92,2.17,8.4,5.52
2015-03-10,Mayo,4.96,3.38,4.0,0.27
2015-03-11,Mayo,5.95,3.14,6.42,11.34
2015-03-12,Mayo,5.93,1.29,6.05,13.68
2015-03-13,Mayo,4.18,3.96,1.34,0.0
2015-03-14,Mayo,3.86,2.83,2.92,0.0
2015-03-15,Mayo,3.64,2.43,3.29,0.08
2015-03-16,Mayo,3.96,1.84,2.95,0.52
2015-03-17,Mayo,3.91,2.85,1.78,0.14
2015-03-18,Mayo,5.6,3.86,1.34,0.0
2015-03-19,Mayo,6.02,3.16,1.68,0.01
2015-03-20,Mayo,8.09,2.79,2.95,0.4
2015-03-21,Mayo,6.73,3.48,1.91,0.02
2015-03-22,Mayo,6.46,3.21,4.34,0.74
2015-03-23,Mayo,6.29,3.81,4.48,1.79
2015-03-24,Mayo,4.66,3.97,4.52,0.92
2015-03-25,Mayo,4.6,1.82,4.41,16.06
2015-03-26,Mayo,5.96,3.84,4.7,0.12
2015-03-27,Mayo,7.03,2.9,3.19,3.82
2015-03-28,Mayo,8.89,2.62,8.28,8.3
2015-03-29,Mayo,6.18,2.71,5.93,7.35
2015-03-30,Mayo,7.07,1.24,7.4,13.43
2015-03-31,Mayo,5.51,3.88,8.55,0.79
2015-04-01,Mayo,7.09,2.0,5.26,6.51
2015-04-02,Mayo,9.75,2.11,3.83,10.32
2015-04-03,Mayo,7.69,2.89,5.68,0.2
2015-04-04,Mayo,10.03,3.63,1.99,0.25
2015-04-05,Mayo,9.57,3.98,2.36,0.08
2015-04-06,Mayo,8.5,5.28,1.74,0.0
2015-04-07,Mayo,9.76,5.66,1.06,0.0
2015-04-08,Mayo,9.36,5.64,2.33,0.0
2015-04-09,Mayo,8.98,5.7,2.69,0.0
2015-04-10,Mayo,8.05,4.87,4.71,7.21
2015-04-11,Mayo,5.86,4.57,5.55,2.62
2015-04-12,Mayo,5.06,4.96,2.73,10.75
2015-04-13,Mayo,9.07,2.13,5.58,1.36
2015-04-14,Mayo,9.83,2.82,5.84,0.52
2015-04-15,Mayo,7.85,4.78,2.77,3.74
2015-04-16,Mayo,7.58,5.41,2.05,0.0
2015-04-17,Mayo,8.69,5.43,3.26,0.01
2015-04-18,Mayo,8.89,6.47,4.45,0.03
2015-04-19,Mayo,8.98,5.98,3.13,0.02
2015-04-20,Mayo,9.27,5.59,1.48,0.01
2015-04-21,Mayo,10.78,6.61,2.56,0.0
2015-04-22,Mayo,10.67,6.35,2.98,0.05
2015-04-23,Mayo,11.6,6.39,1.41,0.01
2015-04-24,Mayo,9.43,2.7,2.97,4.76
2015-04-25,Mayo,6.97,5.09,4.2,3.99
2015-04-26,Mayo,4.85,5.44,2.56,0.7
2015-04-27,Mayo,4.55,5.18,5.28,2.58
2015-04-28,Mayo,4.99,3.76,5.37,9.57
2015-04-29,Mayo,6.44,5.4,5.16,3.15
2015-04-30,Mayo,7.73,5.83,2.81,0.39
2015-05-01,Mayo,6.64,4.36,4.92,2.34
2015-05-02,Mayo,8.51,2.25,5.47,21.64
2015-05-03,Mayo,10.84,3.81,4.81,9.17
2015-05-04,Mayo,9.05,3.91,4.5,3.79
2015-05-05,Mayo,7.9,4.13,3.91,13.53
2015-05-06,Mayo,8.11,4.26,4.8,4.93
2015-05-07,Mayo,8.01,5.76,0.97,1.09
2015-05-08,Mayo,7.21,2.34,2.13,4.52
2015-05-09,Mayo,10.06,4.26,3.36,2.26
2015-05-10,Mayo,12.26,2.33,7.46,14.46
2015-05-11,Mayo,10.31,5.49,8.42,2.27
2015-05-12,Mayo,8.82,5.0,5.44,2.05
2015-05-13,Mayo,10.48,6.48,3.09,0.01
2015-05-14,Mayo,10.8,3.76,4.42,1.29
2015-05-15,Mayo,10.17,2.17,5.09,4.3
2015-05-16,Mayo,8.65,5.47,5.81,0.74
2015-05-17,Mayo,8.79,3.18,5.2,5.06
2015-05-18,Mayo,7.41,5.18,6.54,6.74
2015-05-19,Mayo,7.77,5.93,5.7,2.31
2015-05-20,Mayo,8.99,5.02,4.0,0.59
2015-05-21,Mayo,10.93,3.3,3.99,1.37
2015-05-22,Mayo,11.4,4.11,3.48,1.36
2015-05-23,Mayo,11.45,3.7,2.99,3.36
2015-05-24,Mayo,9.73,5.15,4.16,0.2
