date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Meath,10.95,0.22,7.47,7.09
2015-01-02,Meath,3.76,0.98,5.04,1.32
2015-01-03,Meath,1.97,0.68,1.94,9.52
2015-01-04,Meath,3.64,0.51,2.53,0.28
2015-01-05,Meath,7.86,0.3,3.98,0.84
2015-01-06,Meath,4.25,0.96,4.07,2.51
2015-01-07,Meath,7.96,0.25,7.13,6.44
2015-01-08,Meath,4.81,0.88,5.18,2.95
2015-01-09,Meath,9.56,0.18,8.17,3.2
2015-01-10,Meath,4.62,0.98,7.88,3.16
2015-01-11,Meath,4.14,0.41,6.68,0.46
2015-01-12,Meath,4.92,0.99,6.53,3.46
2015-01-13,Meath,0.53,0.73,4.93,2.04
2015-01-14,Meath,2.68,0.27,6.76,8.33
2015-01-15,Meath,3.23,0.57,9.01,2.05
2015-01-16,Meath,0.63,1.16,3.91,0.84
2015-01-17,Meath,1.18,1.05,3.74,0.41
2015-01-18,Meath,0.59,1.14,3.54,0.29
2015-01-19,Meath,-1.37,0.76,1.62,0.1
2015-01-20,Meath,1.17,0.51,1.81,4.84
2015-01-21,Meath,0.87,0.93,1.94,0.82
2015-01-22,Meath,1.09,1.0,1.42,0.15
2015-01-23,Meath,4.72,0.48,4.65,3.33
2015-01-24,Meath,1.86,0.99,3.52,0.06
2015-01-25,Meath,6.61,0.54,4.46,1.96
2015-01-26,Meath,4.38,1.01,3.72,0.16
2015-01-27,Meath,5.04,0.84,4.12,0.82
2015-01-28,Meath,3.88,1.2,7.68,3.39
2015-01-29,Meath,1.85,0.83,7.27,6.66
2015-01-30,Meath,2.95,1.28,5.7,1.73
2015-01-31,Meath,1.99,1.48,7.2,0.64
2015-02-01,Meath,-0.19,1.61,3.22,0.06
2015-02-02,Meath,-0.41,1.33,1.61,0.35
2015-02-03,Meath,-0.49,1.34,2.2,0.39
2015-02-04,Meath,-0.75,1.79,2.47,0.04
2015-02-05,Meath,1.93,1.45,2.45,0.15
2015-02-06,Meath,3.49,0.75,1.49,0.29
2015-02-07,Meath,3.48,0.83,2.64,0.42
2015-02-08,Meath,1.69,1.31,1.94,0.39
2015-02-09,Meath,3.33,0.79,1.52,0.36
2015-02-10,Meath,2.83,0.95,1.32,0.54
2015-02-11,Meath,3.57,0.45,1.63,0.67
2015-02-12,Meath,3.62,1.03,2.78,0.67
2015-02-13,Meath,5.58,1.12,3.36,4.49
2015-02-14,Meath,5.15,1.32,1.9,0.23
2015-02-15,Meath,5.27,0.96,3.8,9.02
2015-02-16,Meath,3.09,2.08,3.62,0.7
2015-02-17,Meath,3.63,1.53,4.14,0.04
2015-02-18,Meath,8.18,1.34,5.78,2.33
2015-02-19,Meath,5.56,1.79,4.16,1.53
2015-02-20,Meath,2.49,1.66,3.68,1.04
2015-02-21,Meath,2.04,2.18,4.35,0.99
2015-02-22,Meath,3.91,0.79,5.72,11.71
2015-02-23,Meath,3.01,1.92,8.11,3.08
2015-02-24,Meath,4.07,1.99,5.89,1.52
2015-02-25,Meath,8.28,1.09,3.83,2.81
2015-02-26,Meath,5.08,2.73,5.6,4.32
2015-02-27,Meath,3.51,2.0,4.88,0.84
2015-02-28,Meath,6.67,1.14,5.9,2.8
2015-03-01,Meath,2.98,1.28,5.79,1.64
2015-03-02,Meath,1.61,2.02,5.65,2.64
2015-03-03,Meath,1.85,2.51,5.73,0.49
2015-03-04,Meath,2.99,2.97,3.9,0.09
2015-03-05,Meath,6.31,1.56,5.16,0.09
2015-03-06,Meath,7.75,2.18,6.89,0.05
2015-03-07,Meath,10.37,1.41,7.53,0.93
2015-03-08,Meath,5.72,2.81,3.58,3.44
2015-03-09,Meath,5.63,2.3,6.58,3.94
2015-03-10,Meath,4.24,3.57,2.73,0.0
2015-03-11,Meath,5.77,2.51,5.31,2.86
2015-03-12,Meath,6.64,0.8,4.9,13.61
2015-03-13,Meath,2.97,4.05,1.88,0.0
2015-03-14,Meath,2.85,2.05,1.88,0.21
2015-03-15,Meath,3.14,1.52,2.35,0.19
2015-03-16,Meath,3.94,1.75,2.28,0.51
2015-03-17,Meath,4.77,1.91,1.25,0.37
2015-03-18,Meath,4.62,3.77,0.85,0.06
2015-03-19,Meath,5.37,3.93,0.7,0.02
2015-03-20,Meath,6.52,2.64,2.79,0.29
2015-03-21,Meath,6.01,3.79,2.07,0.05
2015-03-22,Meath,5.47,4.0,2.67,0.09
2015-03-23,Meath,5.84,3.71,3.39,0.91
2015-03-24,Meath,3.5,4.04,4.25,0.93
2015-03-25,Meath,3.32,3.0,3.32,11.65
2015-03-26,Meath,5.46,4.17,5.03,0.46
2015-03-27,Meath,5.54,3.28,2.41,1.62
2015-03-28,Meath,9.29,3.0,6.94,4.9
2015-03-29,Meath,5.92,2.57,5.63,7.43
2015-03-30,Meath,6.22,1.55,6.29,10.06
2015-03-31,Meath,5.24,4.17,8.23,1.31
2015-04-01,Meath,5.24,2.32,4.39,5.78
2015-04-02,Meath,6.03,2.09,2.29,9.05
2015-04-03,Meath,7.94,2.85,5.16,1.94
2015-04-04,Meath,9.13,2.99,2.03,0.41
2015-04-05,Meath,8.72,2.89,1.1,0.39
2015-04-06,Meath,9.8,5.3,1.29,0.06
2015-04-07,Meath,10.0,5.45,1.03,0.01
2015-04-08,Meath,9.84,4.97,1.97,0.0
2015-04-09,Meath,8.94,5.59,2.05,0.0
2015-04-10,Meath,9.23,4.19,3.39,0.99
2015-04-11,Meath,5.62,5.0,4.95,3.94
2015-04-12,Meath,5.35,3.84,2.99,13.71
2015-04-13,Meath,8.33,2.65,3.88,0.41
2015-04-14,Meath,10.68,3.12,4.19,0.11
2015-04-15,Meath,8.11,3.83,2.34,1.4
2015-04-16,Meath,7.26,5.4,1.61,0.0
2015-04-17,Meath,8.04,4.78,2.95,0.05
2015-04-18,Meath,7.2,6.51,3.54,0.0
2015-04-19,Meath,6.66,5.56,2.56,0.01
2015-04-20,Meath,9.11,4.71,1.22,0.04
2015-04-21,Meath,9.28,6.66,1.85,0.0
2015-04-22,Meath,9.38,6.35,2.34,0.12
2015-04-23,Meath,11.36,5.75,1.44,0.0
2015-04-24,Meath,9.1,2.51,2.86,2.07
2015-04-25,Meath,6.9,3.65,3.22,5.12
2015-04-26,Meath,3.93,5.42,2.39,0.31
2015-04-27,Meath,3.42,5.18,4.07,1.73
2015-04-28,Meath,4.77,4.89,5.23,4.65
2015-04-29,Meath,5.92,5.48,4.95,1.77
2015-04-30,Meath,7.03,5.71,2.84,0.32
2015-05-01,Meath,6.51,5.18,3.38,0.43
2015-05-02,Meath,6.88,1.68,5.47,27.51
2015-05-03,Meath,11.16,3.68,4.23,14.11
2015-05-04,Meath,9.12,4.95,3.76,1.39
2015-05-05,Meath,8.21,3.86,3.99,15.34
2015-05-06,Meath,7.88,3.81,5.14,4.2
2015-05-07,Meath,7.86,5.4,1.42,1.09
2015-05-08,Meath,6.95,1.55,2.89,10.64
2015-05-09,Meath,9.96,4.79,2.57,0.7
2015-05-10,Meath,12.56,2.57,5.95,5.69
2015-05-11,Meath,11.35,5.61,6.11,0.33
2015-05-12,Meath,9.2,4.78,5.1,1.09
2015-05-13,Meath,8.71,5.76,2.16,0.0
2015-05-14,Meath,9.08,3.33,4.08,0.32
2015-05-15,Meath,9.68,2.71,3.58,1.83
2015-05-16,Meath,8.65,5.57,4.9,0.2
2015-05-17,Meath,8.56,3.45,4.27,3.8
2015-05-18,Meath,7.73,5.14,5.39,4.7
2015-05-19,Meath,7.43,5.37,5.52,1.67
2015-05-20,Meath,9.04,4.25,3.76,0.65
2015-05-21,Meath,10.75,4.48,3.31,0.25
2015-05-22,Meath,12.45,3.56,3.28,0.7
2015-05-23,Meath,12.05,4.85,2.09,1.03
2015-05-24,Meath,11.22,5.32,3.72,0.31
2015-05-25,Meath,11.21,3.66,3.06,0.33
2015-05-26,Meath,10.86,5.24,3.28,0.36
2015-05-27,Meath,8.69,3.16,3.86,3.86
2015-05-28,Meath,8.77,5.42,4.53,1.59
2015-05-29,Meath,8.15,5.98,4.01,3.17
2015-05-30,Meath,8.73,3.97,3.23,13.75
2015-05-31,Meath,8.31,5.84,5.59,3.3
2015-06-01,Meath,7.56,3.08,6.47,7.18
2015-06-02,Meath,9.05,5.01,5.37,1.65
