date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Monaghan,10.32,0.22,7.03,11.16
2015-01-02,Monaghan,3.5,0.8,5.36,0.91
2015-01-03,Monaghan,1.79,0.71,1.82,7.56
2015-01-04,Monaghan,2.55,0.41,2.62,0.48
2015-01-05,Monaghan,7.23,0.26,3.93,1.22
2015-01-06,Monaghan,4.01,0.82,4.0,3.12
2015-01-07,Monaghan,7.58,0.18,7.19,8.08
2015-01-08,Monaghan,4.25,0.8,5.47,3.14
2015-01-09,Monaghan,9.01,0.18,8.43,5.33
2015-01-10,Monaghan,4.23,0.73,8.09,4.03
2015-01-11,Monaghan,4.17,0.34,6.95,0.73
2015-01-12,Monaghan,4.36,0.9,6.8,3.75
2015-01-13,Monaghan,0.33,0.59,5.04,2.38
2015-01-14,Monaghan,2.37,0.24,6.95,12.38
2015-01-15,Monaghan,3.27,0.31,9.65,3.05
2015-01-16,Monaghan,0.71,0.7,4.03,1.41
2015-01-17,Monaghan,0.97,0.7,3.89,0.98
2015-01-18,Monaghan,0.7,0.91,3.29,0.47
2015-01-19,Monaghan,-1.08,0.69,1.61,0.07
2015-01-20,Monaghan,0.9,0.51,1.77,4.7
2015-01-21,Monaghan,0.57,0.81,1.46,0.91
2015-01-22,Monaghan,0.88,1.05,1.7,0.17
2015-01-23,Monaghan,4.13,0.56,4.82,3.71
2015-01-24,Monaghan,2.22,0.79,3.82,0.12
2015-01-25,Monaghan,6.3,0.43,4.39,2.26
2015-01-26,Monaghan,4.35,0.91,3.86,0.2
2015-01-27,Monaghan,4.91,0.74,4.14,1.08
2015-01-28,Monaghan,3.55,0.79,7.74,5.01
2015-01-29,Monaghan,1.79,0.5,7.18,7.93
2015-01-30,Monaghan,2.79,1.16,5.47,1.74
2015-01-31,Monaghan,1.98,1.17,7.22,0.81
2015-02-01,Monaghan,0.33,1.28,3.28,0.11
2015-02-02,Monaghan,-0.29,1.13,1.56,0.42
2015-02-03,Monaghan,-0.31,0.9,2.55,0.47
2015-02-04,Monaghan,-0.53,1.58,2.17,0.01
2015-02-05,Monaghan,2.05,1.16,2.21,0.23
2015-02-06,Monaghan,3.2,0.84,1.34,0.3
2015-02-07,Monaghan,3.74,0.87,2.76,0.25
2015-02-08,Monaghan,1.78,1.59,1.92,0.29
2015-02-09,Monaghan,3.7,0.74,1.72,0.51
2015-02-10,Monaghan,2.56,0.82,1.52,0.67
2015-02-11,Monaghan,2.97,0.59,1.9,0.67
2015-02-12,Monaghan,3.31,0.93,2.85,0.61
2015-02-13,Monaghan,5.28,0.83,3.23,5.22
2015-02-14,Monaghan,5.15,1.16,2.09,0.22
2015-02-15,Monaghan,4.98,0.88,3.94,11.73
2015-02-16,Monaghan,3.19,1.63,3.67,0.51
2015-02-17,Monaghan,3.86,1.32,4.6,0.14
2015-02-18,Monaghan,8.25,0.85,5.95,3.77
2015-02-19,Monaghan,5.45,1.96,4.42,1.57
2015-02-20,Monaghan,2.45,1.67,3.92,1.04
2015-02-21,Monaghan,2.09,1.84,4.31,1.12
2015-02-22,Monaghan,3.14,1.13,5.54,11.82
2015-02-23,Monaghan,2.77,1.31,8.17,4.02
2015-02-24,Monaghan,3.85,1.76,6.0,1.89
2015-02-25,Monaghan,7.59,1.02,3.61,3.38
2015-02-26,Monaghan,4.75,2.38,5.81,5.22
2015-02-27,Monaghan,3.37,1.77,4.95,1.18
2015-02-28,Monaghan,6.3,1.17,6.07,5.18
2015-03-01,Monaghan,2.84,1.71,6.12,0.73
2015-03-02,Monaghan,1.18,1.83,5.65,2.65
2015-03-03,Monaghan,1.67,1.71,6.07,0.81
2015-03-04,Monaghan,3.13,2.58,4.24,0.23
2015-03-05,Monaghan,6.53,1.63,5.61,0.2
2015-03-06,Monaghan,7.51,1.35,6.93,0.07
2015-03-07,Monaghan,10.36,1.19,7.76,1.87
2015-03-08,Monaghan,5.47,2.81,3.74,2.41
2015-03-09,Monaghan,5.28,1.8,6.96,5.13
2015-03-10,Monaghan,4.27,3.29,3.12,0.02
2015-03-11,Monaghan,5.31,2.13,5.43,4.98
2015-03-12,Monaghan,6.23,1.11,5.09,16.11
2015-03-13,Monaghan,2.97,3.76,1.72,0.0
2015-03-14,Monaghan,2.74,1.68,2.08,0.22
2015-03-15,Monaghan,3.3,1.71,2.47,0.17
2015-03-16,Monaghan,4.07,1.7,2.46,0.51
2015-03-17,Monaghan,4.47,2.15,1.41,0.37
2015-03-18,Monaghan,4.85,3.53,0.65,0.07
2015-03-19,Monaghan,5.37,3.33,1.03,0.0
2015-03-20,Monaghan,6.92,2.05,3.16,0.3
2015-03-21,Monaghan,6.39,2.72,1.96,0.04
2015-03-22,Monaghan,5.38,3.73,2.98,0.15
2015-03-23,Monaghan,5.88,3.56,3.63,0.77
2015-03-24,Monaghan,3.48,3.6,4.29,1.05
2015-03-25,Monaghan,3.23,3.3,3.3,12.19
2015-03-26,Monaghan,4.9,3.64,5.2,0.75
2015-03-27,Monaghan,5.45,2.92,2.48,2.28
2015-03-28,Monaghan,8.79,2.59,7.0,6.95
2015-03-29,Monaghan,5.11,2.89,5.42,5.05
2015-03-30,Monaghan,5.59,1.55,6.31,11.64
2015-03-31,Monaghan,4.77,3.73,8.45,1.61
2015-04-01,Monaghan,4.43,2.24,4.52,5.94
2015-04-02,Monaghan,5.17,2.11,2.32,9.19
2015-04-03,Monaghan,7.62,2.47,5.13,1.59
2015-04-04,Monaghan,9.0,2.9,2.03,0.42
2015-04-05,Monaghan,8.61,2.83,1.03,0.35
2015-04-06,Monaghan,9.35,4.95,1.62,0.09
2015-04-07,Monaghan,9.43,4.65,1.4,0.0
2015-04-08,Monaghan,9.61,4.99,2.05,0.01
2015-04-09,Monaghan,8.64,5.51,2.04,0.0
2015-04-10,Monaghan,9.12,3.97,3.2,1.55
2015-04-11,Monaghan,5.33,4.64,5.09,4.06
2015-04-12,Monaghan,4.55,4.72,2.97,13.72
2015-04-13,Monaghan,7.66,1.91,3.8,0.77
2015-04-14,Monaghan,10.37,2.34,4.61,0.18
2015-04-15,Monaghan,7.87,4.43,2.55,2.84
2015-04-16,Monaghan,7.31,4.66,1.58,0.01
2015-04-17,Monaghan,8.01,5.15,3.21,0.02
2015-04-18,Monaghan,7.02,6.39,3.43,0.0
2015-04-19,Monaghan,7.37,5.27,2.52,0.03
2015-04-20,Monaghan,9.02,4.69,1.5,0.17
2015-04-21,Monaghan,9.69,6.47,1.61,0.0
2015-04-22,Monaghan,9.63,5.77,2.17,0.16
2015-04-23,Monaghan,11.71,5.57,1.16,0.01
2015-04-24,Monaghan,9.55,2.68,2.45,2.64
2015-04-25,Monaghan,6.71,5.24,3.49,4.63
2015-04-26,Monaghan,3.75,4.81,2.65,0.47
2015-04-27,Monaghan,3.34,4.76,4.33,1.63
2015-04-28,Monaghan,4.42,4.54,5.44,5.51
2015-04-29,Monaghan,5.38,3.88,4.79,2.6
2015-04-30,Monaghan,6.95,6.53,2.82,0.21
2015-05-01,Monaghan,5.99,4.73,2.9,0.12
2015-05-02,Monaghan,6.12,1.82,5.86,28.89
2015-05-03,Monaghan,10.64,3.3,4.18,20.94
2015-05-04,Monaghan,9.16,4.53,3.93,0.9
2015-05-05,Monaghan,7.93,1.95,3.78,15.82
2015-05-06,Monaghan,7.7,3.44,4.94,3.53
2015-05-07,Monaghan,7.3,4.9,1.56,0.58
2015-05-08,Monaghan,7.23,2.52,2.92,7.36
2015-05-09,Monaghan,9.91,4.56,2.43,1.35
2015-05-10,Monaghan,12.42,2.2,5.81,8.52
2015-05-11,Monaghan,10.84,5.57,6.37,0.6
2015-05-12,Monaghan,8.52,4.55,5.31,1.19
2015-05-13,Monaghan,8.22,6.04,2.0,0.01
2015-05-14,Monaghan,8.8,5.29,4.21,0.08
2015-05-15,Monaghan,9.28,2.42,3.67,2.14
2015-05-16,Monaghan,8.26,5.6,5.18,0.32
2015-05-17,Monaghan,8.39,3.56,4.5,3.77
2015-05-18,Monaghan,7.41,4.6,5.11,5.12
2015-05-19,Monaghan,7.43,4.86,5.58,1.78
2015-05-20,Monaghan,8.93,4.45,3.86,0.61
2015-05-21,Monaghan,10.47,3.8,3.5,0.4
2015-05-22,Monaghan,11.83,3.96,3.24,0.72
2015-05-23,Monaghan,11.62,4.62,2.14,1.39
2015-05-24,Monaghan,10.35,3.91,4.05,0.23
2015-05-25,Monaghan,10.69,3.46,3.0,0.44
2015-05-26,Monaghan,10.46,4.07,3.61,0.37
2015-05-27,Monaghan,8.45,2.37,4.12,6.6
2015-05-28,Monaghan,8.33,5.51,4.79,2.23
2015-05-29,Monaghan,7.73,5.71,4.18,2.6
2015-05-30,Monaghan,8.48,4.01,3.18,11.16
2015-05-31,Monaghan,8.03,5.67,5.64,3.63
2015-06-01,Monaghan,7.34,3.13,6.74,9.89
2015-06-02,Monaghan,8.07,4.66,4.94,2.24
2015-06-03,Monaghan,10.4,5.74,2.81,0.54
2015-06-04,Monaghan,11.23,3.65,2.27,0.21
2015-06-05,Monaghan,10.9,6.35,5.24,4.75
2015-06-06,Monaghan,9.62,4.99,6.65,2.27
2015-06-07,Monaghan,9.67,6.15,3.0,0.23
2015-06-08,Monaghan,9.27,6.57,2.72,0.03
2015-06-09,Monaghan,11.09,6.28,1.46,0.01
2015-06-10,Monaghan,11.98,7.37,1.93,0.0
2015-06-11,Monaghan,12.45,7.7,2.19,0.04
2015-06-12,Monaghan,13.23,4.12,2.92,0.93
2015-06-13,Monaghan,10.97,4.63,3.54,0.06
2015-06-14,Monaghan,10.85,7.62,2.53,0.13
2015-06-15,Monaghan,12.97,5.0,1.51,0.55
2015-06-16,Monaghan,14.9,3.65,3.06,0.64
2015-06-17,Monaghan,13.5,3.82,4.45,2.02
2015-06-18,Monaghan,11.8,5.74,3.93,0.04
2015-06-19,Monaghan,13.08,3.64,3.28,2.02
2015-06-20,Monaghan,14.93,6.29,3.42,0.54
2015-06-21,Monaghan,11.27,4.78,4.83,2.07
2015-06-22,Monaghan,12.02,5.69,3.38,0.48
2015-06-23,Monaghan,13.19,7.23,1.5,0.02
2015-06-24,Monaghan,15.22,3.89,2.17,2.12
2015-06-25,Monaghan,15.16,2.02,2.94,1.5
2015-06-26,Monaghan,15.25,5.25,3.72,2.4
2015-06-27,Monaghan,14.6,3.8,4.02,8.02
2015-06-28,Monaghan,15.02,5.39,4.71,7.04
2015-06-29,Monaghan,14.83,3.76,3.54,1.62
2015-06-30,Monaghan,18.69,6.13,4.17,0.22
2015-07-01,Monaghan,18.7,3.9,1.46,0.22
2015-07-02,Monaghan,16.31,4.37,2.76,1.27
2015-07-03,Monaghan,15.73,5.86,3.64,2.68
2015-07-04,Monaghan,15.94,4.44,4.29,9.01
2015-07-05,Monaghan,13.53,4.98,2.56,3.2
2015-07-06,Monaghan,14.37,2.88,4.01,14.92
2015-07-07,Monaghan,14.02,4.19,4.73,5.18
2015-07-08,Monaghan,12.87,4.63,4.68,0.72
2015-07-09,Monaghan,12.7,4.17,2.08,2.15
2015-07-10,Monaghan,16.02,3.73,3.79,1.75
2015-07-11,Monaghan,14.21,2.43,4.69,3.26
2015-07-12,Monaghan,14.25,4.16,2.97,1.33
2015-07-13,Monaghan,14.57,3.54,2.64,6.9
2015-07-14,Monaghan,12.83,4.84,1.63,0.68
2015-07-15,Monaghan,12.61,4.66,1.61,0.04
2015-07-16,Monaghan,13.23,3.16,4.06,4.85
2015-07-17,Monaghan,13.82,3.83,6.55,3.07
2015-07-18,Monaghan,13.21,3.67,4.93,13.82
2015-07-19,Monaghan,13.12,5.48,3.24,0.78
2015-07-20,Monaghan,14.09,3.31,4.28,4.17
2015-07-21,Monaghan,13.4,2.99,3.48,2.16
2015-07-22,Monaghan,11.9,4.92,2.85,0.63
2015-07-23,Monaghan,11.9,5.05,2.94,1.32
2015-07-24,Monaghan,11.32,4.44,2.34,1.14
2015-07-25,Monaghan,11.9,4.87,2.19,0.29
2015-07-26,Monaghan,12.05,1.64,4.03,15.23
2015-07-27,Monaghan,13.64,2.28,1.73,8.54
2015-07-28,Monaghan,11.47,4.03,4.23,2.8
2015-07-29,Monaghan,11.11,4.3,4.02,1.83
2015-07-30,Monaghan,11.89,3.83,2.74,0.52
2015-07-31,Monaghan,11.86,2.9,3.68,6.24
2015-08-01,Monaghan,11.71,4.66,3.22,0.57
2015-08-02,Monaghan,13.31,3.04,4.52,7.01
2015-08-03,Monaghan,14.73,4.68,6.09,2.5
2015-08-04,Monaghan,13.76,2.83,6.27,3.26
2015-08-05,Monaghan,13.91,1.97,3.79,12.62
2015-08-06,Monaghan,13.05,3.98,2.71,0.56
2015-08-07,Monaghan,12.9,4.88,1.44,0.04
2015-08-08,Monaghan,12.67,3.04,3.69,0.6
2015-08-09,Monaghan,15.4,3.69,3.12,3.01
2015-08-10,Monaghan,13.93,3.51,4.01,3.57
2015-08-11,Monaghan,13.19,3.72,1.98,0.19
2015-08-12,Monaghan,13.86,3.41,0.99,0.02
2015-08-13,Monaghan,15.09,5.43,0.94,0.0
2015-08-14,Monaghan,12.32,3.25,3.02,0.69
2015-08-15,Monaghan,10.94,3.87,2.59,0.58
2015-08-16,Monaghan,12.63,4.12,1.88,1.22
2015-08-17,Monaghan,14.47,3.33,1.42,1.86
2015-08-18,Monaghan,15.95,5.01,1.26,0.44
2015-08-19,Monaghan,14.6,2.36,2.87,9.21
2015-08-20,Monaghan,15.59,3.12,4.09,1.51
2015-08-21,Monaghan,15.9,3.85,3.78,1.53
2015-08-22,Monaghan,13.56,3.25,2.2,2.73
2015-08-23,Monaghan,13.39,1.89,2.81,38.07
2015-08-24,Monaghan,12.04,4.29,3.21,0.87
2015-08-25,Monaghan,10.71,2.97,2.71,4.81
2015-08-26,Monaghan,12.42,3.62,3.92,17.41
2015-08-27,Monaghan,12.05,3.83,4.37,1.96
2015-08-28,Monaghan,12.53,3.65,4.29,2.93
2015-08-29,Monaghan,13.06,3.61,3.34,2.07
2015-08-30,Monaghan,12.48,2.92,1.52,0.94
2015-08-31,Monaghan,11.79,3.31,2.45,2.25
2015-09-01,Monaghan,11.02,3.55,3.57,1.21
2015-09-02,Monaghan,10.07,2.9,3.85,1.15
2015-09-03,Monaghan,10.93,2.67,4.26,0.85
2015-09-04,Monaghan,11.97,1.99,4.27,0.64
2015-09-05,Monaghan,10.98,4.14,3.42,0.02
2015-09-06,Monaghan,11.48,3.18,2.28,0.23
2015-09-07,Monaghan,11.5,2.29,0.98,0.47
2015-09-08,Monaghan,12.52,4.0,2.68,0.19
2015-09-09,Monaghan,12.03,2.93,3.26,0.16
2015-09-10,Monaghan,13.92,3.37,4.04,0.09
2015-09-11,Monaghan,13.21,2.15,4.2,10.47
2015-09-12,Monaghan,11.74,2.56,4.29,17.29
2015-09-13,Monaghan,10.83,3.02,2.42,2.46
2015-09-14,Monaghan,11.42,2.57,2.86,2.56
2015-09-15,Monaghan,10.58,3.31,2.62,0.61
2015-09-16,Monaghan,9.46,3.47,1.11,0.1
2015-09-17,Monaghan,10.53,2.33,1.84,1.71
