date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Offaly,10.95,0.22,7.47,7.09
2015-01-02,Offaly,3.76,0.98,5.04,1.32
2015-01-03,Offaly,1.97,0.68,1.94,9.52
2015-01-04,Offaly,3.64,0.51,2.53,0.28
2015-01-05,Offaly,7.86,0.3,3.98,0.84
2015-01-06,Offaly,4.25,0.96,4.07,2.51
2015-01-07,Offaly,7.96,0.25,7.13,6.44
2015-01-08,Offaly,4.81,0.88,5.18,2.95
2015-01-09,Offaly,9.56,0.18,8.17,3.2
2015-01-10,Offaly,4.62,0.98,7.88,3.16
2015-01-11,Offaly,4.14,0.41,6.68,0.46
2015-01-12,Offaly,4.92,0.99,6.53,3.46
2015-01-13,Offaly,0.53,0.73,4.93,2.04
2015-01-14,Offaly,2.68,0.27,6.76,8.33
2015-01-15,Offaly,3.23,0.57,9.01,2.05
2015-01-16,Offaly,0.63,1.16,3.91,0.84
2015-01-17,Offaly,1.18,1.05,3.74,0.41
2015-01-18,Offaly,0.59,1.14,3.54,0.29
2015-01-19,Offaly,-1.37,0.76,1.62,0.1
2015-01-20,Offaly,1.17,0.51,1.81,4.84
2015-01-21,Offaly,0.87,0.93,1.94,0.82
2015-01-22,Offaly,1.09,1.0,1.42,0.15
2015-01-23,Offaly,4.72,0.48,4.65,3.33
2015-01-24,Offaly,1.86,0.99,3.52,0.06
2015-01-25,Offaly,6.61,0.54,4.46,1.96
2015-01-26,Offaly,4.38,1.01,3.72,0.16
2015-01-27,Offaly,5.04,0.84,4.12,0.82
2015-01-28,Offaly,3.88,1.2,7.68,3.39
2015-01-29,Offaly,1.85,0.83,7.27,6.66
2015-01-30,Offaly,2.95,1.28,5.7,1.73
2015-01-31,Offaly,1.99,1.48,7.2,0.64
2015-02-01,Offaly,-0.19,1.61,3.22,0.06
2015-02-02,Offaly,-0.41,1.33,1.61,0.35
2015-02-03,Offaly,-0.49,1.34,2.2,0.39
2015-02-04,Offaly,-0.75,1.79,2.47,0.04
2015-02-05,Offaly,1.93,1.45,2.45,0.15
2015-02-06,Offaly,3.49,0.75,1.49,0.29
2015-02-07,Offaly,3.48,0.83,2.64,0.42
2015-02-08,Offaly,1.69,1.31,1.94,0.39
2015-02-09,Offaly,3.33,0.79,1.52,0.36
2015-02-10,Offaly,2.83,0.95,1.32,0.54
2015-02-11,Offaly,3.57,0.45,1.63,0.67
2015-02-12,Offaly,3.62,1.03,2.78,0.67
2015-02-13,Offaly,5.58,1.12,3.36,4.49
2015-02-14,Offaly,5.15,1.32,1.9,0.23
2015-02-15,Offaly,5.27,0.96,3.8,9.02
2015-02-16,Offaly,3.09,2.08,3.62,0.7
2015-02-17,Offaly,3.63,1.53,4.14,0.04
2015-02-18,Offaly,8.18,1.34,5.78,2.33
2015-02-19,Offaly,5.56,1.79,4.16,1.53
2015-02-20,Offaly,2.49,1.66,3.68,1.04
2015-02-21,Offaly,2.04,2.18,4.35,0.99
2015-02-22,Offaly,3.91,0.79,5.72,11.71
2015-02-23,Offaly,3.01,1.92,8.11,3.08
2015-02-24,Offaly,4.07,1.99,5.89,1.52
2015-02-25,Offaly,8.28,1.09,3.83,2.81
2015-02-26,Offaly,5.08,2.73,5.6,4.32
2015-02-27,Offaly,3.51,2.0,4.88,0.84
2015-02-28,Offaly,6.67,1.14,5.9,2.8
2015-03-01,Offaly,2.98,1.28,5.79,1.64
2015-03-02,Offaly,1.61,2.02,5.65,2.64
2015-03-03,Offaly,1.85,2.51,5.73,0.49
2015-03-04,Offaly,2.99,2.97,3.9,0.09
2015-03-05,Offaly,6.31,1.56,5.16,0.09
2015-03-06,Offaly,7.75,2.18,6.89,0.05
2015-03-07,Offaly,10.37,1.41,7.53,0.93
2015-03-08,Offaly,5.72,2.81,3.58,3.44
2015-03-09,Offaly,5.63,2.3,6.58,3.94
2015-03-10,Offaly,4.24,3.57,2.73,0.0
2015-03-11,Offaly,5.77,2.51,5.31,2.86
2015-03-12,Offaly,6.64,0.8,4.9,13.61
2015-03-13,Offaly,2.97,4.05,1.88,0.0
2015-03-14,Offaly,2.85,2.05,1.88,0.21
2015-03-15,Offaly,3.14,1.52,2.35,0.19
2015-03-16,Offaly,3.94,1.75,2.28,0.51
2015-03-17,Offaly,4.77,1.91,1.25,0.37
2015-03-18,Offaly,4.62,3.77,0.85,0.06
2015-03-19,Offaly,5.37,3.93,0.7,0.02
2015-03-20,Offaly,6.52,2.64,2.79,0.29
2015-03-21,Offaly,6.01,3.79,2.07,0.05
2015-03-22,Offaly,5.47,4.0,2.67,0.09
2015-03-23,Offaly,5.84,3.71,3.39,0.91
2015-03-24,Offaly,3.5,4.04,4.25,0.93
2015-03-25,Offaly,3.32,3.0,3.32,11.65
2015-03-26,Offaly,5.46,4.17,5.03,0.46
2015-03-27,Offaly,5.54,3.28,2.41,1.62
2015-03-28,Offaly,9.29,3.0,6.94,4.9
2015-03-29,Offaly,5.92,2.57,5.63,7.43
2015-03-30,Offaly,6.22,1.55,6.29,10.06
2015-03-31,Offaly,5.24,4.17,8.23,1.31
2015-04-01,Offaly,5.24,2.32,4.39,5.78
2015-04-02,Offaly,6.03,2.09,2.29,9.05
2015-04-03,Offaly,7.94,2.85,5.16,1.94
