date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Roscommon,10.23,0.12,7.13,16.38
2015-01-02,Roscommon,4.02,0.82,4.15,3.16
2015-01-03,Roscommon,2.58,0.89,1.89,8.19
2015-01-04,Roscommon,4.62,0.55,3.19,0.55
2015-01-05,Roscommon,7.71,0.37,4.08,3.56
2015-01-06,Roscommon,4.51,0.78,3.91,2.04
2015-01-07,Roscommon,8.13,0.19,7.38,12.38
2015-01-08,Roscommon,5.32,0.6,4.92,4.89
2015-01-09,Roscommon,9.71,0.16,8.07,7.5
2015-01-10,Roscommon,4.13,0.78,7.29,4.82
2015-01-11,Roscommon,5.24,0.34,6.77,3.0
2015-01-12,Roscommon,4.83,0.84,6.29,5.77
2015-01-13,Roscommon,0.92,0.52,4.56,6.35
2015-01-14,Roscommon,3.36,0.15,7.35,14.41
2015-01-15,Roscommon,3.24,0.46,8.51,4.64
2015-01-16,Roscommon,1.39,1.06,3.37,3.19
2015-01-17,Roscommon,1.38,0.86,2.69,1.42
2015-01-18,Roscommon,1.06,1.19,3.01,0.46
2015-01-19,Roscommon,-0.13,0.36,2.53,3.95
2015-01-20,Roscommon,1.01,0.72,2.24,6.0
2015-01-21,Roscommon,1.84,0.92,2.23,0.7
2015-01-22,Roscommon,1.52,1.06,2.17,0.37
2015-01-23,Roscommon,5.21,0.54,4.54,3.61
2015-01-24,Roscommon,2.8,0.77,3.06,0.29
2015-01-25,Roscommon,7.43,0.44,4.62,3.81
2015-01-26,Roscommon,4.64,0.98,3.11,0.23
2015-01-27,Roscommon,5.87,0.64,3.85,1.62
2015-01-28,Roscommon,3.84,1.0,7.43,3.6
2015-01-29,Roscommon,2.54,0.79,7.28,6.8
2015-01-30,Roscommon,3.32,1.16,5.51,2.76
2015-01-31,Roscommon,2.25,1.24,6.66,1.59
2015-02-01,Roscommon,0.92,1.4,2.43,0.32
2015-02-02,Roscommon,-0.01,1.15,1.09,0.63
2015-02-03,Roscommon,-0.25,1.05,2.97,4.05
2015-02-04,Roscommon,-0.95,1.71,1.91,0.0
2015-02-05,Roscommon,1.63,1.27,1.91,0.22
2015-02-06,Roscommon,2.58,0.87,1.41,0.28
2015-02-07,Roscommon,2.8,0.88,2.23,0.26
2015-02-08,Roscommon,1.29,1.27,1.24,0.43
2015-02-09,Roscommon,3.78,0.71,1.13,0.45
2015-02-10,Roscommon,2.99,0.94,1.45,0.48
2015-02-11,Roscommon,3.55,0.61,1.93,0.51
2015-02-12,Roscommon,4.14,1.12,3.62,0.44
2015-02-13,Roscommon,4.86,1.4,3.21,6.37
2015-02-14,Roscommon,4.81,1.71,1.61,0.1
2015-02-15,Roscommon,5.14,0.51,4.22,8.86
2015-02-16,Roscommon,2.92,2.03,3.38,1.19
2015-02-17,Roscommon,5.11,1.27,4.58,0.14
2015-02-18,Roscommon,8.93,0.68,6.25,6.25
2015-02-19,Roscommon,5.14,2.07,3.71,2.1
