date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Sligo,9.8,0.22,10.22,25.09
2015-01-02,Sligo,6.84,0.65,9.75,3.73
2015-01-03,Sligo,5.77,0.67,3.19,7.19
2015-01-04,Sligo,5.71,0.44,7.14,0.58
2015-01-05,Sligo,8.11,0.29,7.05,7.29
2015-01-06,Sligo,6.92,0.67,7.38,1.96
2015-01-07,Sligo,9.15,0.18,11.83,19.31
2015-01-08,Sligo,7.22,0.49,10.42,5.34
2015-01-09,Sligo,10.03,0.09,12.53,15.27
2015-01-10,Sligo,5.72,0.59,13.1,5.3
2015-01-11,Sligo,7.55,0.16,12.07,4.86
2015-01-12,Sligo,6.2,0.71,11.79,8.26
2015-01-13,Sligo,3.62,0.27,8.75,8.18
2015-01-14,Sligo,5.35,0.2,12.5,19.76
2015-01-15,Sligo,5.83,0.41,15.09,13.35
2015-01-16,Sligo,4.61,0.57,6.99,6.47
2015-01-17,Sligo,5.08,0.62,6.64,3.46
2015-01-18,Sligo,5.35,0.83,6.62,0.93
2015-01-19,Sligo,3.59,0.27,5.59,5.16
2015-01-20,Sligo,4.25,0.52,5.93,7.15
2015-01-21,Sligo,5.99,0.62,4.54,2.54
2015-01-22,Sligo,5.19,0.87,5.41,0.45
2015-01-23,Sligo,7.31,0.56,8.99,5.07
2015-01-24,Sligo,6.22,0.59,7.27,0.42
2015-01-25,Sligo,8.39,0.33,7.88,5.27
2015-01-26,Sligo,7.09,0.85,7.1,0.57
2015-01-27,Sligo,7.85,0.56,7.3,3.89
2015-01-28,Sligo,5.5,0.71,13.08,8.36
2015-01-29,Sligo,5.14,0.53,12.98,10.26
2015-01-30,Sligo,5.89,0.93,10.06,4.04
2015-01-31,Sligo,5.17,0.96,11.52,1.12
2015-02-01,Sligo,4.46,1.15,4.05,0.29
2015-02-02,Sligo,2.97,0.85,1.73,6.0
2015-02-03,Sligo,3.62,0.93,8.26,3.05
2015-02-04,Sligo,3.99,1.32,3.47,0.06
2015-02-05,Sligo,5.91,1.12,3.69,0.62
2015-02-06,Sligo,5.36,0.88,1.94,0.2
2015-02-07,Sligo,6.39,0.98,3.94,0.21
2015-02-08,Sligo,5.86,1.12,2.13,0.08
2015-02-09,Sligo,6.56,0.58,3.35,0.43
2015-02-10,Sligo,4.6,0.7,4.45,0.57
2015-02-11,Sligo,5.04,0.68,5.43,1.08
2015-02-12,Sligo,5.66,1.28,7.38,0.65
2015-02-13,Sligo,6.09,1.22,5.32,5.1
2015-02-14,Sligo,6.2,1.53,4.35,0.09
2015-02-15,Sligo,6.26,0.38,7.97,12.56
2015-02-16,Sligo,5.7,1.7,7.18,1.21
2015-02-17,Sligo,7.32,1.16,8.72,1.06
2015-02-18,Sligo,9.32,0.42,10.12,9.32
2015-02-19,Sligo,6.54,1.94,7.73,2.39
2015-02-20,Sligo,5.38,1.58,7.4,4.9
2015-02-21,Sligo,5.41,1.83,7.75,1.77
2015-02-22,Sligo,5.6,1.38,10.11,14.26
2015-02-23,Sligo,5.41,1.1,12.94,10.03
2015-02-24,Sligo,6.22,1.7,9.4,4.56
2015-02-25,Sligo,8.81,0.93,6.77,7.2
2015-02-26,Sligo,5.82,2.06,10.62,1.44
2015-02-27,Sligo,6.23,1.36,8.45,2.46
2015-02-28,Sligo,7.58,0.79,10.26,10.64
2015-03-01,Sligo,5.23,2.0,10.03,3.46
2015-03-02,Sligo,4.05,1.56,10.42,3.57
2015-03-03,Sligo,4.68,1.12,10.69,5.07
2015-03-04,Sligo,6.35,1.84,7.49,0.21
2015-03-05,Sligo,8.29,1.43,10.01,2.38
2015-03-06,Sligo,8.77,0.89,12.6,5.02
2015-03-07,Sligo,10.22,0.91,12.23,9.33
2015-03-08,Sligo,6.21,2.83,6.59,0.4
2015-03-09,Sligo,6.65,1.79,12.74,5.36
2015-03-10,Sligo,6.29,3.37,6.03,0.04
2015-03-11,Sligo,6.4,2.6,9.35,12.83
2015-03-12,Sligo,6.88,1.22,9.23,11.46
2015-03-13,Sligo,5.77,3.64,2.49,0.02
2015-03-14,Sligo,5.01,2.34,5.51,0.01
2015-03-15,Sligo,5.14,2.72,5.67,0.08
2015-03-16,Sligo,5.48,1.61,4.55,0.35
2015-03-17,Sligo,5.35,2.51,2.47,0.18
2015-03-18,Sligo,6.79,3.51,1.92,0.0
2015-03-19,Sligo,6.97,2.33,3.65,0.12
2015-03-20,Sligo,7.86,2.2,4.13,0.58
2015-03-21,Sligo,7.01,2.48,2.46,0.05
2015-03-22,Sligo,7.02,2.82,6.68,0.79
2015-03-23,Sligo,7.05,3.79,6.69,1.51
2015-03-24,Sligo,6.17,3.89,7.35,1.65
2015-03-25,Sligo,5.36,1.8,6.99,18.48
2015-03-26,Sligo,6.82,3.48,8.0,0.13
2015-03-27,Sligo,7.31,3.51,4.69,8.84
2015-03-28,Sligo,8.76,2.27,10.82,12.97
2015-03-29,Sligo,6.58,2.98,8.9,6.24
2015-03-30,Sligo,7.56,1.09,10.44,11.57
2015-03-31,Sligo,6.18,3.66,12.97,1.21
2015-04-01,Sligo,5.95,1.94,6.31,9.78
2015-04-02,Sligo,6.95,1.76,5.16,13.22
2015-04-03,Sligo,8.27,2.53,7.99,0.87
2015-04-04,Sligo,8.87,3.28,2.43,0.82
2015-04-05,Sligo,8.9,3.98,2.75,0.3
2015-04-06,Sligo,8.65,5.13,2.71,0.04
2015-04-07,Sligo,9.02,5.18,2.39,0.01
2015-04-08,Sligo,9.5,5.36,3.19,0.01
2015-04-09,Sligo,9.46,5.45,3.57,0.0
2015-04-10,Sligo,8.77,4.95,6.42,4.85
2015-04-11,Sligo,6.69,4.58,8.82,5.75
2015-04-12,Sligo,6.48,5.31,4.92,5.87
2015-04-13,Sligo,8.7,2.01,7.6,1.99
2015-04-14,Sligo,10.05,2.13,8.11,4.5
2015-04-15,Sligo,7.45,4.75,3.55,2.16
2015-04-16,Sligo,7.82,5.49,2.16,0.01
2015-04-17,Sligo,9.13,5.71,3.97,0.0
2015-04-18,Sligo,8.81,6.32,5.22,0.0
2015-04-19,Sligo,9.2,6.01,3.35,0.03
2015-04-20,Sligo,9.58,5.71,1.98,0.2
2015-04-21,Sligo,10.09,6.42,2.37,0.0
2015-04-22,Sligo,10.27,5.49,2.75,0.08
2015-04-23,Sligo,10.89,5.52,2.16,0.02
2015-04-24,Sligo,9.8,2.3,2.7,10.71
2015-04-25,Sligo,7.05,6.09,6.37,3.19
2015-04-26,Sligo,5.47,5.56,4.07,1.56
2015-04-27,Sligo,5.67,4.48,8.77,3.6
2015-04-28,Sligo,6.06,3.57,8.26,16.71
2015-04-29,Sligo,7.14,3.57,7.44,5.7
2015-04-30,Sligo,7.88,6.7,4.84,0.38
2015-05-01,Sligo,7.74,5.5,5.23,0.06
2015-05-02,Sligo,7.23,1.78,9.64,20.68
2015-05-03,Sligo,10.41,3.52,6.14,19.5
2015-05-04,Sligo,9.73,4.24,5.84,2.26
2015-05-05,Sligo,7.19,1.63,4.7,23.83
2015-05-06,Sligo,8.41,4.26,8.01,4.78
2015-05-07,Sligo,7.58,5.95,2.72,0.23
2015-05-08,Sligo,8.24,2.83,3.18,1.39
2015-05-09,Sligo,9.92,4.36,2.99,4.84
2015-05-10,Sligo,12.14,2.15,9.19,17.04
2015-05-11,Sligo,10.57,5.6,11.23,1.41
2015-05-12,Sligo,9.21,6.12,8.08,2.15
2015-05-13,Sligo,10.1,7.15,3.54,0.02
2015-05-14,Sligo,10.4,5.8,6.0,0.06
2015-05-15,Sligo,10.28,2.09,7.55,3.93
2015-05-16,Sligo,8.97,6.16,9.01,0.98
2015-05-17,Sligo,9.28,3.46,8.13,7.78
2015-05-18,Sligo,8.12,5.25,8.92,8.95
2015-05-19,Sligo,8.59,6.23,8.73,1.47
2015-05-20,Sligo,9.23,4.9,6.06,0.86
2015-05-21,Sligo,10.74,2.95,5.81,2.48
2015-05-22,Sligo,10.52,4.24,4.82,1.65
2015-05-23,Sligo,11.0,3.38,4.16,3.06
2015-05-24,Sligo,9.55,4.07,6.43,0.3
2015-05-25,Sligo,10.12,4.53,4.95,1.33
2015-05-26,Sligo,9.53,3.62,5.87,0.34
2015-05-27,Sligo,9.42,2.48,7.83,10.1
2015-05-28,Sligo,8.85,5.87,8.09,4.4
2015-05-29,Sligo,8.54,6.66,6.78,1.74
2015-05-30,Sligo,9.38,2.97,5.81,9.67
2015-05-31,Sligo,8.28,6.4,9.52,2.8
2015-06-01,Sligo,8.89,3.26,11.08,20.07
2015-06-02,Sligo,8.62,4.63,6.21,3.03
2015-06-03,Sligo,10.62,6.88,3.64,0.37
2015-06-04,Sligo,10.77,2.49,4.51,9.0
2015-06-05,Sligo,10.61,5.95,10.67,6.65
2015-06-06,Sligo,10.11,6.09,10.18,4.64
2015-06-07,Sligo,9.64,7.62,4.72,0.33
2015-06-08,Sligo,9.46,6.89,3.32,0.19
2015-06-09,Sligo,10.95,7.18,2.02,0.02
2015-06-10,Sligo,11.62,6.71,2.89,0.0
2015-06-11,Sligo,12.77,7.11,3.14,0.0
2015-06-12,Sligo,12.28,4.57,4.8,0.05
2015-06-13,Sligo,10.32,5.03,5.22,0.14
2015-06-14,Sligo,10.3,7.13,3.95,0.06
2015-06-15,Sligo,12.19,4.82,2.79,1.47
2015-06-16,Sligo,13.8,2.49,6.3,1.34
2015-06-17,Sligo,12.0,4.07,6.77,1.85
2015-06-18,Sligo,11.6,4.73,6.36,0.05
2015-06-19,Sligo,12.31,2.33,4.44,3.17
2015-06-20,Sligo,13.11,5.49,5.76,1.31
2015-06-21,Sligo,11.16,5.3,7.66,3.11
2015-06-22,Sligo,11.81,4.58,5.06,0.61
2015-06-23,Sligo,12.25,6.55,1.14,0.11
2015-06-24,Sligo,14.33,4.71,3.13,1.39
2015-06-25,Sligo,14.8,1.99,5.42,8.08
2015-06-26,Sligo,14.4,6.76,6.14,1.77
2015-06-27,Sligo,14.69,3.17,7.01,5.09
2015-06-28,Sligo,14.01,5.23,7.59,1.19
2015-06-29,Sligo,14.81,2.87,5.95,3.01
2015-06-30,Sligo,16.93,3.78,5.48,0.92
2015-07-01,Sligo,14.66,4.27,3.2,2.76
2015-07-02,Sligo,15.05,5.82,3.0,1.66
2015-07-03,Sligo,15.83,5.3,6.09,0.73
2015-07-04,Sligo,15.14,4.93,6.46,4.48
2015-07-05,Sligo,14.04,6.19,3.93,0.89
2015-07-06,Sligo,14.46,3.18,5.92,7.58
2015-07-07,Sligo,14.01,4.15,7.1,5.8
2015-07-08,Sligo,12.66,5.79,6.49,0.77
2015-07-09,Sligo,13.69,3.01,3.61,9.26
2015-07-10,Sligo,14.85,2.47,6.45,5.79
2015-07-11,Sligo,14.41,1.92,7.66,5.37
2015-07-12,Sligo,13.59,4.32,4.46,1.53
2015-07-13,Sligo,13.33,5.64,4.01,6.36
2015-07-14,Sligo,12.06,6.12,3.09,0.94
2015-07-15,Sligo,12.51,5.66,2.63,0.11
2015-07-16,Sligo,14.0,2.19,6.96,8.53
2015-07-17,Sligo,13.55,2.47,10.21,4.47
2015-07-18,Sligo,13.25,4.61,5.64,9.95
2015-07-19,Sligo,12.46,5.69,4.4,1.72
2015-07-20,Sligo,14.2,3.87,8.01,5.67
2015-07-21,Sligo,12.66,4.62,4.83,1.3
2015-07-22,Sligo,12.87,5.78,6.22,1.04
2015-07-23,Sligo,12.86,6.0,5.14,1.57
2015-07-24,Sligo,11.4,5.73,3.83,2.3
2015-07-25,Sligo,12.21,5.28,2.99,1.12
2015-07-26,Sligo,13.87,1.91,6.48,15.01
2015-07-27,Sligo,13.46,2.29,4.53,9.82
2015-07-28,Sligo,11.5,4.75,6.34,5.66
2015-07-29,Sligo,11.58,5.52,6.4,1.92
2015-07-30,Sligo,12.34,4.23,4.76,1.3
2015-07-31,Sligo,12.77,3.58,6.66,8.55
2015-08-01,Sligo,13.11,5.6,6.35,1.78
2015-08-02,Sligo,14.31,1.78,8.43,11.57
2015-08-03,Sligo,14.7,5.1,10.62,6.41
2015-08-04,Sligo,13.99,3.29,9.22,4.45
2015-08-05,Sligo,12.8,3.58,5.18,12.63
2015-08-06,Sligo,13.04,5.14,4.75,0.3
2015-08-07,Sligo,12.79,4.71,4.08,0.22
2015-08-08,Sligo,13.84,2.21,7.95,2.2
2015-08-09,Sligo,14.74,3.28,5.96,1.96
2015-08-10,Sligo,13.21,4.0,6.12,8.47
2015-08-11,Sligo,13.07,4.51,3.9,0.85
2015-08-12,Sligo,13.47,2.94,3.4,0.63
2015-08-13,Sligo,13.88,5.29,3.0,0.31
2015-08-14,Sligo,12.72,5.31,4.93,2.0
2015-08-15,Sligo,12.9,3.84,5.07,1.74
2015-08-16,Sligo,14.4,5.0,2.41,0.49
2015-08-17,Sligo,15.55,4.21,1.52,2.02
2015-08-18,Sligo,16.12,5.26,1.41,0.3
2015-08-19,Sligo,14.57,3.1,5.86,7.98
2015-08-20,Sligo,15.6,2.55,7.49,2.6
2015-08-21,Sligo,14.93,4.16,7.0,1.67
2015-08-22,Sligo,14.46,4.37,3.55,3.34
2015-08-23,Sligo,13.35,1.73,8.12,40.07
2015-08-24,Sligo,12.48,3.27,8.86,2.11
2015-08-25,Sligo,12.82,2.17,5.26,6.88
2015-08-26,Sligo,13.18,4.75,5.6,7.84
2015-08-27,Sligo,13.37,4.43,7.24,4.62
2015-08-28,Sligo,13.61,3.84,7.64,5.94
2015-08-29,Sligo,13.64,3.52,5.9,2.8
2015-08-30,Sligo,13.44,3.05,3.34,1.86
2015-08-31,Sligo,12.72,3.7,4.45,2.98
2015-09-01,Sligo,12.12,4.06,6.01,1.63
2015-09-02,Sligo,11.7,3.21,6.4,1.3
2015-09-03,Sligo,12.44,2.38,7.29,1.21
2015-09-04,Sligo,12.93,2.41,7.48,1.21
2015-09-05,Sligo,12.22,3.96,5.49,0.09
2015-09-06,Sligo,12.61,3.35,3.41,0.67
2015-09-07,Sligo,12.19,2.7,1.06,0.32
2015-09-08,Sligo,13.74,4.66,5.79,0.08
2015-09-09,Sligo,14.04,3.45,6.96,0.17
2015-09-10,Sligo,14.77,2.76,7.98,0.53
2015-09-11,Sligo,14.0,1.05,6.81,29.84
2015-09-12,Sligo,12.49,2.19,6.48,13.31
2015-09-13,Sligo,12.32,3.02,3.52,13.14
2015-09-14,Sligo,12.31,2.59,4.82,1.96
2015-09-15,Sligo,11.44,2.82,4.08,0.77
2015-09-16,Sligo,11.71,2.95,2.96,0.5
2015-09-17,Sligo,12.3,2.73,3.64,1.95
2015-09-18,Sligo,13.22,2.75,3.79,1.08
2015-09-19,Sligo,13.38,2.11,3.85,0.21
2015-09-20,Sligo,13.49,0.98,5.91,5.96
2015-09-21,Sligo,12.11,2.83,4.55,4.41
2015-09-22,Sligo,11.95,3.71,5.11,1.25
2015-09-23,Sligo,12.43,2.6,7.31,3.94
2015-09-24,Sligo,11.97,2.86,8.33,2.28
2015-09-25,Sligo,12.57,1.56,4.45,0.9
2015-09-26,Sligo,13.1,1.58,5.61,0.17
2015-09-27,Sligo,13.04,1.96,6.13,0.02
2015-09-28,Sligo,12.63,2.96,7.02,0.03
2015-09-29,Sligo,13.11,3.54,4.03,0.05
2015-09-30,Sligo,12.38,2.87,2.74,0.06
2015-10-01,Sligo,12.11,3.46,1.91,0.09
2015-10-02,Sligo,11.09,1.35,1.76,0.32
2015-10-03,Sligo,10.48,1.28,1.18,0.58
2015-10-04,Sligo,11.57,2.55,5.96,0.18
2015-10-05,Sligo,12.93,0.87,5.01,7.42
2015-10-06,Sligo,12.61,1.47,5.28,1.23
2015-10-07,Sligo,11.63,2.33,4.2,0.55
2015-10-08,Sligo,12.03,2.62,4.94,0.54
2015-10-09,Sligo,12.62,1.44,5.04,1.99
2015-10-10,Sligo,12.26,1.31,4.08,0.36
2015-10-11,Sligo,11.74,2.0,3.07,0.34
2015-10-12,Sligo,10.56,2.5,4.07,0.01
2015-10-13,Sligo,10.08,2.82,3.37,0.0
2015-10-14,Sligo,10.63,2.22,5.15,0.04
2015-10-15,Sligo,10.67,1.88,3.69,0.06
2015-10-16,Sligo,10.83,2.35,2.48,0.01
2015-10-17,Sligo,10.63,2.1,2.97,0.07
2015-10-18,Sligo,10.9,1.14,1.85,0.05
2015-10-19,Sligo,11.37,1.14,3.28,0.44
2015-10-20,Sligo,11.92,0.67,6.77,10.57
2015-10-21,Sligo,13.36,0.66,9.81,2.82
2015-10-22,Sligo,11.58,1.4,8.04,0.23
2015-10-23,Sligo,11.59,0.51,7.83,22.59
2015-10-24,Sligo,10.18,1.78,7.42,2.28
2015-10-25,Sligo,10.21,0.71,8.49,5.33
2015-10-26,Sligo,12.13,0.76,10.12,2.19
2015-10-27,Sligo,11.97,0.44,4.98,10.78
2015-10-28,Sligo,10.95,1.7,7.51,1.83
2015-10-29,Sligo,10.97,1.72,7.44,3.45
2015-10-30,Sligo,11.99,0.68,8.3,3.89
2015-10-31,Sligo,11.85,1.79,6.16,0.39
2015-11-01,Sligo,10.82,1.78,5.73,0.18
2015-11-02,Sligo,11.05,0.53,4.83,0.36
2015-11-03,Sligo,8.93,0.88,3.07,0.82
2015-11-04,Sligo,9.19,1.06,2.53,0.33
2015-11-05,Sligo,11.11,0.5,5.05,3.37
2015-11-06,Sligo,11.61,1.22,7.64,4.55
2015-11-07,Sligo,10.18,0.8,4.17,18.09
2015-11-08,Sligo,10.34,0.73,9.68,12.07
2015-11-09,Sligo,13.07,0.33,11.68,11.93
2015-11-10,Sligo,13.12,0.48,8.35,8.58
2015-11-11,Sligo,11.12,0.94,7.6,1.92
2015-11-12,Sligo,10.35,0.36,11.15,6.43
2015-11-13,Sligo,8.15,0.82,10.46,7.36
2015-11-14,Sligo,10.03,0.45,7.79,36.19
2015-11-15,Sligo,12.94,0.23,11.39,14.54
2015-11-16,Sligo,8.37,0.95,9.34,0.23
2015-11-17,Sligo,8.03,0.26,6.42,17.2
2015-11-18,Sligo,10.72,0.71,11.12,13.06
2015-11-19,Sligo,9.0,0.9,8.45,1.16
2015-11-20,Sligo,7.16,0.69,10.48,3.25
2015-11-21,Sligo,7.22,0.4,7.58,5.66
2015-11-22,Sligo,8.41,0.8,5.04,0.43
2015-11-23,Sligo,9.25,0.15,7.11,4.22
2015-11-24,Sligo,9.66,0.36,9.88,5.84
2015-11-25,Sligo,10.63,0.63,8.73,1.92
2015-11-26,Sligo,11.5,0.4,7.06,4.58
2015-11-27,Sligo,8.23,0.37,10.23,11.38
2015-11-28,Sligo,7.68,0.38,11.44,16.16
2015-11-29,Sligo,8.25,0.56,11.92,11.62
2015-11-30,Sligo,5.87,0.57,3.54,11.27
2015-12-01,Sligo,11.4,0.14,11.62,12.43
2015-12-02,Sligo,8.81,0.69,6.41,3.59
2015-12-03,Sligo,7.35,0.25,5.14,1.03
2015-12-04,Sligo,10.42,0.2,13.43,19.07
2015-12-05,Sligo,11.18,0.13,10.34,53.65
2015-12-06,Sligo,7.42,0.69,5.56,3.87
2015-12-07,Sligo,11.26,0.24,10.89,7.23
2015-12-08,Sligo,8.2,0.36,9.54,4.91
2015-12-09,Sligo,10.19,0.15,12.57,12.88
2015-12-10,Sligo,6.89,0.47,9.03,5.14
2015-12-11,Sligo,7.49,0.5,8.47,1.74
2015-12-12,Sligo,5.54,0.42,4.45,6.17
2015-12-13,Sligo,6.59,0.16,6.34,6.05
2015-12-14,Sligo,9.23,0.17,6.51,1.33
2015-12-15,Sligo,9.68,0.22,8.37,7.12
2015-12-16,Sligo,11.12,0.27,6.64,1.9
2015-12-17,Sligo,11.33,0.36,8.96,4.14
2015-12-18,Sligo,11.42,0.16,9.54,7.23
2015-12-19,Sligo,11.11,0.48,10.44,1.66
2015-12-20,Sligo,8.56,0.45,9.31,4.15
2015-12-21,Sligo,8.25,0.57,9.74,5.95
2015-12-22,Sligo,9.04,0.47,10.23,8.52
2015-12-23,Sligo,8.16,0.33,11.4,12.19
2015-12-24,Sligo,6.25,0.4,8.83,3.5
2015-12-25,Sligo,5.22,0.24,6.24,10.6
2015-12-26,Sligo,6.18,0.19,4.02,1.51
2015-12-27,Sligo,7.46,0.39,8.7,0.62
2015-12-28,Sligo,9.87,0.18,9.56,29.62
2015-12-29,Sligo,8.86,0.22,10.86,24.29
2015-12-30,Sligo,7.69,0.22,6.84,12.03
2015-12-31,Sligo,5.53,0.26,8.08,4.3
2016-01-01,Sligo,6.32,0.22,10.18,10.43
2016-01-02,Sligo,7.52,0.28,4.38,5.64
2016-01-03,Sligo,7.0,0.34,7.77,9.63
2016-01-04,Sligo,7.25,0.42,4.55,2.44
2016-01-05,Sligo,6.92,0.34,5.06,0.66
