date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,SouthTipperary,11.03,0.15,7.45,6.99
2015-01-02,SouthTipperary,4.11,1.1,3.37,3.26
2015-01-03,SouthTipperary,3.63,0.61,2.44,8.53
2015-01-04,SouthTipperary,5.7,0.53,2.22,0.33
2015-01-05,SouthTipperary,8.73,0.24,4.06,2.29
2015-01-06,SouthTipperary,4.65,1.08,3.39,2.67
2015-01-07,SouthTipperary,8.66,0.2,7.14,7.99
2015-01-08,SouthTipperary,5.76,0.92,4.55,3.28
2015-01-09,SouthTipperary,10.5,0.34,7.21,1.96
2015-01-10,SouthTipperary,5.45,1.05,7.31,2.73
2015-01-11,SouthTipperary,4.45,0.38,5.44,0.29
2015-01-12,SouthTipperary,5.86,0.73,5.39,3.94
2015-01-13,SouthTipperary,0.96,0.94,4.03,3.3
2015-01-14,SouthTipperary,3.65,0.21,6.91,11.91
2015-01-15,SouthTipperary,3.14,0.88,7.48,3.18
2015-01-16,SouthTipperary,1.12,1.33,3.41,0.83
2015-01-17,SouthTipperary,1.54,0.76,3.02,0.69
2015-01-18,SouthTipperary,0.29,1.17,3.75,0.05
2015-01-19,SouthTipperary,-0.39,0.78,1.66,1.58
2015-01-20,SouthTipperary,2.37,0.52,2.78,5.48
2015-01-21,SouthTipperary,2.28,0.97,3.57,0.37
2015-01-22,SouthTipperary,1.97,1.21,1.21,0.07
2015-01-23,SouthTipperary,6.24,0.42,4.26,2.69
2015-01-24,SouthTipperary,2.04,1.26,2.37,0.03
2015-01-25,SouthTipperary,7.38,0.6,3.85,2.01
2015-01-26,SouthTipperary,4.95,1.03,3.3,0.33
2015-01-27,SouthTipperary,5.43,0.91,3.29,0.57
2015-01-28,SouthTipperary,4.56,1.32,7.07,1.95
2015-01-29,SouthTipperary,2.54,1.0,7.16,2.57
2015-01-30,SouthTipperary,3.22,1.32,6.21,1.35
2015-01-31,SouthTipperary,1.86,1.64,7.25,0.16
2015-02-01,SouthTipperary,-0.02,1.81,3.1,0.01
2015-02-02,SouthTipperary,-0.17,1.48,1.35,0.06
2015-02-03,SouthTipperary,-0.19,1.77,2.14,0.53
2015-02-04,SouthTipperary,-0.62,1.97,2.96,0.04
2015-02-05,SouthTipperary,1.5,1.63,3.26,0.1
2015-02-06,SouthTipperary,3.04,1.51,2.19,0.12
2015-02-07,SouthTipperary,3.0,0.91,2.77,0.38
2015-02-08,SouthTipperary,2.5,1.52,1.62,0.26
2015-02-09,SouthTipperary,3.31,1.02,1.38,0.33
2015-02-10,SouthTipperary,3.34,0.87,1.54,0.48
2015-02-11,SouthTipperary,4.26,0.42,1.5,0.67
2015-02-12,SouthTipperary,4.64,0.85,3.18,1.37
2015-02-13,SouthTipperary,5.36,1.5,3.88,6.63
2015-02-14,SouthTipperary,4.67,1.54,2.09,0.12
2015-02-15,SouthTipperary,5.94,0.96,3.68,7.82
2015-02-16,SouthTipperary,3.09,2.29,3.62,0.67
2015-02-17,SouthTipperary,3.71,1.71,3.19,0.01
2015-02-18,SouthTipperary,7.93,1.2,5.25,1.95
2015-02-19,SouthTipperary,5.51,1.23,3.19,2.42
2015-02-20,SouthTipperary,2.13,1.69,2.92,1.57
2015-02-21,SouthTipperary,2.17,2.37,4.2,0.76
2015-02-22,SouthTipperary,4.98,0.93,5.27,10.49
2015-02-23,SouthTipperary,3.2,2.16,7.86,4.55
2015-02-24,SouthTipperary,4.73,2.36,5.96,1.84
2015-02-25,SouthTipperary,9.39,1.49,4.14,3.08
2015-02-26,SouthTipperary,5.21,2.64,5.12,4.22
2015-02-27,SouthTipperary,3.79,1.82,4.16,1.88
2015-02-28,SouthTipperary,6.92,1.21,5.33,2.26
2015-03-01,SouthTipperary,3.0,1.88,4.95,3.89
2015-03-02,SouthTipperary,2.18,2.57,5.13,2.73
2015-03-03,SouthTipperary,2.01,3.1,4.59,1.01
2015-03-04,SouthTipperary,3.37,3.06,3.27,0.07
2015-03-05,SouthTipperary,6.63,1.59,4.26,0.07
2015-03-06,SouthTipperary,7.99,2.22,6.53,0.11
2015-03-07,SouthTipperary,9.92,1.61,6.92,0.8
2015-03-08,SouthTipperary,6.24,2.72,3.08,6.11
2015-03-09,SouthTipperary,6.39,2.04,5.78,3.85
2015-03-10,SouthTipperary,3.86,3.72,2.48,0.01
2015-03-11,SouthTipperary,6.67,2.67,5.29,5.71
2015-03-12,SouthTipperary,6.73,0.9,4.62,16.54
2015-03-13,SouthTipperary,3.09,4.12,2.24,0.0
2015-03-14,SouthTipperary,2.37,1.93,1.77,0.13
2015-03-15,SouthTipperary,2.77,1.61,2.24,0.22
2015-03-16,SouthTipperary,3.54,1.45,2.18,0.96
2015-03-17,SouthTipperary,4.76,2.11,1.31,0.57
2015-03-18,SouthTipperary,4.62,3.74,1.25,0.05
2015-03-19,SouthTipperary,4.96,4.05,1.04,0.07
2015-03-20,SouthTipperary,6.11,2.84,2.59,0.22
2015-03-21,SouthTipperary,6.09,4.53,2.53,0.05
2015-03-22,SouthTipperary,6.46,3.81,1.69,0.06
2015-03-23,SouthTipperary,5.95,3.35,3.34,1.05
2015-03-24,SouthTipperary,3.73,4.09,4.3,0.77
2015-03-25,SouthTipperary,3.75,2.94,3.45,12.85
2015-03-26,SouthTipperary,6.06,4.11,4.69,0.09
2015-03-27,SouthTipperary,5.19,2.78,2.36,1.53
2015-03-28,SouthTipperary,9.66,3.22,6.48,3.36
2015-03-29,SouthTipperary,7.28,2.88,6.39,5.05
2015-03-30,SouthTipperary,6.96,1.77,5.78,4.57
2015-03-31,SouthTipperary,5.82,4.31,7.95,0.92
2015-04-01,SouthTipperary,6.66,2.32,5.04,1.64
2015-04-02,SouthTipperary,10.22,2.0,3.41,4.92
2015-04-03,SouthTipperary,8.09,3.2,5.79,1.08
2015-04-04,SouthTipperary,9.45,3.36,2.3,0.23
2015-04-05,SouthTipperary,8.94,3.45,1.5,0.09
2015-04-06,SouthTipperary,9.84,4.95,1.1,0.02
2015-04-07,SouthTipperary,9.91,5.55,1.13,0.02
2015-04-08,SouthTipperary,8.69,5.34,2.02,0.04
2015-04-09,SouthTipperary,8.79,5.75,1.98,0.04
2015-04-10,SouthTipperary,8.75,3.41,3.42,2.36
2015-04-11,SouthTipperary,5.63,5.14,4.33,2.1
2015-04-12,SouthTipperary,6.85,2.77,3.73,5.46
2015-04-13,SouthTipperary,8.91,3.26,3.56,0.53
2015-04-14,SouthTipperary,10.26,5.55,3.25,0.18
2015-04-15,SouthTipperary,7.93,3.26,2.2,0.5
2015-04-16,SouthTipperary,8.21,6.08,2.61,0.01
2015-04-17,SouthTipperary,9.11,3.76,2.68,0.29
2015-04-18,SouthTipperary,8.13,6.63,4.12,0.02
2015-04-19,SouthTipperary,7.22,5.61,2.72,0.01
2015-04-20,SouthTipperary,8.63,4.94,1.35,0.05
2015-04-21,SouthTipperary,8.8,6.5,2.38,0.0
2015-04-22,SouthTipperary,9.25,6.73,2.87,0.01
2015-04-23,SouthTipperary,9.49,6.07,1.82,0.02
2015-04-24,SouthTipperary,9.16,2.65,2.77,2.1
2015-04-25,SouthTipperary,7.2,3.09,2.71,5.27
2015-04-26,SouthTipperary,4.8,5.76,2.79,0.05
2015-04-27,SouthTipperary,4.08,5.01,3.85,1.5
2015-04-28,SouthTipperary,4.87,4.63,4.27,5.32
2015-04-29,SouthTipperary,6.08,5.42,4.41,0.72
2015-04-30,SouthTipperary,6.84,5.35,2.55,0.47
2015-05-01,SouthTipperary,6.64,4.0,4.35,4.98
2015-05-02,SouthTipperary,9.63,1.63,4.85,27.46
2015-05-03,SouthTipperary,10.9,3.93,4.16,12.82
2015-05-04,SouthTipperary,8.63,4.71,3.5,4.41
2015-05-05,SouthTipperary,8.2,4.64,4.0,11.85
2015-05-06,SouthTipperary,8.6,3.86,5.0,4.11
2015-05-07,SouthTipperary,8.37,4.64,1.21,1.35
2015-05-08,SouthTipperary,6.86,1.21,3.12,17.29
2015-05-09,SouthTipperary,9.48,5.01,2.41,0.24
2015-05-10,SouthTipperary,11.99,2.22,6.22,6.3
2015-05-11,SouthTipperary,11.18,5.64,5.69,0.23
2015-05-12,SouthTipperary,9.32,5.64,4.33,1.13
2015-05-13,SouthTipperary,9.13,6.41,2.73,0.0
2015-05-14,SouthTipperary,9.47,2.7,3.65,9.07
2015-05-15,SouthTipperary,10.09,2.92,3.08,1.59
2015-05-16,SouthTipperary,9.03,5.79,4.31,0.1
2015-05-17,SouthTipperary,8.66,4.16,3.48,5.44
2015-05-18,SouthTipperary,7.75,5.92,5.65,4.5
2015-05-19,SouthTipperary,7.59,5.52,5.57,1.67
2015-05-20,SouthTipperary,8.71,4.53,3.67,0.34
2015-05-21,SouthTipperary,11.05,5.23,2.73,0.75
2015-05-22,SouthTipperary,12.53,4.26,3.0,0.71
2015-05-23,SouthTipperary,12.18,5.58,1.73,0.78
2015-05-24,SouthTipperary,11.71,5.46,3.63,0.3
2015-05-25,SouthTipperary,11.78,4.27,3.28,0.23
2015-05-26,SouthTipperary,11.77,6.13,3.11,0.09
2015-05-27,SouthTipperary,9.14,3.39,3.51,2.45
2015-05-28,SouthTipperary,9.2,5.59,4.02,1.24
2015-05-29,SouthTipperary,8.86,5.88,4.29,3.56
2015-05-30,SouthTipperary,9.15,4.32,3.31,5.72
2015-05-31,SouthTipperary,8.51,6.19,5.21,1.34
2015-06-01,SouthTipperary,7.99,2.15,5.52,10.02
2015-06-02,SouthTipperary,10.33,5.28,5.38,1.58
2015-06-03,SouthTipperary,10.58,5.83,2.61,0.37
2015-06-04,SouthTipperary,11.28,5.86,2.88,0.13
2015-06-05,SouthTipperary,10.86,6.85,4.64,5.41
2015-06-06,SouthTipperary,9.96,5.89,5.0,0.9
2015-06-07,SouthTipperary,10.54,6.52,2.2,0.02
2015-06-08,SouthTipperary,9.95,6.32,2.85,0.01
2015-06-09,SouthTipperary,11.07,7.2,2.14,0.0
2015-06-10,SouthTipperary,11.8,7.54,2.31,0.0
2015-06-11,SouthTipperary,11.83,4.78,3.07,0.57
2015-06-12,SouthTipperary,13.83,3.71,3.0,1.4
2015-06-13,SouthTipperary,12.96,4.69,2.75,1.0
2015-06-14,SouthTipperary,11.4,6.68,2.24,0.0
2015-06-15,SouthTipperary,13.82,5.83,1.75,0.0
2015-06-16,SouthTipperary,15.02,5.06,2.73,0.17
2015-06-17,SouthTipperary,14.83,3.86,3.93,1.32
2015-06-18,SouthTipperary,11.97,6.8,3.23,0.01
2015-06-19,SouthTipperary,13.78,5.77,3.24,0.52
2015-06-20,SouthTipperary,15.41,5.77,3.6,0.3
2015-06-21,SouthTipperary,11.73,4.94,4.29,1.87
2015-06-22,SouthTipperary,12.67,5.86,2.68,0.29
2015-06-23,SouthTipperary,13.79,6.4,1.65,0.01
2015-06-24,SouthTipperary,14.57,4.06,2.66,0.73
2015-06-25,SouthTipperary,15.34,2.66,4.12,1.13
2015-06-26,SouthTipperary,15.58,6.04,3.54,2.9
2015-06-27,SouthTipperary,14.33,4.51,4.44,4.87
2015-06-28,SouthTipperary,15.27,6.31,4.2,4.39
2015-06-29,SouthTipperary,15.0,4.75,3.58,1.48
2015-06-30,SouthTipperary,17.82,5.84,4.06,0.43
2015-07-01,SouthTipperary,17.28,4.64,1.7,0.39
2015-07-02,SouthTipperary,15.01,5.31,2.77,0.4
2015-07-03,SouthTipperary,15.78,5.7,4.28,1.9
2015-07-04,SouthTipperary,15.5,5.92,4.41,3.44
2015-07-05,SouthTipperary,13.55,5.37,2.86,6.12
2015-07-06,SouthTipperary,14.78,2.21,5.14,19.59
2015-07-07,SouthTipperary,13.94,4.85,5.09,3.36
2015-07-08,SouthTipperary,13.11,4.92,4.67,0.43
2015-07-09,SouthTipperary,13.24,4.3,2.32,0.39
2015-07-10,SouthTipperary,15.22,4.45,3.79,0.74
2015-07-11,SouthTipperary,13.6,2.87,4.32,3.89
2015-07-12,SouthTipperary,14.37,4.45,2.72,1.97
2015-07-13,SouthTipperary,16.32,4.05,3.72,5.77
2015-07-14,SouthTipperary,14.44,3.46,1.6,2.08
2015-07-15,SouthTipperary,15.2,6.25,1.51,0.35
2015-07-16,SouthTipperary,14.55,2.64,4.64,8.37
2015-07-17,SouthTipperary,13.53,5.7,5.64,1.62
2015-07-18,SouthTipperary,13.63,5.18,4.62,7.7
2015-07-19,SouthTipperary,13.71,5.19,2.63,1.64
2015-07-20,SouthTipperary,15.39,4.85,4.81,2.84
2015-07-21,SouthTipperary,14.42,3.98,3.59,1.98
2015-07-22,SouthTipperary,12.55,4.71,2.79,0.82
2015-07-23,SouthTipperary,13.01,4.33,1.9,0.87
2015-07-24,SouthTipperary,12.28,3.72,3.21,2.21
2015-07-25,SouthTipperary,11.99,5.32,2.79,1.14
2015-07-26,SouthTipperary,14.89,2.94,4.81,14.37
2015-07-27,SouthTipperary,12.99,2.96,6.12,2.04
2015-07-28,SouthTipperary,11.83,5.25,4.64,1.76
2015-07-29,SouthTipperary,11.79,4.95,4.27,0.52
2015-07-30,SouthTipperary,11.91,4.2,2.19,0.23
2015-07-31,SouthTipperary,12.51,3.72,3.47,3.36
2015-08-01,SouthTipperary,12.72,5.41,2.39,0.91
2015-08-02,SouthTipperary,14.51,3.41,5.59,11.22
2015-08-03,SouthTipperary,14.31,5.25,6.28,1.59
2015-08-04,SouthTipperary,13.88,4.21,5.37,2.84
2015-08-05,SouthTipperary,14.23,1.75,4.47,17.09
2015-08-06,SouthTipperary,12.99,4.47,2.24,0.28
2015-08-07,SouthTipperary,13.27,4.61,1.54,0.2
2015-08-08,SouthTipperary,12.63,4.59,3.51,0.55
2015-08-09,SouthTipperary,15.97,3.81,3.5,1.74
2015-08-10,SouthTipperary,13.84,5.28,3.46,1.1
2015-08-11,SouthTipperary,12.98,3.71,1.77,0.1
2015-08-12,SouthTipperary,14.4,6.29,1.22,0.04
2015-08-13,SouthTipperary,14.73,5.37,2.36,0.0
2015-08-14,SouthTipperary,12.47,4.27,3.69,0.34
2015-08-15,SouthTipperary,11.33,3.84,2.21,0.34
2015-08-16,SouthTipperary,12.82,3.31,2.06,2.73
2015-08-17,SouthTipperary,13.98,4.38,1.7,1.42
2015-08-18,SouthTipperary,14.63,5.64,1.82,0.77
2015-08-19,SouthTipperary,15.51,3.46,3.34,10.92
2015-08-20,SouthTipperary,15.63,2.61,4.2,2.37
2015-08-21,SouthTipperary,15.93,4.25,3.94,1.52
2015-08-22,SouthTipperary,13.86,3.1,1.59,2.91
2015-08-23,SouthTipperary,11.92,2.52,3.23,19.82
2015-08-24,SouthTipperary,11.7,4.32,2.33,0.35
2015-08-25,SouthTipperary,12.21,1.84,3.14,9.92
2015-08-26,SouthTipperary,13.1,4.32,4.39,7.78
2015-08-27,SouthTipperary,12.0,4.83,3.48,2.3
2015-08-28,SouthTipperary,12.84,4.4,4.05,1.92
2015-08-29,SouthTipperary,13.91,4.24,2.62,1.23
2015-08-30,SouthTipperary,13.33,3.55,1.07,0.29
2015-08-31,SouthTipperary,12.13,3.63,2.51,1.08
2015-09-01,SouthTipperary,11.15,4.2,3.47,0.36
2015-09-02,SouthTipperary,10.45,2.97,3.69,0.28
2015-09-03,SouthTipperary,10.52,2.7,3.92,0.5
2015-09-04,SouthTipperary,11.82,2.92,3.99,0.35
2015-09-05,SouthTipperary,11.95,4.11,3.42,0.1
2015-09-06,SouthTipperary,11.36,3.2,1.85,0.04
2015-09-07,SouthTipperary,11.93,2.78,0.97,0.09
2015-09-08,SouthTipperary,12.55,3.92,3.27,0.23
2015-09-09,SouthTipperary,14.02,3.15,4.05,0.74
2015-09-10,SouthTipperary,14.42,3.51,4.22,0.2
2015-09-11,SouthTipperary,14.06,1.28,4.3,23.88
2015-09-12,SouthTipperary,12.3,3.74,4.1,2.3
2015-09-13,SouthTipperary,12.4,2.67,3.18,5.68
2015-09-14,SouthTipperary,10.9,1.18,2.31,16.34
2015-09-15,SouthTipperary,11.84,3.58,2.27,0.6
2015-09-16,SouthTipperary,10.36,3.48,2.45,0.21
2015-09-17,SouthTipperary,11.34,3.28,1.71,1.26
2015-09-18,SouthTipperary,12.56,2.39,2.56,0.46
2015-09-19,SouthTipperary,12.41,2.8,1.63,0.12
2015-09-20,SouthTipperary,12.85,1.58,3.61,6.62
2015-09-21,SouthTipperary,11.51,2.86,3.29,3.64
2015-09-22,SouthTipperary,10.1,3.62,3.72,0.62
2015-09-23,SouthTipperary,11.38,2.35,3.37,0.66
2015-09-24,SouthTipperary,10.01,2.98,3.52,0.51
2015-09-25,SouthTipperary,11.12,2.95,1.35,0.04
2015-09-26,SouthTipperary,11.1,3.41,2.28,0.03
2015-09-27,SouthTipperary,10.89,3.22,2.64,0.12
2015-09-28,SouthTipperary,11.82,3.31,3.7,0.15
2015-09-29,SouthTipperary,11.53,3.09,2.38,0.11
2015-09-30,SouthTipperary,10.51,3.37,2.55,0.16
2015-10-01,SouthTipperary,11.25,3.65,1.67,0.14
2015-10-02,SouthTipperary,9.56,2.72,1.21,0.26
2015-10-03,SouthTipperary,10.11,1.81,0.71,0.19
2015-10-04,SouthTipperary,10.93,1.9,3.66,0.91
2015-10-05,SouthTipperary,14.14,1.4,3.97,7.49
2015-10-06,SouthTipperary,12.69,1.5,3.08,1.35
2015-10-07,SouthTipperary,9.3,2.95,2.17,0.24
2015-10-08,SouthTipperary,10.29,2.69,1.72,0.33
2015-10-09,SouthTipperary,10.82,2.09,2.11,0.69
2015-10-10,SouthTipperary,11.08,1.47,2.22,0.2
2015-10-11,SouthTipperary,10.99,1.7,1.16,0.67
2015-10-12,SouthTipperary,8.68,2.87,2.72,0.1
2015-10-13,SouthTipperary,7.91,2.62,1.74,0.09
2015-10-14,SouthTipperary,8.41,2.06,1.55,0.02
2015-10-15,SouthTipperary,7.96,2.02,1.38,0.02
2015-10-16,SouthTipperary,8.35,1.54,2.17,0.13
2015-10-17,SouthTipperary,8.64,1.38,2.24,0.15
2015-10-18,SouthTipperary,9.36,1.1,1.58,0.51
2015-10-19,SouthTipperary,8.43,1.64,1.42,0.53
2015-10-20,SouthTipperary,9.08,1.46,2.45,4.97
2015-10-21,SouthTipperary,12.95,1.19,4.83,1.18
2015-10-22,SouthTipperary,10.43,1.96,3.36,0.08
2015-10-23,SouthTipperary,11.34,0.92,4.4,3.79
2015-10-24,SouthTipperary,8.23,2.14,3.54,8.73
2015-10-25,SouthTipperary,8.03,1.3,3.97,0.41
2015-10-26,SouthTipperary,11.97,0.51,6.55,9.04
2015-10-27,SouthTipperary,10.73,0.57,2.96,5.59
2015-10-28,SouthTipperary,10.81,1.48,4.34,1.56
2015-10-29,SouthTipperary,10.21,1.83,3.41,5.69
2015-10-30,SouthTipperary,11.86,0.96,4.86,4.99
2015-10-31,SouthTipperary,12.94,0.88,2.05,0.73
2015-11-01,SouthTipperary,10.59,1.27,1.41,0.35
2015-11-02,SouthTipperary,10.48,1.62,2.34,0.45
2015-11-03,SouthTipperary,9.92,1.03,1.5,0.53
2015-11-04,SouthTipperary,8.95,1.09,1.14,1.08
