date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Tipperary,10.85,0.22,7.53,7.91
2015-01-02,Tipperary,3.86,0.97,3.21,4.99
2015-01-03,Tipperary,3.27,0.75,2.39,7.39
2015-01-04,Tipperary,5.98,0.75,2.64,0.57
2015-01-05,Tipperary,8.46,0.35,4.09,2.83
2015-01-06,Tipperary,4.4,0.87,3.6,1.93
2015-01-07,Tipperary,8.51,0.21,6.96,9.26
2015-01-08,Tipperary,5.8,0.59,4.58,3.68
2015-01-09,Tipperary,10.46,0.22,7.49,2.57
2015-01-10,Tipperary,4.75,0.9,7.08,3.48
2015-01-11,Tipperary,4.79,0.41,5.76,0.64
2015-01-12,Tipperary,5.29,0.93,5.36,4.82
2015-01-13,Tipperary,0.57,0.73,4.1,5.16
2015-01-14,Tipperary,3.56,0.18,6.89,11.65
2015-01-15,Tipperary,2.68,0.56,7.09,4.95
2015-01-16,Tipperary,1.15,1.16,3.08,1.57
2015-01-17,Tipperary,1.44,0.69,2.53,1.41
2015-01-18,Tipperary,0.24,1.29,3.13,0.07
2015-01-19,Tipperary,-0.06,0.38,2.04,4.75
2015-01-20,Tipperary,1.96,0.91,2.55,4.28
2015-01-21,Tipperary,2.09,1.18,2.96,0.29
2015-01-22,Tipperary,1.49,1.3,1.55,0.1
2015-01-23,Tipperary,6.2,0.55,4.25,3.01
2015-01-24,Tipperary,2.19,0.84,2.13,0.05
2015-01-25,Tipperary,7.67,0.71,4.01,3.16
2015-01-26,Tipperary,4.73,1.02,3.02,0.1
2015-01-27,Tipperary,5.57,0.83,3.36,0.94
2015-01-28,Tipperary,4.17,1.17,7.03,2.35
2015-01-29,Tipperary,2.55,1.1,7.1,3.91
2015-01-30,Tipperary,2.93,1.3,5.55,1.25
2015-01-31,Tipperary,1.62,1.48,6.41,0.32
2015-02-01,Tipperary,0.59,1.62,2.22,0.02
2015-02-02,Tipperary,-0.18,1.27,0.98,0.25
2015-02-03,Tipperary,-0.2,1.15,2.24,1.52
2015-02-04,Tipperary,-1.04,1.93,2.5,0.04
2015-02-05,Tipperary,1.3,1.69,2.62,0.19
2015-02-06,Tipperary,2.68,0.89,2.13,0.18
2015-02-07,Tipperary,2.64,0.86,2.49,0.38
2015-02-08,Tipperary,2.62,1.4,1.13,0.17
2015-02-09,Tipperary,3.97,0.88,0.96,0.33
2015-02-10,Tipperary,3.14,0.97,1.51,0.43
2015-02-11,Tipperary,4.15,0.56,1.46,0.6
2015-02-12,Tipperary,4.46,1.2,3.52,1.25
2015-02-13,Tipperary,4.9,1.52,3.82,7.23
2015-02-14,Tipperary,4.45,1.79,1.77,0.11
2015-02-15,Tipperary,5.61,0.65,3.53,7.31
2015-02-16,Tipperary,2.57,2.04,3.43,1.52
2015-02-17,Tipperary,4.18,1.8,3.42,0.02
2015-02-18,Tipperary,8.24,1.02,5.39,2.92
2015-02-19,Tipperary,4.88,1.51,3.04,2.33
2015-02-20,Tipperary,2.37,1.8,3.1,2.6
2015-02-21,Tipperary,2.35,2.04,4.01,0.94
2015-02-22,Tipperary,4.91,0.89,5.39,11.47
2015-02-23,Tipperary,3.06,1.58,8.13,8.46
2015-02-24,Tipperary,4.73,1.65,5.61,3.49
2015-02-25,Tipperary,9.75,1.18,4.68,5.42
2015-02-26,Tipperary,4.6,2.54,5.24,4.42
2015-02-27,Tipperary,4.0,1.45,4.12,2.54
2015-02-28,Tipperary,6.87,1.05,5.75,2.65
2015-03-01,Tipperary,2.66,2.04,4.72,5.89
2015-03-02,Tipperary,1.98,2.32,5.2,3.89
2015-03-03,Tipperary,1.81,2.62,4.51,1.22
2015-03-04,Tipperary,3.67,2.29,3.17,0.09
2015-03-05,Tipperary,6.51,1.58,4.45,0.16
2015-03-06,Tipperary,8.0,2.25,6.74,0.1
2015-03-07,Tipperary,10.17,1.46,6.83,3.11
2015-03-08,Tipperary,5.52,2.89,2.96,5.64
2015-03-09,Tipperary,5.95,2.5,5.78,3.67
2015-03-10,Tipperary,3.92,3.48,2.92,0.04
2015-03-11,Tipperary,6.52,3.48,5.37,6.93
2015-03-12,Tipperary,6.27,1.13,4.41,14.04
2015-03-13,Tipperary,3.16,4.03,1.72,0.0
2015-03-14,Tipperary,3.53,3.27,1.37,0.08
2015-03-15,Tipperary,2.44,2.05,2.02,0.14
2015-03-16,Tipperary,3.61,1.63,2.28,0.87
2015-03-17,Tipperary,4.55,3.15,1.33,0.42
2015-03-18,Tipperary,4.69,3.82,1.05,0.08
2015-03-19,Tipperary,5.03,3.62,0.88,0.02
2015-03-20,Tipperary,6.38,2.9,2.45,0.26
2015-03-21,Tipperary,6.05,4.31,2.27,0.07
2015-03-22,Tipperary,6.8,3.82,2.14,0.09
2015-03-23,Tipperary,5.7,4.04,3.42,1.14
2015-03-24,Tipperary,3.56,4.07,3.9,1.1
2015-03-25,Tipperary,3.28,1.76,3.25,14.62
2015-03-26,Tipperary,5.6,4.21,4.3,0.06
2015-03-27,Tipperary,5.64,2.61,2.58,1.84
2015-03-28,Tipperary,9.47,2.81,6.84,4.1
2015-03-29,Tipperary,7.03,2.19,6.31,6.56
2015-03-30,Tipperary,7.04,1.61,6.08,5.66
2015-03-31,Tipperary,5.3,3.8,7.33,1.13
2015-04-01,Tipperary,6.75,1.94,4.79,1.9
2015-04-02,Tipperary,10.23,2.28,3.54,5.06
2015-04-03,Tipperary,7.68,3.41,5.55,0.61
2015-04-04,Tipperary,9.55,3.11,2.05,0.2
2015-04-05,Tipperary,9.04,4.38,1.83,0.02
2015-04-06,Tipperary,9.76,5.08,1.07,0.02
2015-04-07,Tipperary,9.82,5.65,1.03,0.02
2015-04-08,Tipperary,8.43,5.65,2.08,0.04
2015-04-09,Tipperary,8.65,5.81,2.07,0.04
2015-04-10,Tipperary,9.01,4.86,3.67,4.63
2015-04-11,Tipperary,5.27,4.8,4.23,0.9
2015-04-12,Tipperary,6.38,3.96,3.41,6.73
2015-04-13,Tipperary,9.48,3.28,3.78,0.43
2015-04-14,Tipperary,10.0,4.75,3.38,0.08
2015-04-15,Tipperary,7.7,3.69,2.2,0.69
2015-04-16,Tipperary,8.32,6.07,2.17,0.02
2015-04-17,Tipperary,9.25,4.97,2.58,0.22
2015-04-18,Tipperary,8.06,6.32,3.85,0.04
2015-04-19,Tipperary,7.4,6.31,2.48,0.01
2015-04-20,Tipperary,8.91,5.43,1.13,0.04
2015-04-21,Tipperary,9.08,6.63,2.12,0.0
2015-04-22,Tipperary,9.04,6.6,2.63,0.0
2015-04-23,Tipperary,9.51,6.25,1.82,0.02
2015-04-24,Tipperary,9.22,3.09,2.76,2.7
2015-04-25,Tipperary,6.93,3.79,2.81,3.57
2015-04-26,Tipperary,4.78,6.48,2.63,0.12
2015-04-27,Tipperary,3.77,4.87,3.88,1.87
2015-04-28,Tipperary,4.62,4.12,4.06,6.38
2015-04-29,Tipperary,5.93,5.86,4.35,0.94
2015-04-30,Tipperary,6.63,5.86,2.12,0.49
2015-05-01,Tipperary,6.17,3.08,4.41,8.14
2015-05-02,Tipperary,9.96,2.91,4.54,29.06
2015-05-03,Tipperary,10.65,3.79,4.03,11.83
2015-05-04,Tipperary,8.5,3.89,3.39,4.25
2015-05-05,Tipperary,7.81,5.33,3.78,9.34
2015-05-06,Tipperary,8.36,5.06,4.62,5.14
2015-05-07,Tipperary,8.58,5.21,0.96,1.4
2015-05-08,Tipperary,6.45,1.65,2.79,17.11
2015-05-09,Tipperary,9.75,4.73,2.43,0.43
2015-05-10,Tipperary,12.08,1.9,6.08,6.43
2015-05-11,Tipperary,10.48,5.93,5.68,0.38
