date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Waterford,11.06,0.15,7.79,6.7
2015-01-02,Waterford,4.32,1.1,3.86,2.84
2015-01-03,Waterford,4.17,0.61,2.49,10.85
2015-01-04,Waterford,5.98,0.53,2.26,0.39
2015-01-05,Waterford,9.05,0.24,4.18,2.92
2015-01-06,Waterford,4.97,1.08,3.79,3.22
2015-01-07,Waterford,8.73,0.2,7.48,8.17
2015-01-08,Waterford,6.01,0.92,4.77,3.23
2015-01-09,Waterford,10.5,0.34,7.33,1.7
2015-01-10,Waterford,5.65,1.05,7.52,2.36
2015-01-11,Waterford,4.41,0.38,5.91,0.29
2015-01-12,Waterford,6.21,0.73,5.66,4.08
2015-01-13,Waterford,1.32,0.94,4.43,2.86
2015-01-14,Waterford,3.87,0.21,7.41,13.11
2015-01-15,Waterford,3.37,0.88,7.83,2.51
2015-01-16,Waterford,0.86,1.33,3.67,0.59
2015-01-17,Waterford,1.54,0.76,3.42,0.57
2015-01-18,Waterford,0.31,1.17,4.21,0.14
2015-01-19,Waterford,-0.59,0.78,1.78,0.45
2015-01-20,Waterford,2.61,0.52,2.66,5.83
2015-01-21,Waterford,1.87,0.97,3.57,0.52
2015-01-22,Waterford,2.23,1.21,1.23,0.1
2015-01-23,Waterford,6.1,0.42,4.41,2.84
2015-01-24,Waterford,2.11,1.26,2.79,0.03
2015-01-25,Waterford,7.19,0.6,3.96,1.66
2015-01-26,Waterford,4.95,1.03,3.51,0.62
2015-01-27,Waterford,5.32,0.91,3.62,0.59
2015-01-28,Waterford,4.59,1.32,7.19,1.82
2015-01-29,Waterford,2.41,1.0,7.34,2.34
2015-01-30,Waterford,3.3,1.32,6.38,1.63
2015-01-31,Waterford,1.98,1.64,7.84,0.23
2015-02-01,Waterford,-0.16,1.81,3.84,0.02
2015-02-02,Waterford,-0.11,1.48,2.03,0.2
2015-02-03,Waterford,-0.26,1.77,2.6,0.3
2015-02-04,Waterford,-0.22,1.97,3.5,0.1
2015-02-05,Waterford,1.75,1.63,3.63,0.13
2015-02-06,Waterford,3.04,1.51,2.32,0.07
2015-02-07,Waterford,3.58,0.91,3.05,0.27
2015-02-08,Waterford,2.29,1.52,1.86,0.35
2015-02-09,Waterford,2.97,1.02,1.56,0.29
2015-02-10,Waterford,3.33,0.87,1.54,0.52
2015-02-11,Waterford,4.38,0.42,1.64,0.86
2015-02-12,Waterford,4.48,0.85,3.09,1.76
2015-02-13,Waterford,5.73,1.5,4.0,6.63
2015-02-14,Waterford,4.64,1.54,2.39,0.19
2015-02-15,Waterford,5.97,0.96,3.54,9.05
2015-02-16,Waterford,3.46,2.29,3.93,0.79
2015-02-17,Waterford,3.5,1.71,3.35,0.01
2015-02-18,Waterford,7.92,1.2,5.62,1.79
2015-02-19,Waterford,5.75,1.23,3.47,3.18
2015-02-20,Waterford,2.53,1.69,3.32,1.26
2015-02-21,Waterford,2.15,2.37,4.54,0.53
2015-02-22,Waterford,4.98,0.93,5.34,12.06
2015-02-23,Waterford,3.33,2.16,7.91,3.18
2015-02-24,Waterford,4.7,2.36,6.05,1.2
2015-02-25,Waterford,9.13,1.49,4.04,2.31
2015-02-26,Waterford,5.4,2.64,5.22,4.24
2015-02-27,Waterford,3.78,1.82,4.48,1.76
2015-02-28,Waterford,7.01,1.21,5.34,2.32
2015-03-01,Waterford,3.3,1.88,5.45,3.8
2015-03-02,Waterford,2.3,2.57,5.29,1.97
2015-03-03,Waterford,2.29,3.1,5.01,0.9
2015-03-04,Waterford,3.21,3.06,3.44,0.06
2015-03-05,Waterford,6.63,1.59,4.39,0.06
2015-03-06,Waterford,8.01,2.22,6.77,0.17
