date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,WestCork,11.75,0.14,11.16,9.82
2015-01-02,WestCork,8.4,1.02,6.09,11.85
2015-01-03,WestCork,9.24,0.78,5.66,6.54
2015-01-04,WestCork,9.77,0.64,4.78,1.84
2015-01-05,WestCork,10.06,0.41,6.92,8.11
2015-01-06,WestCork,8.78,1.01,7.95,0.77
2015-01-07,WestCork,10.82,0.27,10.89,19.51
2015-01-08,WestCork,9.79,0.83,9.47,7.0
2015-01-09,WestCork,11.95,0.33,11.0,4.35
2015-01-10,WestCork,8.07,0.97,11.39,4.72
2015-01-11,WestCork,9.04,0.45,10.47,1.01
2015-01-12,WestCork,8.76,0.78,9.2,9.27
2015-01-13,WestCork,5.8,0.7,9.79,9.7
2015-01-14,WestCork,7.97,0.26,12.68,17.9
2015-01-15,WestCork,6.62,0.68,11.33,6.97
2015-01-16,WestCork,6.57,1.35,6.57,2.41
2015-01-17,WestCork,6.59,0.71,5.41,2.21
2015-01-18,WestCork,6.16,1.31,6.11,0.25
2015-01-19,WestCork,6.2,0.37,5.59,12.1
2015-01-20,WestCork,7.28,1.18,8.88,3.13
2015-01-21,WestCork,7.17,1.34,6.89,0.67
2015-01-22,WestCork,7.74,1.16,3.5,2.43
2015-01-23,WestCork,9.5,0.52,6.93,3.89
2015-01-24,WestCork,7.74,1.0,4.88,0.07
2015-01-25,WestCork,10.32,0.68,6.72,5.83
2015-01-26,WestCork,8.39,1.0,5.11,0.33
2015-01-27,WestCork,9.16,0.84,5.95,1.94
2015-01-28,WestCork,7.47,0.99,11.37,2.07
2015-01-29,WestCork,6.46,1.16,12.01,4.61
2015-01-30,WestCork,6.87,1.49,9.22,2.55
2015-01-31,WestCork,6.15,1.7,10.57,1.13
2015-02-01,WestCork,5.78,1.67,4.15,0.61
2015-02-02,WestCork,4.86,1.0,2.86,8.1
2015-02-03,WestCork,4.81,1.55,7.44,2.01
2015-02-04,WestCork,3.97,2.1,4.78,0.01
2015-02-05,WestCork,5.69,1.84,4.39,0.19
2015-02-06,WestCork,5.94,1.33,5.26,0.11
2015-02-07,WestCork,6.02,1.2,5.6,0.08
2015-02-08,WestCork,6.24,1.53,2.2,0.1
2015-02-09,WestCork,5.79,1.22,1.94,0.3
2015-02-10,WestCork,6.5,0.8,3.81,0.37
2015-02-11,WestCork,7.95,0.51,3.33,0.73
2015-02-12,WestCork,8.32,1.07,7.15,7.82
2015-02-13,WestCork,8.69,1.59,8.86,4.3
2015-02-14,WestCork,8.79,1.83,4.12,2.59
2015-02-15,WestCork,9.28,0.86,5.51,10.57
2015-02-16,WestCork,6.86,2.4,7.33,1.49
2015-02-17,WestCork,8.46,1.4,6.64,0.15
2015-02-18,WestCork,10.18,1.18,8.53,3.96
2015-02-19,WestCork,8.17,0.9,6.0,3.51
2015-02-20,WestCork,6.81,1.99,6.82,2.57
2015-02-21,WestCork,6.96,2.33,7.84,0.85
2015-02-22,WestCork,8.69,1.05,9.98,17.2
2015-02-23,WestCork,6.43,1.94,14.16,3.85
2015-02-24,WestCork,8.2,2.31,9.69,6.23
2015-02-25,WestCork,10.45,1.62,8.61,6.48
2015-02-26,WestCork,7.34,2.6,9.58,4.63
2015-02-27,WestCork,7.84,1.38,7.18,7.02
2015-02-28,WestCork,9.46,1.06,9.37,3.49
2015-03-01,WestCork,7.41,2.05,10.21,5.09
2015-03-02,WestCork,6.16,2.54,9.58,6.01
2015-03-03,WestCork,6.25,2.74,9.34,2.31
2015-03-04,WestCork,7.83,2.53,6.02,0.24
2015-03-05,WestCork,9.38,1.44,7.43,0.49
2015-03-06,WestCork,9.88,1.99,9.81,0.18
2015-03-07,WestCork,10.65,1.36,9.89,7.1
2015-03-08,WestCork,7.74,3.43,5.04,7.71
2015-03-09,WestCork,8.9,2.61,9.17,7.25
2015-03-10,WestCork,8.02,3.52,5.94,2.26
