date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Wexford,11.27,0.15,9.97,5.55
2015-01-02,Wexford,6.62,1.1,6.34,2.8
2015-01-03,Wexford,6.56,0.61,4.44,13.08
2015-01-04,Wexford,7.88,0.53,4.02,0.45
2015-01-05,Wexford,9.96,0.24,6.15,4.34
2015-01-06,Wexford,7.07,1.08,6.13,4.07
2015-01-07,Wexford,9.7,0.2,9.92,8.23
2015-01-08,Wexford,7.76,0.92,7.15,2.67
2015-01-09,Wexford,10.71,0.34,9.14,1.32
2015-01-10,Wexford,7.02,1.05,9.95,2.21
2015-01-11,Wexford,6.29,0.38,8.8,0.57
2015-01-12,Wexford,7.97,0.73,8.08,4.45
2015-01-13,Wexford,4.06,0.94,7.36,3.83
2015-01-14,Wexford,6.0,0.21,10.51,13.4
2015-01-15,Wexford,5.3,0.88,10.64,2.25
2015-01-16,Wexford,3.52,1.33,6.07,0.87
2015-01-17,Wexford,3.8,0.76,5.63,1.26
2015-01-18,Wexford,3.36,1.17,6.6,0.44
2015-01-19,Wexford,2.66,0.78,3.09,0.13
2015-01-20,Wexford,4.95,0.52,4.99,7.08
2015-01-21,Wexford,3.86,0.97,5.77,1.05
2015-01-22,Wexford,5.13,1.21,2.28,0.15
2015-01-23,Wexford,7.52,0.42,6.57,3.42
2015-01-24,Wexford,4.77,1.26,5.12,0.03
2015-01-25,Wexford,8.21,0.6,5.89,1.43
2015-01-26,Wexford,6.36,1.03,5.23,1.41
2015-01-27,Wexford,6.53,0.91,5.36,0.57
2015-01-28,Wexford,5.95,1.32,9.64,1.88
2015-01-29,Wexford,3.85,1.0,9.85,3.16
2015-01-30,Wexford,4.76,1.32,8.67,2.82
2015-01-31,Wexford,3.68,1.64,10.7,1.04
2015-02-01,Wexford,2.47,1.81,6.64,0.1
2015-02-02,Wexford,2.29,1.48,3.88,1.08
2015-02-03,Wexford,2.81,1.77,4.33,0.5
2015-02-04,Wexford,3.45,1.97,5.7,0.25
2015-02-05,Wexford,4.66,1.63,5.51,0.15
2015-02-06,Wexford,5.04,1.51,4.55,0.03
2015-02-07,Wexford,6.01,0.91,5.28,0.28
2015-02-08,Wexford,4.37,1.52,2.84,0.21
2015-02-09,Wexford,4.24,1.02,2.56,0.29
2015-02-10,Wexford,4.77,0.87,2.47,0.52
2015-02-11,Wexford,6.01,0.42,3.3,1.01
2015-02-12,Wexford,6.22,0.85,4.71,2.04
2015-02-13,Wexford,7.07,1.5,5.87,6.63
2015-02-14,Wexford,6.45,1.54,3.85,0.31
2015-02-15,Wexford,7.06,0.96,5.15,8.78
2015-02-16,Wexford,5.35,2.29,5.79,2.22
2015-02-17,Wexford,5.51,1.71,5.3,0.01
2015-02-18,Wexford,8.42,1.2,7.58,1.35
2015-02-19,Wexford,7.02,1.23,5.42,5.03
2015-02-20,Wexford,4.23,1.69,4.93,1.53
2015-02-21,Wexford,3.89,2.37,6.79,0.81
2015-02-22,Wexford,6.29,0.93,7.43,14.41
2015-02-23,Wexford,4.74,2.16,10.22,2.5
2015-02-24,Wexford,5.83,2.36,8.09,1.25
2015-02-25,Wexford,8.81,1.49,4.71,2.34
2015-02-26,Wexford,6.4,2.64,6.96,4.84
2015-02-27,Wexford,5.34,1.82,6.69,1.41
2015-02-28,Wexford,7.88,1.21,7.07,2.1
2015-03-01,Wexford,4.87,1.88,7.92,4.63
2015-03-02,Wexford,4.02,2.57,7.88,1.64
2015-03-03,Wexford,4.1,3.1,7.35,1.22
2015-03-04,Wexford,4.86,3.06,5.09,0.05
2015-03-05,Wexford,7.38,1.59,6.03,0.07
2015-03-06,Wexford,8.29,2.22,8.7,0.18
2015-03-07,Wexford,9.17,1.61,9.12,0.82
2015-03-08,Wexford,7.47,2.72,4.16,5.36
2015-03-09,Wexford,7.38,2.04,7.68,4.76
2015-03-10,Wexford,5.41,3.72,3.26,0.0
2015-03-11,Wexford,7.73,2.67,6.75,3.49
2015-03-12,Wexford,7.65,0.9,6.71,23.24
2015-03-13,Wexford,5.08,4.12,4.54,0.01
2015-03-14,Wexford,5.08,1.93,3.32,0.35
2015-03-15,Wexford,5.32,1.61,4.07,0.2
