date,county,temperature,solar_irradiance,wind_speed,precipitation
2015-01-01,Wicklow,10.91,0.22,9.1,3.55
2015-01-02,Wicklow,5.02,0.98,6.19,2.4
2015-01-03,Wicklow,4.52,0.68,3.52,14.7
2015-01-04,Wicklow,6.36,0.51,3.45,0.28
2015-01-05,Wicklow,9.04,0.3,5.34,2.37
2015-01-06,Wicklow,5.59,0.96,5.41,3.42
2015-01-07,Wicklow,8.76,0.25,8.93,6.84
2015-01-08,Wicklow,6.06,0.88,6.37,2.36
2015-01-09,Wicklow,10.12,0.18,9.09,1.51
2015-01-10,Wicklow,5.76,0.98,9.44,2.53
2015-01-11,Wicklow,4.83,0.41,8.09,0.53
2015-01-12,Wicklow,6.28,0.99,7.42,4.47
2015-01-13,Wicklow,2.17,0.73,6.58,4.08
2015-01-14,Wicklow,4.3,0.27,8.81,10.34
2015-01-15,Wicklow,3.9,0.57,10.14,1.31
2015-01-16,Wicklow,1.96,1.16,5.59,0.76
2015-01-17,Wicklow,2.4,1.05,5.19,1.09
2015-01-18,Wicklow,2.11,1.14,5.52,0.53
2015-01-19,Wicklow,1.04,0.76,2.52,0.08
2015-01-20,Wicklow,3.35,0.51,3.83,8.16
2015-01-21,Wicklow,2.57,0.93,4.51,1.06
2015-01-22,Wicklow,3.64,1.0,1.87,0.23
2015-01-23,Wicklow,6.3,0.48,6.1,3.7
2015-01-24,Wicklow,3.26,0.99,4.79,0.05
2015-01-25,Wicklow,7.18,0.54,5.32,1.72
2015-01-26,Wicklow,5.28,1.01,5.0,0.63
2015-01-27,Wicklow,5.37,0.84,4.89,0.75
2015-01-28,Wicklow,4.65,1.2,9.22,2.74
2015-01-29,Wicklow,2.48,0.83,9.12,6.34
2015-01-30,Wicklow,3.64,1.28,7.77,3.68
2015-01-31,Wicklow,2.59,1.48,9.68,1.37
2015-02-01,Wicklow,1.24,1.61,5.72,0.13
2015-02-02,Wicklow,1.05,1.33,3.2,1.18
2015-02-03,Wicklow,1.37,1.34,3.33,0.32
2015-02-04,Wicklow,1.94,1.79,4.57,0.18
2015-02-05,Wicklow,3.56,1.45,4.44,0.15
2015-02-06,Wicklow,4.28,0.75,3.13,0.16
2015-02-07,Wicklow,4.99,0.83,4.25,0.54
2015-02-08,Wicklow,3.15,1.31,2.71,0.28
2015-02-09,Wicklow,4.03,0.79,2.22,0.27
2015-02-10,Wicklow,3.89,0.95,1.64,0.76
2015-02-11,Wicklow,4.96,0.45,2.75,1.06
2015-02-12,Wicklow,5.07,1.03,4.02,1.83
2015-02-13,Wicklow,6.29,1.12,4.96,6.4
2015-02-14,Wicklow,5.9,1.32,3.15,0.46
2015-02-15,Wicklow,5.94,0.96,4.94,9.06
2015-02-16,Wicklow,4.2,2.08,5.11,2.19
2015-02-17,Wicklow,4.2,1.53,4.88,0.03
2015-02-18,Wicklow,7.89,1.34,7.06,1.66
2015-02-19,Wicklow,6.11,1.79,4.8,3.12
2015-02-20,Wicklow,3.18,1.66,4.65,1.51
2015-02-21,Wicklow,2.8,2.18,6.2,1.12
2015-02-22,Wicklow,4.88,0.79,6.69,14.36
2015-02-23,Wicklow,3.52,1.92,9.44,2.89
